Frec	Izquierda	Derecha
21619.335	-109.762428284	-122.323791504
21662.402	-108.050498962	-128.025680542
21705.468	-108.085258484	-120.559005737
21748.535	-109.755447388	-119.563278198
21791.601	-113.966209412	-120.836990356
21834.667	-122.904159546	-120.635864258
21877.734	-119.801528931	-120.347793579
21920.8	-116.732025146	-119.650100708
21963.867	-117.667633057	-127.26789856
22006.933	-122.416061401	-131.976959228
