"11-1-2005 / Stockholm, Sweden / Cirkus",AUD,,,FLAC,
"11-3-2005 / Gothenburg, Sweden / Konserthuset",AUD,,,FLAC,
"11-14-2005 / Birmingham, UK / Academy",AUD,,,FLAC,
"11-16-2005 / Paris, France / Elysee Montmartre",AUD,,,FLAC,
"11-22-2005 / Barcelona, Spain / Teatre Musical",AUD(M),,,FLAC,
"11-24-2005 / Florence, Italy / Teatro Saschall",AUD,,,FLAC,
"11-25-2005 / Venaria Reale, Italy / Tatro della Concordia",FM,,,FLAC,
"11-27-2005 / Reykjavik, Iceland / Laugardalsholin",FM,,,FLAC,
,,,,,
[2006],,,,,
"2-7-2006 / Boston, MA / Orpheum Theatre",AUD,,,FLAC,
"2-9-2006 / New York, NY / Madison Square Garden",AUD,,,FLAC,
"2-18-2006 / Grand Rapids, MI / Calvin College Fine Arts Center (6:30pm early show)",AUD,,,FLAC,
"2-18-2006 / Grand Rapids, MI / Calvin College Fine Arts Center (11:00pm late show)",AUD,,,FLAC,
"2-21-2006 / University City, MO / The Pageant",AUD,,,FLAC,
"4-11-2006 / Melbourne, Australia / Palais Theatre",AUD,,,FLAC,
"4-12-2006 / Sydney, Australia / Enmore Theatre",AUD,2 sources,,FLAC,
"4-26-2006 / London, England / Maida Vale Studios",FM,,,FLAC,
"4-29-2006 / Indio, CA / Empire Polo Club - Coachella",AUD,,,DVD,
"5-9-2006 / Chicago, IL / Civic Opera House",AUD,,,FLAC,
"5-13-2006 / Toronto, Ontario / Massey Hall",AUD,,,FLAC,
"6-22-2006 / Mannheim, Germany / Alte Feuerwache",AUD,,,FLAC,
"6-25-2006 / Essen, Germany / Lichtburg",AUD,2 sources,,FLAC,
"6-29-2006 / Roskilde, Denmark / Roskilde Festival - Arena Stage",FM,,,FLAC,
"7-2-2006 / Belfort, France / Les Eurockeennes de Belfort",AUD,,,FLAC,
"7-3-2006 / Montreux, Switzerland / Miles Davis hall",FM,,,FLAC,
"7-4-2006 / Ferrara, Italy / Piazza Castello",AUD,,,FLAC,
"7-6-2006 / Paris, France / Olympia",AUD,,,FLAC,
"7-12-2006 / Luxembourg, Luxembourg / Neumünster Abbey",AUD,,,FLAC,
"7-16-2006 / Lisbon, Portugal / Pavilhao Atlantico",AUD,2 sources,,FLAC,
"8-3-2006 / Snaefellshails, Iceland / Unknown Venue",AUD,,,FLAC,
"8-4-2006 / Asbyrgi, Iceland / Unknown Venue",AUD,,,FLAC,
,,,,,
[2007],,,,,
"2-18-2007 / Reykjavík, Iceland / Héðinshúsið (Acoustic)",AUD,,,FLAC,
"9-30-2007 / Helsinki, Finland / Bio Rex",AUD,,,FLAC,
"10-6-2007 / New York City, NY / Florence Gould Hall at FIAF",AUD,,,FLAC,
"10-7-2007 / New York, NY / Florence Gould Hall - Midnight Show",AUD,,,FLAC,
"10-19-2007 / Copenhagen, Denmark / Vega",AUD,,,FLAC,
"10-24-2007 / London, England / Cecil Sharp House - Electric Proms",FM,,,FLAC,
"10-29-2007 / Melbourne, Australia / The Forum II",AUD,,,FLAC,
,,,,,
[2008],,,,,
"6-14-2008 / Manchester, TN / Bonnaroo Festival",AUD,,,FLAC,
"6-16-2008 / New York, NY / Manhattan Center Grand Ballroom",AUD,,,FLAC,
"6-20-2008 / Neuhausen ob Eck, Germany / Southside Festival",FM,2 sources,,FLAC,
"6-24-2008 / London, UK / Westminster Great Hall",AUD,,,FLAC,
"6-28-2008 / Rekjavik, Iceland / Laugardalur Park - Botanical Gardens",FM,,,FLAC,
"7-5-2008 / Werchter, Belgium / Rock Werchter",AUD,2 sources,,FLAC,
"7-6-2008 / Arras, France / Main Square Festival",AUD,,,FLAC,
"7-8-2008 / Vienna, Austria / Arena",AUD,,,FLAC,
"7-8-2008 / Vienna, Austria / Arena Open Air (CSB) (wzbw88) ",AUD,,,FLAC,
"7-12-2008 / Roma, Italy / Auditorium Parco Della Musica",AUD,,,FLAC,
"7-13-2008 / Milan, Italy / Arena Civica",AUD,,,FLAC,
"7-14-2008 / Zurich, Switzerland / Volkshaus",AUD,,,FLAC,
"7-17-2008 / Valencia, Spain / Benicassim Castellon",AUD,,,FLAC,
"8-1-2008 / Melbourne, Australia / Festival Hall",AUD,,,FLAC,
"8-2-2008 / Sydney, Australia / Hordern Pavilion",AUD,,,FLAC,
"8-9-2008 / Copenhagen, Denmark / Beatday 2008",AUD,,,FLAC,
"8-12-2008 / Wiesbaden, Germany / Schlachthof",AUD,,,FLAC,
"8-13-2008 / Berlin, Germany / Tempodrom",AUD,,,FLAC,
"8-15-2008 / Saint-Malo, France / La Route du Rock - Fort de Saint-Père",AUD,,,FLAC 24,
"9-17-2008 / New York, NY / United Palace Theatre",AUD,,,FLAC,
"9-18-2008 / New York, NY / United Palace Theatre",AUD,,,FLAC,
"9-19-2008 / Boston, MA / Bank of America Pavilion",AUD,,,FLAC 24,
"9-22-2008 / Toronto, Ontario / Massey Hall",AUD,,,FLAC,
"9-23-2008 / Detroit, MI / The Fillmore Detroit",AUD,,,FLAC,
"9-24-2008 / Chicago, IL / Chicago Theatre",AUD,,,FLAC 24,
"9-29-2008 / Byron Bay, Australia / Splendour In The Grass",FM,,,FLAC,
"10-2-2008 / Los Angeles, CA / The Greek Theatre",AUD,,,FLAC 24,
"10-5-2008 / Seattle, WA / Benaroya Hall",AUD,,,FLAC,
"10-6-2008 / Portland, OR / Arlene Schnitzer Concert Hall",AUD,,,FLAC,
"11-4-2008 / Wolverhampton, England / Civic Hall",AUD,,,FLAC,
"11-6-2008 / Glasgow, Scotland / Carling Academy Glasgow",AUD,,,FLAC,
"11-15-2008 / Paris, France / Le Zénith",AUD,,,FLAC,
"11-17-2008 / Amsterdam, Holland / Heineken Music Hall",AUD,,,FLAC,
"11-18-2008 / Esch-sur Alzette, Luxembourg / Rockhal Main Hall",AUD,,,FLAC,
"11-20-2008 / London, England / Alexandra Palace",AUD,,,FLAC,
"11-21-2008 / London, England / Alexandra Palace",AUD,,,FLAC,
"11-23-2008 / Reykjavik, Iceland / Laugardalsholl",Matrix,2 sources,,FLAC,
,,,,,
[2012],,,,,
"7-29-2012 / Philadelphia, PA / Mann Music Center",AUD,,,FLAC,
"7-30-2012 / Philadelphia, PA / Mann Music Center",AUD,2 sources,,FLAC 24,
7-31-2012 / Brooklyn's Prospect Park Bandshell (NPR FM) Remaster,FM,,,FLAC,
"8-3-2012 / Montreal, Quebec / Osheaga Festival",AUD,,,FLAC,
"8-8-2012 / Seattle, WA / Paramount Theatre",AUD,,,FLAC,
"8-11-2012 / San Francisco, CA / Golden Gate Park (Outside Lands Festival)",AUD,,,FLAC,
"8-27-2012 / Deurne, Belgium / Riverenhof",AUD,,,FLAC,
"8-28-2012 / Amsterdam, The Netherlands / Paradiso",AUD,2 sources,,FLAC 24,
"8-29-2012 / Amsterdam, The Netherlands / Paradiso",AUD,2 sources,,FLAC,
"9-2-2012 / Villafranca di Verona, Italy / Castell Scaligero - A Perfect Day Festival",FM,2 sources,,FLAC,
"9-4-2012 / Vienna, Austria / Arena (Open Air)",AUD,,,FLAC 24,
"9-14-2012 / Madrid, Spain / Complejo Deportivo Cantarranas - DCODE Festival (Day 1)",AUD,,,FLAC,
"9-16-2012 / Krakow, Poland / Hala Ocynowni ArcelorMittal - Sacrum Profanum Festival",AUD,,,FLAC,
"9-17-2012 / Krakow, Poland / Hala Ocynowni ArcelorMittal - Sacrum Profanum Festival",AUD,2 sources,,FLAC,
11-4-2012 / Laugardalsholl / Iceland Airwaves,FM,,,FLAC,
"11-11-2012 / Melbourne, Australia / Harvest Festival",AUD,,,FLAC,
