"3-14-2010 / Boston, MA / Orpheum Theatre (CSC) (farve4)",AUD,FLAC,
"3-16-2010 / Montreal, CAN / Metropolis (Zoom H2) (bootlegottawa)",AUD,FLAC,
"3-19-2010 / Detroit, MI / Fillmore (Sony ECM-DS70P) (gladcarrot)",AUD,FLAC,
"3-21-2010 / St. Paul, MN / Roy Wilkins Auditorium *FKG (Modded WM-61s) (kingjman)",AUD,FLAC,
"4-20-2010 / Charlotte, NC / Uptown Amphitheatre at the NC Music Factory (DPA-4061) (univonc)",AUD,FLAC,
"4-27-2010 / Asheville, NC / Thomas Wolfe Auditorium (SS-DSM6-P) (ballsdeep)",AUD,FLAC,
"4-28-2010 / Chattanooga, TN / Memorial Auditorium (SS-DSM6-P) (ballsdeep)",AUD,FLAC,
"4-30-2010 / Birmingham, AL / Schaeffer Crawfish Boil - Stage in BJCC Parking Lot (SS-DSM6-P) (ballsdeep)",AUD,FLAC,
"5-22-2010 / Washington, DC / RFK Stadium - Parking Lot 7 - DC101 Chili Cookoff (SS DSM-6S/L) (cabbage)",AUD,FLAC,
"6-5-2010 / Nurburgring, Germany / Rock am Ring (Eins Plus)",PRO,DVD,
"6-21-2010 / Zagreb, Croatia / T-Mobile INmusic Festival (deer 5001)",TV,DVD,*includes 2010-08-01
"7-9-2010 / Bilbao, ES / Kobetamendi - Bilbao BBK Live",PRO,DVD,
"8-1-2010 / Knebworth, UK / Sonisphere 2010",TV,DVD,*includes 2010-06-21
"9-24-2010 / Camden, NJ / Susquehanna Bank Center (Olympus LS10) (pineaway)",AUD,FLAC,
"9-25-2010 / Camden, NJ / Susquehanna Bank Cente (Olympus LS10) (pineaway)",AUD,FLAC,
,,,
[2011],,,
"8-13-2011 / Thackersville, OK / WinStar World Casino Global Event Center (Acoustic) (Zoom H2) (stevester)",AUD,FLAC,
"11-12-2011 / Santiago, Chile / Maquinaria Festival",Webcast,MKV,
"11-14-2011 / Sao Paulo, Brazil / Paulinia - SWU Music & Arts Festival",Webcast,MKV,
,,,
[2013],,,
"4-10-2013 / West Hollywood, CA / Jimmy Kimmel Live (hellrazor)",TV,FLAC,
"4-25-2013 / Miami Beach, FL / The Fillmore (Schoeps CCM4s) (john d.)",AUD,FLAC,
"4-30-2013 / Birmingham, AL / BJCC Concert Hall (Tascam DR-2D) (ballsdeep)",AUD,FLAC,
