A Perfect Circle,Versions,File Type,
Drive - B,,,
,,,
"7-28-2003 / Dallas, TX / Granada Theater (CSB) (adam)",AUD,FLAC,
"7-28-2003 / Dallas, TX / Granada Theater (Sony ECM-717) (mantra)",AUD,FLAC,
"7-30-2003 / Atlanta, GA / The Roxy (AT933s) (blg)",AUD,FLAC,
"7-30-2003 / Atlanta, GA / The Roxy (CSB) (rich & harry)",AUD,FLAC,
"7-30-2003 / Atlanta, GA / The Roxy (DAB) (unk)",AUD,FLAC,
"7-30-2003 / Atlanta, GA / The Roxy (DPA 4022) (js)",AUD,FLAC,
"8-1-2003 / Norfolk, VA / The Norva (CSB) (neognosis)",AUD,FLAC,
"8-2-2003 / Washington, D.C. / 9:30 Club (CSB) (neognosis)",AUD,FLAC,
"8-3-2003 / Boston, MA / Berkelee Performing Arts Center (DAB) (crimson)",AUD,FLAC,
"8-5-2003 / New York City, NY / Irving Plaza (CSB) (maria bressell)",AUD,FLAC,
"8-6-2003 / Philadelphia, PA / Theater of Living Arts (unk)",AUD,FLAC,
"8-8-2003 / Cleveland, OH / The Odeon (DAB) (marky)",AUD,FLAC,
"8-8-2003 / Cleveland, OH / The Odeon (CSB) (smagmapig)",AUD,FLAC,
"8-9-2003 / Detroit, MI / St. Andrews Hall (CSB) (henry dera)",AUD,FLAC,
"8-9-2003 / Detroit, MI / St. Andrews Hall (CSB) (gsp)",AUD,FLAC,
"8-9-2003 / Detroit, MI / St. Andrews Hall (ECM-MS-907) (junkhead)",AUD,FLAC,
"8-10-2003 / Chicago, IL / The Metro (DPA 4061)  (tapeworm)",AUD,FLAC,
"8-11-2003 / Minneapolis, MN / Pantages Theatre (CSB) (steelcorner27)",AUD,FLAC,
"8-15-2003 / Phoenix, AZ / Venue Cricket Pavilion - Lollapalooza (unk)",AUD,SHN,
"8-16-2003 / Irvine, CA / Verizon Wireless Amphitheater (DAB) (chris avis)",AUD,FLAC,
"8-17-2003 / San Diego, CA / Coors Amphitheater (Sanken COS11s) (charles)",AUD,FLAC,
"8-17-2003 / San Diego, CA / Coors Amphitheater (CSB) (jeff)",AUD,FLAC,
"8-17-2003 / San Diego, CA / Coors Amphitheater - DAT(M) (DPA 4061) (ed davis)",AUD,FLAC,
"8-17-2003 / San Diego, CA / Coors Amphitheater (unk) (keith) ",AUD,FLAC,
"8-19-2003 / San Francisco, CA / Lollapalooza (CSC) (michelle)",AUD,FLAC,
"8-19-2003 / San Francisco, CA / Lollapalooza - DAT(M) (Neumann KM140s) (wilson66)",AUD,FLAC,
"8-24-2003 / Portland, OR / Columbia Meadows (CSB) (toolmanjpc)",AUD,FLAC,
"8-24-2003 / Deer Island, OR / Columbia Fairgrounds - DAT(M) (SS DSM6S) (michael devitt)",AUD,FLAC,
"8-30-2003 / Calgary, Alberta / MacEwan Hall (unk) (mikey)",AUD,FLAC,
"9-1-2003 / Winnipeg, Manitoba / Walker Theatre (Cheap mics) (Sony MD) (unk)",AUD,FLAC,
"9-4-2003 / London, ON / Centennial Hall - DAT(M) (Sennheiser MKE-2002) (ms)",AUD,FLAC,
"9-6-2003 / Montreal, Quebec / Metropolis (DAB) (crimson)",AUD,FLAC,
"9-11-2003 / Toronto, Ontario / Opera House - DAT(M) (Sennheiser MKE-2002) (ms)",AUD,FLAC,
"9-11-2003 / Toronto, ON / The Opera House (CSB) (unk) ",AUD,FLAC,
"9-19-2003 / London, England / Wembley Arena (Sony ECM-717) (rob)",AUD,FLAC,
"9-20-2003 / Leuven, Belgium / Brabanthal (inc) (ECM 717) (unk)",AUD,FLAC,
"9-21-2003 / Rotterdam, Holland / Ahoy (Sharp MD-MT88) (unk)",AUD,FLAC,
"9-27-2003 / Paris, France / Bercy (ECM 717) (petitnounours)",AUD,FLAC,
"9-27-2003 / Paris, France / Bercy (ECM-959) (franck)",AUD,FLAC,
"9-27-2003 / Paris, France / Bercy (Soundman OKMII) (remi joubaud)",AUD,FLAC,
"10-2-2003 / London, England / Astoria (ECM-717) (rob)",AUD,FLAC,
"10-2-2003 / London, England / Astoria (unk)",AUD,FLAC,
"10-2-2003 / London, England / Astoria - miniDV(M) (master8uk) (upgrade)",AUD,DVD,
"10-18-2003 / Tokyo, Japan / Liquidroom (Sennheiser MKE27) (tommy530)",AUD,FLAC,
"10-31-2003 / San Antonio, TX / Joe & Harry Coliseum (Aiwa tie clip lav) (mslisa)",AUD,FLAC,
"10-31-2003 / San Antonio, TX / Joe & Harry Coliseum (CMC-4) (roi0420)",AUD,FLAC,
"10-31-2003 / San Antonio, TX / Joe & Harry Coliseum (CSB) (adam lancaster)",AUD,FLAC,
"10-31-2003 / San Antonio, TX / Joe & Harry Coliseum (CSB) (matt garner)",AUD,FLAC,
"11-1-2003 / Houston, TX / Reliant Arena (CSB) (adam lancaster)",AUD,FLAC,
"11-2-2003 / New Orleans, LA / Voodoo Music Festival - New Orleans City Park (CSB) (adam lancaster)",AUD,FLAC,
"11-2-2003 / New Orleans, LA / Voodoo Music Festival - New Orleans City Park (DAB) (bldymsofpsnsht/joseph)",AUD,FLAC,
"11-2-2003 / New Orleans, LA / Voodoo Music Festival - New Orleans City Park (SPt16 Cardioids) (maria a)",AUD,FLAC,
"11-5-2003 / Birmingham, AL / Boutwell Auditorium (SP-CMC-16) (chris brightwell)",AUD,FLAC,
"11-9-2003 / Jacksonville, FL / Times-Moran Theater - DAT(M) (DPA 4061) (pjdavep)",AUD,FLAC,
"11-11-2003 / Orlando, FL / Hard Rock Live - White Room - O-Rock 105.9 FM (breed)",FM,FLAC,
"11-13-2003 / Knoxville, TN / Knoxville Civic Coliseum - MD(M) (CSB) (neognosis)",AUD,FLAC,
"11-14-2003 / Memphis, TN / Midsouth Coliseum (CSB) (claycol)",AUD,FLAC,
"11-14-2003 / Memphis, TN / Midsouth Coliseum - MD(M) (CSB) (neognosis)",AUD,FLAC,
"11-15-2003 / Nashville, TN / Municipal Auditorium - MD(M) (CSB) (neognosis)",AUD,FLAC,
"11-17-2003 / Columbus, OH / Veterans Memorial Auditorium (CSB) (genghis cougar mellen khan)",AUD,FLAC,
"11-18-2003 / Pittsburgh, PA / AJ Pulumbo Center (MiniDV) (unk)",AUD,DVD,
"11-20-2003 / Syracuse, NY / War Memorial at OnCenter (DAB) (crimson)",AUD,FLAC,
"11-20-2003 / Syracuse, NY / War Memorial at OnCenter",AUD,DVD,
"11-21-2003 / Durham, NH / Whittemore Center (CSB) (toolmanjpc)",AUD,FLAC,
"11-21-2003 / Durham, NH / Whittemore Center (CSLC) (adat8)",AUD,FLAC,
"11-22-2003 / Portland, ME / Cumberland County Civic Center (CSB) (toolmanjpc)",AUD,FLAC,
"11-22-2003 / Portland, ME / Cumberland County Civic Center (unk) (shawn q)",AUD,FLAC,
"11-24-2003 / Providence, RI / Performing Arts Center (CSB/60) (toolmanjpc)",AUD,FLAC,
"11-24-2003 / Providence, RI / Performing Arts Center (DAB) (crimson)",AUD,FLAC,
"11-24-2003 / Providence, RI / Performing Arts Center (HEB) (unk)",AUD,FLAC,
"11-25-2003 / Wallingford, CT / Oakdale Theater (CSB/60) (toolmanjpc)",AUD,FLAC,
"11-25-2003 / Wallingford, CT / Oakdale Theater (DAB) (crimson)",AUD,FLAC,
"11-26-2003 / Albany, NY / The Palace Theater (MM-BSM-2) (toolsoberschism)",AUD,FLAC,
"11-26-2003 / Albany, NY / The Palace Theater (DAB) (crimson)",AUD,FLAC,
"11-28-2003 / Dayton, OH / Hara Arena - MD(M) (CSB) (neognosis)",AUD,FLAC,
"11-29-2003 / Louisville, KY / Louisville Gardens - MD(M) (CSB) (neognosis)",AUD,FLAC,
"11-30-2003 / Milwaukee, WI / Theatre - DAT(M) (Shure SM98) (ko)",AUD,FLAC,
"12-5-2003 / St. Paul, MN / Xcel Energy Center (CSBs) (steelcorner27)",AUD,FLAC,
"12-6-2003 / Cedar Rapids, IA / US Cellular Center (DACs) (pattycakes77)",AUD,FLAC,
"12-10-2003 / Peoria, IL / Peoria Civic Center (CSB) (karl)",AUD,FLAC,
"12-12-2003 / Lincoln, NE / The Pershing Center (ECM-DS70P) (unk)",AUD,FLAC,
,,,
[2004],,,
"1-16-2004 / Strasbourg, France / La Laiterie - DAT(M) (EM8) (unk)",AUD,FLAC,
"1-17-2004 / Lyon, France / Le Transbordeur - DAT(M) (Soundman OKMIIR) (franck)",AUD,FLAC,
"1-20-2004 / Lisbon, Portugal / Coliseu dos Recreios (Sony ICD MS515) (paulo ventura)",AUD,FLAC,
