Ryan Adams,Versions,File Type,
"5-11-2002 / Denver, CO / Magness Arena (AT853s) (ken mininger)",AUD,FLAC,
"9-28-2002 / Dallas, TX / Granada Theater (Solo except with strings) (v4tx)",AUD,FLAC,
"10-7-2002 / Northampton, MA / Calvin Center (daniel ross)",SBD,FLAC,
"10-8-2002 / Boston, MA / Orpheum Theater (daniel ross)",SBD,FLAC,
"10-10-2002 / New York, NY / Beacon Theatre",SBD,FLAC,
"10-13-2002 / Detroit, MI / State Theatre (altheanyl) (ellaguru transfer)",SBD,FLAC,
"10-14-2002 / Nashville, TN / Ryman Auditorium",AUD,FLAC,
"10-15-2002 / Chicago, IL / The Vic",AUD,FLAC,
"10-20-2002 / Denver, CO / Paramount Theatre",SBD,FLAC,
"10-24-2002 / San Francisco, CA / The Warfield (SP-BMC-1) (scott uyeda)",SBD,FLAC,
"10-24-2002 / San Francisco, CA / The Warfield",AUD,FLAC,
"10-26-2002 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit (SP-BMC-1)",AUD,FLAC,
"10-27-2002 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit (SP-BMC-1)",AUD,FLAC,
"10-29-2002 / Seattle, WA / Moore Theatre",SBD,FLAC,
"10-30-2002 / Portland, OR / Roseland Theater",SBD,FLAC,
"10-30-2002 / Portland, OR / Roseland Theater (AT831) (ryan musch)",AUD,FLAC,
"11-6-2002 / Berlin, Germany / Passionskirche",SBD,FLAC,
"11-7-2002 / Munich, Germany / Circus Krone Bau",AUD,FLAC,
"11-11-2002 / London, England / Royal Festival Hall - DAT(M) (willie thompson)",SBD,FLAC,
"11-11-2002 / London, England / Royal Festival Hall",AUD,FLAC,
"11-15-2002 / Helsinki, Finland / Savoy Theatre",AUD,FLAC,
"11-17-2002 / Stockholm, Sweden / China Theater",AUD,FLAC,
"11-18-2002 / Malmo, Sweden / KonserthusetFM",SBD,FLAC,
"11-18-2002 / Malmo, Sweden / Konserthuset",AUD,FLAC,
"11-20-2002 / Copenhagen, Denmark / Vega",SBD,FLAC,
"11-20-2002 / Copenhagen, Denmark / Vega",AUD,FLAC,
"11-21-2002 / Goteborg, Sweden / Draken",AUD,FLAC,
"11-21-2002 / Goteborg, Sweden / Draken",SBD,FLAC,
"11-23-2002 / Manchester, UK / The Apollo",SBD,FLAC,
"11-24-2002 / Edinburgh, UK / Usher Hall",SBD,FLAC,
"11-26-2002 / Belfast, Northern Ireland / Waterfront Hall (inc)",SBD,SHN,
"11-27-2002 / Dublin, Ireland / Olympia Theatre",SBD,FLAC,
"11-27-2002 / Dublin, Ireland / Olympia Theatre (johnky)",AUD,FLAC,
"11-28-2002 / Dublin, Ireland / Olympia Theatre ",SBD,FLAC,
"11-28-2002 / Dublin, Ireland / Olympia Theatre (johnky)",AUD,FLAC,
"12-1-2002 / Tilburg, Holland / 013",SBD,FLAC,
"12-3-2002 / Offenbach, Germany / Capitol",SBD,FLAC,
"12-4-2002 / Utrecht, The Netherlands / KRO FM Broadcast (inc)",FM,FLAC,
"12-5-2002 / Groningen, The Netherlands / Oosterpoort",SBD,FLAC,
"12-7-2002 / Brussels, Belgium / Ancienne Belgique",SBD,FLAC,
"12-8-2002 / Paris, France / Le Bataclan",SBD,SHN,
,,,
[2003],,,
"1-12-2003 / Boston, MA / Fleet Center",SBD,FLAC,
"1-16-2003 / New York, NY / Madison Square Garden",SBD,FLAC,
"1-17-2003 / New York, NY / Housing Works Book Cafe",SBD,FLAC,
"1-18-2003 / New York, NY / Madison Square Garden",SBD,FLAC,
"1-21-2003 / Chicago, IL / United Center (Sony MZ-R30)",AUD,FLAC,
"1-21-2003 / Chicago, IL / United Center",SBD,FLAC,
"1-22-2003 / Chicago, IL / United Center",SBD,FLAC,
"1-25-2008 / Houston, TX / Reliant Stadium",SBD,FLAC,
"1-28-2003 / Oklahoma City, OK / Ford Center",SBD,FLAC,
"7-4-2003 / New York, NY / Battery Park (Neumann TLM170) (scott bernstein)",AUD,FLAC,
"11-14-2003 / Stockholm, Sweden / Munchen Brewery",SBD,FLAC,
"11-19-2003 / Amsterdam, The Netherlands / Paradiso (miseryman)",SBD,FLAC,
"11-21-2003 / London, UK / Later with Jools Holland",TV,FLAC,
"11-22-2003 / Paris, France / Elysee Montmatre",AUD,FLAC,
"11-24-2003 / Manchester, England / The Academy",AUD,FLAC,
"11-26-2003 / London, UK / Forum",SBD,FLAC,
"12-3-2003 / Boston, MA / Paradise",AUD,FLAC,
"12-6-2003 / Philadelphia, PA / Electric Factory (dan billmeyer) (joel swaney remaster)",SBD,FLAC,
"12-10-2003 / Toronto, Ontario / Opera House (joel swaney)",SBD,FLAC,
"12-10-2003 / Toronto, Ontario / Opera House (Schoeps MK41) (fares halteh)",AUD,FLAC,
"12-11-2003 / Ann Arbor, MI / Michigan Theater (SBD + SPC-MC-8) (dan billmeyer, joel swaney)",SBD,FLAC,
"12-13-2003 / Chicago, IL / Riviera Theatre",AUD,FLAC,
"12-14-2003 / Minneapolis, MN / First Avenue (SP-CMC-8) (joel swaney)",AUD,FLAC,
,,,
[2004],,,
"1-15-2004 / London, England / Music Lounge",FM,FLAC,
"1-17-2004 / Cambridge, UK / Corn Exchange (nickcoolboy)",AUD,FLAC,
"1-17-2004 / Cambridge, UK / Corn Exchange",FM,FLAC,
"1-17-2004 / England, UK / Corn Exchange *Watch Your Step (Doberman 344-355) ",Silver CD,FLAC,
"1-20-2004 / London, UK / XFM Radio",FM,FLAC,
"1-21-2004 / Bristol, UK / Carling Academy",AUD,FLAC,
"1-22-2004 / Liverpool, UK / Royal Court Theater",AUD,FLAC,
"9-13-2004 / Columbia, MO / The Blue Note (SBD-dan billmeyer, AUD-joel swaney)",MTX,FLAC,
"9-14-2004 / Memphis, TN / New Daisy Theater (SBD-dan billmeyer, AUD-joel swaney)",MTX,FLAC,
"9-15-2004 / Atlanta, GA / Tabernacle (SBD-dan billmeyer, AUD-joel swaney)",MTX,FLAC,
"9-17-2004 / Austin, TX / ACL Festival - SBC Stage - Zilker Park (ADK-TL)",AUD,FLAC,
"9-17-2004 / Austin, TX / ACL Festival - SBC Stage - Zilker Park (joel swaney)",MTX,FLAC,
"9-22-2004 / San Francisco, CA / The Warfield (DPA 4060s)",AUD,FLAC,
"9-23-2004 / San Francisco, CA / The Warfield",AUD,M4A,
"9-30-2004 / New York, NY / Beacon Theater (Schoeps MK4) (joel swaney)",AUD,FLAC,
"10-1-2004 / New York, NY / Beacon Theater (Sharp MD)",AUD,FLAC,
"11-13-2004 / Chicago, IL / Mandel Hall - University of Chicago (joel swaney)",AUD,FLAC,
"11-15-2004 / Minneapolis, MN / State Theater (joel swaney)",SBD,FLAC,
"11-16-2004 / Omaha, NE / Sokol Auditorium (joel swaney)",SBD,FLAC,
"11-20-2004 / Nashville, TN / Ryman Auditorium (AKG ck63s) (jon ice)",AUD,FLAC,
,,,
[2005],,,
"4-19-2005 / Washington, D.C. / The Loft Sessions",FM,FLAC,
"4-26-2005 / New York, NY / The Theatre at Madison Square Garden (KM184) (rob clarke)",AUD,FLAC,
"4-27-2005 / Northampton, MA / Calvin Theatre (KM-140s) (kevin wathen)",AUD,FLAC,
"4-28-2005 / Burlington, VT / Higher Ground (kevin wathen)",SBD,FLAC,
"4-29-2005 / Hampton Beach, NH / Hampton Beach Casino Ballroom (kevin wathen)",SBD,FLAC,
"4-29-2005 / Hampton Beach, NH / Hampton Beach Casino Ballroom (AT803bs) (dave mallick)",AUD,FLAC,
"5-1-2005 / Monteal, Quebec / Spectrum (kevin wathen)",SBD,FLAC,
"5-3-2005 / Toronto, Ontario / Kool Haus (kevin wathen)",SBD,FLAC,
"5-6-2005 / Columbus, OH / Promowest Pavilion (kevin wathen)",SBD,FLAC,
"5-7-2005 / Knoxville, TN / Tennessee Theater (joel swaney)",MTX,FLAC,
"5-7-2005 / Knoxville, TN / Tennessee Theater (kevin wathen)",MTX,FLAC,
"5-9-2005 / Asheville, NC / Thomas Wolfe Auditorium (kevin wathen)",SBD,FLAC,
"5-11-2005 / Louisville, KY / W.L. Lyons Brown Theatre (CK63) (jon ice)",AUD,FLAC,
"5-13-2005 / Millvale, PA / Mr. Smalls Funhouse (kevin wathen)",SBD,FLAC,
"5-13-2005 / Millvale, PA / Mr. Smalls Funhouse (KM140) (kevin wathen)",AUD,FLAC,
"5-14-2005 / Buffalo, NY / The Sphere (david klein)",SBD,FLAC,
