The Flaming Lips,Versions,File Type
"11-10-2003 / London, England / BBC Radio Show 2 - The Janice Long Show (jumpsuit james)",FM,FLAC
,,
[2004],,
"1-24-2004 / Sydney, Australia / Big Day Out Festival - Triple J (inc)",FM,FLAC
"5-2-2004 / Indio, CA / Coachella Festival (sbdjohnny/boldcaptain)",AUD,FLAC
"11-7-2004 / Long Beach, CA / ATP Festival at the Queen Mary (robin cunningham)",AUD,FLAC
"12-31-2004 / New York, NY / Madison Square Garden (george wang)",AUD,FLAC
"12-31-2004 / New York, NY / Madison Square Garden (julsay) (joe noel edit)",SBD,FLAC
,,
[2005],,
"7-15-2005 / Masontown, WV / Marvin's Mountaintop Allgood Summer Festival (alex herd)",AUD,FLAC
,,
[2006],,
"3-16-2006 / Austin, TX / SXSW Festival - Eternal - BBC Radio1",FM,FLAC
6-23-2006 / Jools Holland,TV,FLAC
"7-23-2006 / Hollywood, CA / Hollywood Bowl (benchboy)",AUD,FLAC
"7-29-2006 / Morrison, CO / Red Rocks Amphitheater (Octava MC012)",AUD,FLAC
"8-4-2006 / Detroit, MI / State Theater (DPA 4061s)",AUD,FLAC
"9-7-2006 / Burlington, VT / Patrick Gymnasium (CSB)",AUD,FLAC
"9-15-2006 / Oklahoma City, OK / Zoo Theater *U.F.O's at the Zoo",SBD,FLAC
"11-15-2006 / Santa Monica, CA / KCRW Studios - Morning Becomes Eclectic (nibbler)",FM,FLAC
,,
[2007],,
"9-19-2007 / Portland, OR / Roseland Theater (thir13en remaster)",MTX,FLAC
"12-31-2007 / Oklahoma City, OK / Cox Convention Center (ian roegels)",AUD,FLAC
,,
[2008],,
"5-23-2008 / Chillicothe, IL / Summer Camp - Sunshine Stage (john dewey)",AUD,FLAC
"7-25-2008 / Detroit Lakes, MI / Soo Pass Ranch (C42MP) (michael townshend)",AUD,FLAC
"11-12-2008 / Santa Monica, CA / KCRW Studios - Wayne Coyne (guest DJ with Nic Harcourt)",FM,FLAC
12-7-2008 / VH1 Rock Honors - The Who,TV,FLAC
"12-31-2008 / Oklahoma City, OK / Cox Convention Center (Sony ECM-719)",AUD,FLAC
,,
[2009],,
"4-19-2009 / Washington, D.C. / National Mall (jamie lykos)",AUD,FLAC
"4-25-2009 / Scottsdale, AZ / Westworld of Scottsdale (drock)",AUD,FLAC
"7-26-2009 / Byron Bay, Australia / Splendour in the Grass Festival (azure sea)",FM,FLAC
"9-13-2009 / Monticello, NY / Kutchers Country Club (Sony ECM-719)",AUD,FLAC
"10-16-2009 / Santa Monica, CA / Morning Becomes Eclectic (nibbler)",FM,FLAC
,,
[2010],,
"3-13-2010 / Denton, TX / North Texas Fairgrounds - NX35 Festival (sam stratton)",AUD,FLAC
"4-15-2010 / Charlottesville, VA / Charlottesville Pavilion (craig davis)",AUD,FLAC
