Jimi Hendrix,Versions,File Type,
"5-30-1968 / Zurich, Switzerland / Hallenstadion (fd cleanup)",AUD,FLAC,
"5-31-1968 / Zurich, Switzerland / Hallenstadion (fd cleanup) (ATM 053)",AUD,FLAC,
"5-31-1968 / Zurich, Switzerland / Hallenstadion (1st gen cassette)",AUD,FLAC,
"6-5-1968 / Hertfordshire, UK / Borehamwood *It Must Be Dusty",TV,FLAC,
"7-4-1968 / New York, NY / Generation Club",AUD,MPG,
"8-3-1968 / Dallas, TX / Moody Coliseum",AUD,FLAC,
"8-4-1968 / Houston, TX / Sam Houston Coliseum (Master)",AUD,FLAC,
"8-11-1968 / Davenport, IA / Col Ballroom (inc)",AUD,FLAC,
"8-11-1968 / Davenport, IA / Col Ballroom *Davenport '68 (lpmarkum7 transfer) (goody remaster)",AUD,FLAC,
"8-16-1968 / Columbia, MD / Merriweather Post Pavilion",AUD,FLAC,
"8-18-1969 / Bethel, NY / Max Yasgur's Farm (Woodstock) ",SBD,FLAC,
"8-23-1968 / Queens, NY / Flushing Meadows Park (New York Rock Festival - Singer Bowl) (ATM 233)",AUD,FLAC,
"8-23-1968 / Queens, NY / Flushing Meadows Park (New York Rock Festival - Singer Bowl) (stern-bong) (amalie r.)",AUD (48k),FLAC,
"8-23-1968 / Queens, NY / Flushing Meadows Park (New York Rock Festival - Singer Bowl) (stern-bong) (amalie r.)",AUD,DVD,
"9-4-1968 / Phoenix, AZ / Arizona Veterans Memorial Coliseum",AUD,FLAC,
"9-4-1968 / Phoenix, AZ / Arizona Veterans Memorial Coliseum (fd cleanup)",AUD,FLAC,
"9-7-1968 / Vancouver, BC / Pacific Coliseum *Takes Purple Barrel Acid (Tarantura)",Silver CD,FLAC,
"9-7-1968 / Vancouver, BC / Pacific Coliseum (fd cleanup) (goody)",AUD,FLAC,
"9-7-1968 / Vancouver, BC / Pacific Coliseum (unk)",AUD,FLAC,
"9-8-1968 / Spokane, WA / Coliseum",AUD,FLAC,
"9-9-1968 / Portland, OR / Memorial Coliseum (master clone)",AUD,FLAC,
"9-14-1968 / Hollywood, CA / Hollywood Bowl (fd cleanup) (ATM 255)",AUD,FLAC,
"9-14-1968 / Hollywood, CA / Hollywood Bowl (1st gen new transfer)",AUD,FLAC,
"10-XX-1968 / San Francisco, CA / Winterland - Interview by Gus Gossett for KNPX (master tape)",AUD,,
10-XX-1968 / Winterland Nights,Silver CD,FLAC,
"10-10-1968 / San Francisco, CA / Winterland Arena (1st and 2nd show) *Hell Fire Red Collector's Disc",SBD,FLAC,
10-11-1968 / Winterland Arena / The Evan Tape,AUD,FLAC,
"10-12-1968 / San Francisco, CA / Winterland Arena (Early & Late Show) (1st gen SBD)",SBD,FLAC,
"10-16-1968 / Hollywood, CA / TTG Studios (Studio B) *The Jack Bruce Jam",SBD,FLAC,
"10-17-1968 / Hollywood, CA / Sunset-Highland Recording Studios *JH & Jack Bruce Jams (Master)",SBD,FLAC,
"10-27-1968 / Hollywood, CA / TTG Studios w/ AndyS and Robert Wyatt",Studio,FLAC,
"11-2-1968 / Minneapolis, MN / Minneapolis Auditorium (chris dixon series)",AUD,FLAC,
"11-16-1968 / Boston, MA / Boston Garden (ATM 139) (fd cleanup)",AUD,FLAC,
"11-27-1968 / Providence, RI / Rhode Island Auditorium (fd cleanup)",AUD,FLAC,
11-28-1968 / New York / Philharmonic Hall *An Electronic Thanksgiving (1st show) - ANA(1),AUD,,
11-28-1968 / New York / Philharmonic Hall *Live at Philharmonic Hall,AUD,FLAC,
11-28-1968 / New York / Philharmonic Hall (Source 2),AUD,FLAC,
11-28-1968 / New York / Philharmonic Hall (thomas geneser 3-source merge),MTX,FLAC,
"11-30-1968 / Detroit, MI / Cobo Arena (ATM 231-232) (fd cleanup and merge)",AUD,FLAC,
"12-1-1968 / Chicago, IL / The Coliseum *Chicago '68 - ANA(1)",AUD,FLAC,
,,,
[1969],,,
XX-XX-1969 / 2 Guitars On A Wednesday Night (Jimi's Private Reels Vol. 1) (DL 129),Silver CD,FLAC,
"1-8-1969 / Gothenburg, Sweden / Lorensbergs Circkus (1st gen)",AUD,FLAC,
"1-8-1969 / Gothenburg, Sweden / Lorensbergs Circkus - Master Reel (Second Show)",AUD,FLAC,
"1-8-1969 / Gothenburg, Sweden / Lorensbergs Circkus (Gothenburg resynced) (clip)",PRO,DVD,
"1-9-1969 / Stockholm, Sweden / Konserthuset *On the Killing Floor (Both shows)",SBD,FLAC,
"1-9-1969 / Stockholm, Sweden / 2nd show *Live in Stockholm",SBD,FLAC,
"1-10-1969 / Copenhagen, Denmark / Falkoner Centret - 1st show - Master *Welcome to the Electric Circus",AUD,SHN,
"1-11-1969 / Hamburg, Germany / Musikhalle - Master (wilfried lilie)",AUD,FLAC,
"1-13-1969 / Koln, Germany / Sporthalle (Master Reel)",AUD,FLAC,
"1-14-1969 / Munster, Germany / Halle Munsterland (2nd source) *Savage Beethoven & Electric Warrior (mix)",AUD,FLAC,
"1-14-1969 / Munster, Germany / Halle Munsterland *Shut Up and Listen (vibratory munster 3 source merge)",AUD,APE,
"1-16-1969 / Nuremburg, Germany / Meistersingerhalle (1st gen reel remaster) (chris dixon series)",AUD,FLAC,
"1-16-1969 / Nuremburg, Germany / Meistersingerhalle - ANA(3)",AUD,FLAC,
"1-17-1969 / Frankfurt, Germany / Jahrhunderhalle",SBD,FLAC,
"1-19-1969 / Stuttgart, Germany / Liederhalle (harald rapp)",AUD,FLAC,
"1-22-1969 / Wien, Austria / Grober Saal *Stimmen der Welt - ANA(2)",AUD,FLAC,
"1-23-1969 / Berlin, Germany / Sportpalast *Up Against The Berlin Wall (MBCD046)",Silver CD,SHN,
2-XX-1969 / February 1969 Sessions,SBD,FLAC,
"2-18-1969 / London, UK / Royal Albert Hall *First Night at the Royal Albert Hall (2CD)",SBD,FLAC,
"2-24-1969 / London, UK / Royal Albert Hall *An Evening with the JH Experience (HAZE 007)",Silver CD,FLAC,
"2-24-1969 / London, UK / Royal Albert Hall",Silver CD,FLAC,
"2-24-1969 / London, UK / Royal Albert Hall *He Was A Friend Of Ours (remastered rehearsals)",Silver CD,APE,
"2-24-1969 / London, UK / Royal Albert Hall *Listen to this Eric (JH 003/004)",Silver CD,FLAC,
"3-25-1969 / New York, NY / Record Plant *Complete McLaughlin Jam",SBD,FLAC,
3-30-1969 / The Palladium - 1969 Jam Session (Pop Expo '69) *Teenage Fair,AUD,FLAC,
4-4-1969 / Pop Expo and Interview (fd cleanup),,FLAC,
"4-12-1969 / Philadelphia, PA / Spectrum (with Fat Mattress)",AUD,FLAC,
"4-18-1969 / Memphis, TN / Ellis Auditorium Amphitheatre - North Hall (2nd show) (chris dixon series)",AUD,FLAC,
"4-19-1969 / Houston, TX / Sam Houston Coliseum",AUD,FLAC,
"4-20-1969 / Dallas, TX / Memorial Auditorium",AUD,FLAC,
"4-26-1969 / Los Angeles, CA / LA Forum",AUD,FLAC,
"4-27-1969 / Oakland, CA / Coliseum",?,APE,
"5-3-1969 / Toronto, Ontario / Maple Leaf Gardens *Busted in Toronto (VE100502)",Silver CD,FLAC,
"5-11-1969 / Indianapolis, IN / State Fairgrounds Coliseum - Fieldhouse (chris dixon series)",AUD,FLAC,
"5-14-1969 / New York, NY / Record Plant Sessions - JH & Larry Young",SBD,FLAC,
"5-16-1969 / Balitmore, MD / Civic Center (ATM 125) (1st gen)",AUD,FLAC,
"5-17-1969 / Providence, RI / Rhode Island Auditorium *One Night at the Arena (fd cleanup) AUD(3)",AUD,FLAC,
"5-18-1969 / New York, NY / Madison Square Garden (JPIO II 014) (3 source merge)",AUD,FLAC,
"5-24-1969 / San Diego, CA / International Sports Arena",SBD,FLAC,
"5-24-1969 / San Diego, CA / International Sports Arena (bob yeager) (fd cleanup)",SBD,FLAC,
"5-25-1969 / San Jose, CA / Santa Clara County Fairgrounds - Northern CA Folk Festival *Do You Know the Way (ATM 146) (fd cleanup)",AUD,FLAC,
"5-25-1969 / San Jose, CA / Santa Clara County Fairgrounds - Northern CA Folk Festival (ross tape)",AUD,FLAC,
"5-30-1969 / Honolulu, HI / Waikiki Shell",AUD,FLAC,
"5-31-1969 / Honolulu, HI / Waikiki Shell (earlier version)",AUD,FLAC,
"5-31-1969 / Honolulu, HI / Waikiki Shell (fd cleanup)",AUD,FLAC,
"6-20-1969 / Devonshire Downs, CA / San Fernando Valley State College *Newport Pop Festival (WT 2001023/24/25)",Silver CD,FLAC,
"6-20-1969 / Northridge, CA / Newport Pop at Devonshire Downs (goody) ",SBD,FLAC,
"6-22-1969 / Northridge, CA / Newport Pop Festival *Newport Pop Festival (WT 2001023/24/25) (repaired version)",Silver CD,FLAC,
"6-29-1969 / Denver, CO / Mile High Stadium *The Denver Pop Festival (Whiteflame stereo merge)",AUD,FLAC,
"7-10-1969 / New York, NY / Johnny Carson Tonight Show (NBC TV)",TV,SHN,
"7-10-1969 / New York, NY / Johnny Carson Tonight Show (NBC TV) (2008 transfer)",TV,FLAC,
8-10-1969 / Woodstock NY / Tinker Street Cinema,AUD,SHN,
"8-14-1969 / Shokan, NY / Jimi's House - Traver Hollow Road",AUD,APE,
"8-18-1969 / Bethel, NY / Max Yasgur's Farm - Woodstock",SBD,SHN,
"8-18-1969 / Bethel, NY / Max Yasgur's Farm - Woodstock (wayne gucwa)",SBD,SHN,
"9-5-1969 / New York, NY / Harlem Benefit - United Block Association",?,APE,
"9-6-1969 / New York, NY / The Hit Factory *Singing the Blues in NYC (WJ 404)",SBD,FLAC,
9-13-1969 / At His Best Mike Ephron Sessions (ATM 193-194) *Jimi Hendrix At His Best,SBD,FLAC,
9-19-1969 / This Flyer LP,SBD,FLAC,
9-30-1969 / Paul McCartney BDay Jam *You Can Be Anyone This Time Around,AUD,SHN,
12-18-1969 / New York / Band of Gypsys Rehearsals *Dagger #5,SBD,FLAC,
"12-31-1969 / New York, NY / Fillmore East (New Year's Eve Late Show) (vibratory 3 source merge)",SBD,FLAC,
,,,
[1970],,,
1-1-1970 / Band of Gypsy's (Early show),SBD,FLAC,
"1-9-1970 / Gothenburg, Sweden / Stora Scenen, Liseberg (ATM 162-163) (hawkfan369)",AUD,FLAC,
"1-23-1970 / New York, NY / Record Plant - Sessions Vol. 1 (ATM 045)",SBD,FLAC,
"1-28-1970 / New York, NY / Madison Square Garden (earthblues merg v1.0)",AUD,FLAC,
"2-1-1970 / New York, NY / Jimi's Apartment (Jam with Mitch)",,FLAC,
"2-4-1970 / Atlanta, GA / Atlanta Pop Festival (Interview for Rolling Stone)",,FLAC,
"4-25-1970 / Inglewood, CA / LA Forum (2 source remaster)",AUD,FLAC,
"4-25-1970 / Inglewood, CA / LA Forum (3rd source)",AUD,FLAC,
"4-25-1970 / Inglewood, CA / LA Forum (4th source)",AUD,FLAC,
"4-25-1970 / Inglewood, CA / LA Forum (3 source mix)",MIX,FLAC,
"4-26-1970 / Sacramento, CA / Cal Expo Racetrack (univibes)",AUD,FLAC,
"5-1-1970 / Milwaukee, WI / Milwaukee Auditorium (unk gen) (chris dixon series)",AUD,FLAC,
"5-1-1970 / Milwaukee, WI / Milwaukee Auditorium (1st gen upgrade)",AUD,FLAC,
