Primus,Versions,File Type,
"8-1-1995 / Worcester, MA / Memorial Auditorium (ga5150 transfer) ",AUD,FLAC,
"8-5-1995 / Upper Darby, PA / Tower Theatre",AUD,FLAC,
"8-12-1995 / West Palm Beach, FL / Auditorium - ANA(M) (Sony bullet) (floridian)",AUD,FLAC,
"8-19-1995 / Dallas, TX / Fair Park - Dallas Bandshell (AKG C461's) (kyle holbrook)",AUD,FLAC,
"8-23-1995 / Hollywood, CA / Universal Amphitheater",AUD,FLAC,
"8-24-1995 / San Diego, CA / SDSU Open Air Theatre",AUD,FLAC,
"8-26-1995 / Berkeley, CA / Greek Theater (unk) (neekrive)",AUD,FLAC,
"8-28-1995 / Seattle, WA / Seattle Arena",AUD,FLAC,
"8-29-1995 / Vancouver, BC / Pacific Coliseum (audioarchivist)",AUD,FLAC 24,
"9-15-1995 / London, England / London Astoria (ga5150 transfer)",AUD,FLAC,
"9-23-1995 / Copenhagen, Denmark / Den Gra Hal",AUD,FLAC,
"9-26-1995 / Stockholm, Sweden / Cirkus Cap",AUD,FLAC,
"10-24-1995 / Paris, France / Elysee Montmartre (Soundman OKMIIR)",AUD,FLAC,
"10-24-1995 / Paris, France / Elysee Montmartre",AUD,FLAC,
"11-12-1995 / Detroit, MI / Fox Theatre (Walkman)",AUD,FLAC,
"11-14-1995 / Kalamazoo, MI / State Theater",AUD,FLAC,
"11-15-1995 / Dayton, OH / Hara Arena",AUD,FLAC,
"11-15-1995 / Dayton, OH / Hara Arena",AUD,FLAC,
"11-22-1995 / Bethlehem, PA / Stabler Arena (inc)",AUD,FLAC,
"11-24-1995 / Uniondale, NY / Nassau Coliseum (unk)",AUD,FLAC,
"11-24-1995 / Uniondale, NY / Nassau Coliseum (unk)",AUD,FLAC,
"12-10-1995 / Denver, CO / Mammoth Evenrs Center (MarC Binaurals) (marcr) ",AUD,FLAC 24,
"12-31-1995 / Oakland, CA / Oakland Coliseum (unk) (neekrive)",AUD,FLAC,
,,,
[1996],,,
"1-9-1996 / San Francisco, CA / Bimbo's 365 (unk)",AUD,FLAC,
"1-9-1996 / San Francisco, CA / Bimbo's 365 (unk) (neekrive)",AUD,FLAC,
"2-23-1996 / Osaka, Japan / Club Quattro",AUD,FLAC,
"4-18-1996 / Philadelphia, PA / The Electric Factory",AUD,FLAC,
"4-19-1996 / Washington, D.C. / 9:30 Club",AUD,FLAC,
"4-22-1996 / Columbus, OH / Newport Music Hall (Core Sounds Omni S-7)",AUD,FLAC,
"4-25-1996 / Houston, TX / International Ballroom",SBD,FLAC,
"4-26-1996 / Austin, TX / Austin Music Hall",AUD,FLAC,
"5-7-1996 / San Francisco, CA / Bill Graham Civic Auditorium - ANA(x)",AUD,FLAC,
"5-7-1996 / San Francisco, CA / Bill Graham Civic Auditorium (unk) (neekrive)",AUD,FLAC,
"5-9-1996 / Vancouver, BC / U.B.C. Student Rec. Center - Sony Hi8(M)",AUD,DVD,
"5-13-1996 / Anchorage, AL / Egan Center (DSM6s)",AUD,FLAC,
"5-13-1996 / Anchorage, AL / Egan Center (Sonic Studios DSM6/EL)",AUD,FLAC,
11-17-1996 / Conan O'Brien - Mrs. Blaileen - VHS(M),TV,DVD,
"12-31-1996 / San Francisco, CA / Herbst Pavilion",AUD,FLAC,
,,,
[1997],,,
"6-25-1997 / Paris, France / Le Bataclan (OKM IIR)",AUD,FLAC,
"6-26-1997 / Nijmegen, NL / Vereniging",AUD,FLAC,
"6-28-1997 / Roskilde, Denmark / Roskilde Festival",SBD,FLAC,
"7-11-1997 / Mountain View, CA / Shoreline Amphitheatre - H.O.R.D.E. Festival (AKG 568s)",AUD,FLAC,
"7-11-1997 / Mountain View, CA / Shoreline Amphitheatre (unk) (cleantones transfer)",AUD,FLAC,
"7-13-1997 / Portland, OR / Portland Meadows (AKG480/CK61)",AUD,FLAC,
"7-13-1997 / Portland, OR / Portland Meadows (unk)",AUD,FLAC,
"7-18-1997 / Phoenix, AZ / Blockbuster Desert Sky Pavilion (ga5150 transfer)",AUD,,
"7-20-1997 / Denver, CO / Fiddler's Green Amphitheatre (AKG480/CK61)",AUD,FLAC,
"7-20-1997 / Denver, CO / Fiddler's Green Amphitheatre (unk)",AUD,FLAC,
"7-23-1997 / Kansas City, KS / Sandstone Amphitheatre",AUD,FLAC,
"7-24-1997 / Maryland Heights, MO / Riverport Amphitheater - H.O.R.D.E. Festival (stacy)",SBD,FLAC,
"7-25-1997 / Indianapolis, IN / Deer Creek Amphitheatre - ANA(1) (Tascam DA-P1)",AUD,FLAC,
"7-25-1997 / Indianapolis, IN / Deer Creek Amphitheatre",AUD,FLAC,
"7-27-1997 / Clarkston, MI / Pine Knob Amphitheatre",AUD,FLAC,
"7-27-1997 / Clarkston, MI / Pine Knob Amphitheatre - DAT(M)",AUD,FLAC,
"7-29-1997 / Cincinatti, OH / Riverbend Amphitheatre - ANA(1)",AUD,FLAC,
"7-29-1997 / Cincinatti, OH / Riverbend Amphitheatre",AUD,FLAC,
"7-29-1997 / Cincinnati, OH / Riverbend Music Center - H.O.R.D.E. Festival (Speed Corrected) ",AUD,FLAC,
"7-30-1997 / Columbus, OH / Polaris Theater (Schoeps)",AUD,FLAC,
"7-30-1997 / Columbus, OH / Polaris Theater (Schoeps MK4) (jordan braunstein)",AUD,FLAC,
"8-2-1997 / East Troy, WI / Alpine Valley Music Theatre",SBD,FLAC,
"8-2-1997 / East Troy, WI / Alpine Valley Music Theatre (Morphine/Les Claypool)",AUD,FLAC,
"8-2-1997 / East Troy, WI / Alpine Valley Music Theatre",SBD,SHN,
"8-2-1997 / East Troy, WI / Alpine Valley Music Theatre - DAT(M) (PZM) (cf)",AUD,FLAC,
"8-2-1997 / East Troy, WI / Alpine Valley Music Theatre",SBD,FLAC,
"8-3-1997 / Tinley Park, IL / World Amphitheatre (unk)",AUD,FLAC,
"8-3-1997 / Tinley Park, IL / World Amphitheatre (CoreSound Omnis)",AUD,FLAC,
"8-5-1997 / Vernon, NY / Vernon Downs (unk)",AUD,FLAC,
"8-5-1997 / Vernon, NY / Vernon Downs (Schoeps MK4) (tc)",AUD,FLAC,
"8-5-1997 / Vernon, NY / Vernon Downs (Sony D7)",AUD,FLAC,
"8-6-1997 / Hartford, CT / Meadows Music Theater - HORDE Festival (Schoeps CMCs) (unk)",AUD,FLAC,
"8-8-1997 / Mansfield, MA / Great Woods (unk)",AUD,FLAC,
"8-9-1997 / Mansfield, MA / Great Woods",AUD,FLAC,
"8-10-1997 / Saratoga Springs, NY / Saratoga Performing Arts Center - DAT(2) (unk)",AUD,FLAC,
"8-10-1997 / Saratoga Springs, NY / Saratoga Perfoming Arts Center",AUD,FLAC,
"8-12-1997 / Wantagh, NY / Jones Beach Amphitheatre (unk)",AUD,FLAC,
"8-16-1997 / Bristow, VA / Nissan Pavilion",AUD,FLAC,
"8-16-1997 / Bristow, VA / Nissan Pavilion (AKG 391s) (frank d'auria)",AUD,FLAC,
"8-17-1997 / Camden, NJ / Sony E-Center (Schoeps MK8) (keith litzenberger)",AUD,FLAC,
"8-24-1997 / San Francisco, CA / Modern Rock Live",FM,FLAC,
"10-2-1997 / Dallas, TX / Bronco Bowl",AUD,FLAC,
"10-8-1997 / Miami, FL / Sunrise Musical Theatre",AUD,FLAC,
"10-11-1997 / Atlanta, GA / The Masquerade",AUD,FLAC,
"10-14-1997 / Norfolk, VA / The Boathouse (ga5150 transfer)",AUD,FLAC,
"10-16-1997 / Rochester, NY / Dome Arena (Sony ECM 727)",AUD,FLAC,
"10-17-1997 / New York, NY / Roseland Ballroom",AUD,FLAC,
"10-30-1997 / Cincinnati, OH / The Garage",AUD,FLAC,
"10-31-1997 / Detroit, MI / State Theatre - DAT(M) (Marcsounds)",AUD,FLAC,
"10-31-1997 / Detroit, MI / State Theatre (unk)",AUD,FLAC,
"10-31-1997 / Detroit, MI / State Theatre",,FLAC,
"11-1-1997 / Kalamazoo, MI / State Theatre - DAT(M) (Marcsounds)",AUD,FLAC,
"11-7-1997 / Minneapolis, MN / State Theatre",AUD,FLAC,
"11-10-1997 / Columbia, MO / The Blue Note (ga5150 transfer)",AUD,FLAC,
"11-11-1997 / Kansas City, MO / Beaumont Club (ga5150 transfer) ",AUD,FLAC,
"11-16-1997 / Los Angeles, CA / Hollywood Palladium (ga5150 transfer)",FM,FLAC,
"12-31-1997 / Oakland, CA / Henry J. Kaiser Arena",AUD,FLAC,
,,,
[1998],,,
"2-4-1998 / San Francisco, CA / Bimbo's 365 Nightclub - DAT(M) (Sony ECM959A) (jon weber)",AUD,FLAC,
"2-10-1998 / San Jose, CA / Event Center",AUD,FLAC,
"2-26-1998 / Madison, WI / Dane County Expo",AUD,FLAC,
"3-3-1998 / Toronto, Ontario / The Warehouse",AUD,FLAC,
"3-4-1998 / Ottawa, Ontario / Ottawa Congress Centre - ANA(M)",AUD,FLAC,
"3-10-1998 / Rochester, NY / The Dome Arena (Radioshack Optimus)",AUD,FLAC,
"5-11-1998 / New York, NY / Irving Plaza (Sony WM-D3)",AUD,FLAC,
"5-26-1998 / Toulouse, France / Bikini",AUD,FLAC,
"5-28-1998 / Paris, France / Le Bataclan (OKMIIR)",AUD,FLAC,
"5-29-1998 / Strasbourg, France / Laiterie (Sony ECM717)",AUD,FLAC,
"6-15-1998 / Olso, Norway / Rockefeller",AUD,FLAC,
"6-16-1998 / Stockholm, Sweden / Klubben Fryshuset - ANA(1)",AUD,FLAC,
"6-25-1998 / Amsterdam, The Netherlands / Paradiso",AUD,FLAC,
"6-28-1998 / Dessel, Belgium / Boeretang - Graspop Festival",AUD,FLAC,
