Counting Crows,Versions,File Type,
"12-11-1996 / New York, NY / Ed Sullivan Theater (Letterman) - VHS(x)",TV,DVD,
"12-12-1996 / New York, NY / Ed Sullivan Theater (Letterman)",TV,FLAC,
"12-17-1996 / Los Angeles, CA / Wiltern Theatre (unk)",AUD,FLAC,
"12-20-1996 / Los Angeles, CA / Wiltern Theatre",AUD,FLAC,
"12-21-1996 / Los Angeles, CA / Wiltern Theatre",FM,FLAC,
,,,
[1997],,,
1-19-1997 / Modern Rock Live Radio (Interview),FM,FLAC,
"1-20-1997 / New York, NY / Rock Line Radio (Interview)",FM,M4A,
"1-24-1997 / Austin, TX / Austin City Coliseum",AUD,MP3,
"1-25-1997 / Dallas, TX / Dallas Music Complex - ANA(1) (unk)",AUD,FLAC,
"1-28-1997 / Oklahoma City, OK / Civic Center Music Hall (unk)",AUD,FLAC,
"1-31-1997 / Memphis, TN / Orpheum Theater",AUD,MP3,
"2-7-1997 / Ft. Lauderdale, FL / Sunrise Theater",AUD,FLAC,
"2-10-1997 / Athens, GA / Classic Center Theater *Barely Out of Athens",AUD,FLAC,
"2-13-1997 / Atlanta, GA / The Roxy",AUD,M4A,
"2-14-1997 / Charlotte, NC / Halton Arena (unk)",AUD,FLAC,
"2-14-1997 / Charlotte, NC / Halton Arena (inc)",AUD,DVD,
"2-17-1997 / Richmond, VA / Landmark Theater (unk)",AUD,FLAC,
"2-20-1997 / Bloomington, IN / IU Auditoreum",AUD,FLAC,
"2-23-1997 / Cleveland, OH / Music Hall",AUD,FLAC,
"2-25-1997 / New Brunswick, NJ / State Theatre (inc)",AUD,FLAC,
"3-10-1997 / Chicago, IL / Aragon Ballroom",AUD,FLAC,
"3-14-1997 / Detroit, MI / State Theater",AUD,FLAC,
"3-17-1997 / Indianapolis, MN / Murat Theatre (Sony 727) (unk)",AUD,FLAC,
"3-19-1997 / Minneapolis, MN / Northrup Auditorium (unk)",AUD,FLAC,
