Soundgarden,Versions,File Type,
"7-21-1992 / Vancouver, BC / UBC Thunderbird Stadium (Lollapalooza)",AUD,FLAC,
"7-22-1992 / Bremerton, WA / Kitsap County Fairgrounds",SBD  ,FLAC,
"7-22-1992 / Bremerton, WA / Kitsap County Fairgrounds",,DVD,
"8-4-1992 / Saratoga Springs, NY / SPAC - ANA(x) (unk)",AUD,FLAC 24,
"8-7-1992 / Mansfield, MA / Great Woods Center for the Performing Arts (Lollapalooza)",AUD,FLAC,
"8-16-1992 / Burgettstown, PA / Coca-Cola Star Lake Amphitheater",AUD,FLAC,
"8-20-1992 / Atlanta, GA / Lakewood Amphitheatre (ECM102) (jim hennessy) ",AUD,FLAC,
"8-25-1992 / Charlotte, NC / Blockbuster Pavilion (doodee music master)",AUD,FLAC,
"8-28-1992 / St. Paul, MN / Harriet Island (Lollapalooza)",AUD,FLAC,
"8-29-1992 / East Troy, WI / Alpine Valley Music Theater - Lollapalooza (unk) (rob landis transfer)",AUD,FLAC,
"9-8-1992 / Phoenix, AZ / Desert Sky Pavilion (Lollapalooza) *Lollapalooza 92 (burn1959)",Silver CD,FLAC,
"9-8-1992 / Phoenix, AZ / Desert Sky Pavillion *Lollapalooza '92 (KTS 115) (exene 2022 remaster)",Silver CD,FLAC,
"9-8-1992 / Phoenix, AZ / Desert Sky Pavillion *Lollapalooza 92 (jonasson + vibrioidxire transfer 2023)",Silver CD,FLAC,
"9-8-1992 / Phoenix, AZ / Desert Sky Pavilion (Lollapalooza) - DAT(M) (unk)",AUD,FLAC,
"9-8-1992 / Phoenix, AZ / Desert Sky Pavilion (Lollapalooza) (unk)",AUD #1,FLAC,
"9-11-1992 / Irvine, CA / Irvine Meadows (Lollapalooza)",AUD,FLAC,
"9-13-1992 / Irvine, CA / Irvine Meadows (Lollapalooza)",AUD,FLAC,
"11-20-1992 / Charlotte, NC / 13.13 Club",AUD,FLAC,
,,,
[1993],,,
"8-14-1993 / Milwaukee, WI / Marcus Amphitheatre (Shure SM98)",AUD,FLAC,
"8-16-1993 / Clarkston, MI / Pine Knob Amphitheater",AUD,FLAC,
"8-18-1993 / Toronto, Ontario / CNE Stadium",AUD,FLAC,
"8-20-1993 / Wantagh, NY / Jones Beach Amphitheater",AUD,FLAC 24,
"8-22-1993 / Holmdel, NJ / Garden State Performing Arts Center",AUD,FLAC,
"8-23-1993 / Mansfield, MA / Great Woods Amphitheatre",AUD #1,FLAC,
,,,
[1994],,,
"1-18-1994 / Sydney, Australia / Selinas Coogee Bay Hotel",AUD,FLAC,
"1-26-1994 / Sydney, Australia / Big Day Out",AUD,FLAC,
"2-8-1994 / Kawasaki, Japan / Club CITTA",AUD,FLAC,
"2-11-1994 / Nagoya, Japan / Club Quattro",AUD,FLAC,
"2-15-1994 / Osaka, Japan / Osaka Castle Hall",AUD,FLAC,
"3-21-1994 / Stockholm, Sweden / The Globe",AUD,FLAC,
"3-22-1994 / Stockholm, Sweden / The Globe - VID(x) (inc)",AUD,FLAC,
"3-22-1994 / Stockholm, Sweden / Cirkus - Hi8(M) (travisbickle1963 transfer)",AUD,MKV,
"3-23-1994 / Oslo, Norway *The Garden Grows",Silver CD,FLAC,
"4-1-1994 / Frankfurt, Germany / Musikhalle (Sony TS-155) (travisbickle1963 transfer) ",AUD,FLAC 24,
"4-7-1994 / Deinze, Belgium / Brielpoort *Violently Happy",Silver CD,FLAC,
"4-8-1994 / Paris, France / Elysee Montmartre",AUD,FLAC,
"4-8-1994 / Paris, France / Elysee Montmartre (2 Source Matrix) (exene)",MIX,FLAC,
"4-12-1994 / Nottingham, England / Rock City - AUD(3) (mats.l)",AUD,FLAC,
"4-16-1994 / London, England / Brixton Academy",AUD,FLAC,
"4-25-1994 / Seattle, WA / Rockline FM Broadcast (Chirs Cornell and Matt Cameron)",FM,FLAC,
"6-3-1994 / San Jose, CA / San Jose Event Center",Silver CD,FLAC,
"6-4-1994 / Berkeley, CA / Greek Theatre - VID(x) (unk)",AMT,FLAC,
"6-7-1994 / Morrison, CO / Red Rocks Amphitheatre (remaster)",AUD,FLAC,
"6-14-1994 / Rochester, NY / War Memorial",AUD,FLAC,
"6-16-1994 / New York, NY / New York Armory (speed fix)",AUD,FLAC,
"6-16-1994 / New York, NY / New York Armory - AUD(2) (mats)",AUD,FLAC,
"6-16-1994 / New York, NY / New York Armory - AUD(2) (mats) (edit update)",AUD,FLAC,
"6-17-1994 / New York, NY / Armory",AUD,FLAC,
"6-17-1994 / New York, NY / Live at the Armory *Recorded Live at The New York Armory (JOK 060)",Silver CD,FLAC,
"6-18-1994 / Fitchburg, MA / George Wallace Civic Center",AUD,FLAC,
"7-1-1994 / St. Paul, MN / Roy Wilkens Auditorium",AUD,FLAC,
"7-17-1994 / Los Angeles, CA / Grand Olympic Auditorium",AUD #1,FLAC,
"7-22-1994 / San Antonio, TX / Sunken Gardens Theater",AUD,FLAC,
"7-23-1994 / Dallas, TX / Fair Park Coliseum",AUD,FLAC,
"7-23-1994 / Dallas, TX / Fair Park Coliseum",MTX,FLAC,
"7-28-1994 / Sunrise, FL / Sunrise Musical Theatre",AUD,FLAC,
"7-29-1994 / Orlando, FL / Edge Concert Field",AUD,FLAC,
"8-5-1994 / Hull, QC / Guertin Arena",AUD,FLAC,
,,,
[1995],,,
"1-8-1995 / Seattle, WA / Eddie Vedder's Home",SBD,FLAC,
"1-8-1995 / Seattle, WA / Eddie Vedder's Home",FM,FLAC,
"1-9-1995 / Seattle, WA / Bad Animals Studios",FM,FLAC,
"8-27-1995 / Reading, UK / Reading Festival",MTX,FLAC,
"8-27-1995 / Reading, UK / Reading Festival (exene source upgrade)",MTX,FLAC,
"9-1-1995 / Stockholm, Sweden / Globe Arena - VHS(1) ",AMT #1,MKV,
"9-4-1995 / Offenbach, Germany / Stadthalle - VHS(1) (bobfather)",AUD,DVD,
"9-6-1995 / Oberhausen, Germany / Turbinenhalle (Hi8)",AUD,DVD,
"9-9-1995 / Reggio Nell'Emilia, Italy / Festa Dell'Unita",AUD,DVD,
,,,
[1996],,,
"5-18-1996 / New York, NY / NBC Studios - SNL Live",PRO,TS,
"6-30-1996 / Pecaotonica, IL / Winnebago County Fairgrounds (Lollapalooza)",AUD,FLAC,
"7-5-1996 / Ontario, Canada / Molson Music Park (Lollapalooza)",AUD,SHN,
"7-7-1996 / Quebec City, QC / Hippodrome (Lollapalooza)",AUD,FLAC,
"7-11-1996 / Randall's Island, NY / Downing Stadium (Lollapalooza) (master)",AUD,FLAC,
"7-13-1996 / Syracuse, NY / NY State Fairgrounds (Lollapalooza)",AUD,FLAC,
"7-13-1996 / Syracuse, NY / NYS Fairgrounds - DAT(M) (Schoeps CMC6) (terry sullivan) ",AUD,FLAC,
"7-21-1996 / Newport, TN / Forks of the River Park (Lollapalooza)",AUD,FLAC,
"7-23-1996 / New Orleans, LA / Tad Gormley Stadium (Lollapalooza)",AUD,FLAC,
"7-25-1996 / Ferris, TX / Old Fort Dallas (Lollapalooza)",AUD,FLAC,
"7-27-1996 / Chandler, AZ / Compton Terrace (Lollapalooza) - AMT VID(x)",AUD,FLAC,
"8-2-1996 / San Jose, CA / Spartan Stadium",AUD,FLAC,
"8-2-1996 / San Jose, CA / Spartan Stadium - Lollapalooza (unk) (neekrive)",AUD,FLAC,
