Radiohead,Versions,File Type,
"4-6-1995 / Boston, MA / Venus de Milo (unk)",AUD,FLAC,
"4-8-1995 / Atlanta, GA / APC Studios *Acoustic (Broadcasted in 97')",FM,FLAC,
"4-16-1995 / New York, NY / MTV 120 Minutes - VHS(2)",TV,MKV,
"4-19-1995 / Bristol, UK / Colston Hall (Radio1 UK BBC) - DAT(M)",FM,FLAC,
"4-20-1995 / Stockholm, Sweden / Gino (Sony ECM-101) (r.j.)",AUD,FLAC,
4-21-1995 / Netherlands / Villa 65 Session VPRO - Thom & Jonny Acoustic - DAT(M),FM,FLAC,
"4-24-1995 / Paris, France / Top Live Session on Europe 1",FM,FLAC,
"5-XX-1995 / London, UK / BBC Radio 1 - Johnnie Walker Session",FM,FLAC,
"5-1-1995 / Rome, Italy / Piazza San Giovanni (1st of May Festival) - VHS(2)",TV,FLAC,
"5-2-1995 / Rome, Italy / Planet Rock Sessions, RAI Studios",FM,FLAC,
"5-16-1995 / London, England / Later with Jools Holland / BBC Broadcast",FM,FLAC,
"5-27-1995 / Providence, RI / Lupos Heartbreak Hotel (DVD Audio)",SBD,FLAC,
"5-27-1995 / Providence, RI / Lupos Heartbreak Hotel - VHS(x) (huntingwolf authoring)",AUD,DVD,
"5-30-1995a / New Haven, CT / Toad's Place / BBC Radio 1 Evening Session",FM,FLAC,
"5-30-1995 / New Haven, CT / Toad's Place (unk)",AUD,FLAC,
"6-1-1995 / New York, NY / Tramps (unk)",AUD,FLAC,
"6-1-1995 / New York, NY / Tramps - ANA(M) (Sony ECM-727)",AUD,FLAC,
6-3-1995 / Johnnie Walker Session / BBC Radio 1 (FM DAT),FM,FLAC,
"6-6-1995 / Toronto, Ontario, Canada / The Warehouse",SBD,SHN,
"6-6-1995 / Toronto, Ontario, Canada / The Warehouse (alt source)",SBD,FLAC,
"6-10-1995 / Chicago, IL / The Metro (ECM-S220) (unk)",AUD,FLAC,
"6-13-1995 / Denver, CO / Mercury Cafe - DAT(M)  (MarcSounds)",AUD,FLAC,
"6-15-1995 / Hollywood, CA / The Palace Theatre *The Outbends",Silver CD,FLAC,
"6-20-1995 / Osaka, Japan / Imperial Hall (Sony ECM959A) (ht)",AUD,FLAC,
"6-20-1995 / Osaka, Japan / Imperial Hall (unk)",AUD,SHN,
"6-22-1995 / Fukusaka, Japan / Crossing Hall (unk)",AUD,FLAC,
"6-27-1995 / Sapporo, Japan / The Xanadu *I Wanna Be Jim Morrison (CD Boot Clone)",AUD,FLAC,
"6-27-1995 / Sapporo, Japan / The Xanadu *I Wanna Be Jim Morrison",Silver CD,FLAC,
"7-10-1995 / Seattle, WA / Sailors' Union of the Pacific (Sony ECM-909) (steve r.)",AUD,SHN,
"7-16-1995 / San Diego, CA / Soma (DAT Clone)",AUD,FLAC,
"7-21-1995 / Atlanta, GA / Cat's Paw Studios 99X (WNNX)",FM,FLAC,Broadcasted on 8-6-1995
"7-21-1995 / Atlanta, GA / Cat's Paw Studios 99X (WNNX) (upgrade)",FM,FLAC,Broadcasted on 8-6-1995
"7-25-1995 / London, Ontario / Call The Office / BBC Radio 1 Evening Session (Thom Interview)",FM #1,FLAC,
"7-25-1995 / London, Ontario / Call The Office / BBC Radio 1 Evening Session (Thom Interview)",FM #2,FLAC,
"7-30-1995a / Milton Keynes, UK / National Bowl - BBC Radio 1 - Interview",FM,FLAC,
"7-30-1995 / Milton Keynes, UK / National Bowl - Radio 1 Broadcast",FM,FLAC,
"8-3-1995 / Oslo, Norway / Spektrum - ANA(2) (unk) (gary watson transfer)",AUD,FLAC,
"8-6-1995 / Catania, Italy / Stadio Cibali",AUD,DVD,
"8-9-1995 / Tel Aviv, Israel / Galei Tzahal",FM,FLAC,
"8-13-1995 / Roskilde, Denmark / Roskilde Festival (unk)",AUD,SHN,
8-18-1995 / London UK / MTV Studios - DAT(x) (lammah transfer) (inez tracking),TV,FLAC,
"8-26-1995 / Dronten, Belgium / The Lowlands Festival (unk) (worship the t)",AUD,SHN,
"8-27-1995 / Biddinghuizen, The Netherlands / Lowlands Festival - FM>ANA(1)",FM,FLAC,
"8-XX-1995 / Cambridge, MA / Fort Apache Studios - ANA(1) (unk) (gary watson transfer)",SBD #1,FLAC,
"9-6-1995 / London, England / BBC Radio 1 Evening Session *Interview with Ed",FM,FLAC,
"9-8-1995 / Miami, FL / Arena (Sony WM-D3) (floridian)",AUD,FLAC,
"9-12-1995 / Birmingham, AL / Jefferson Civic Center - DAT(M) (AT831s) (unk)",AUD,FLAC,
"9-12-1995 / Birmingham, AL / Jefferson Civic Center (SS-DSM6) (unk)",AUD,FLAC,
"9-15-1995 / Houston, TX / KRBE *Interview with Thom and Jonny",FM,FLAC,
"9-20-1995 / Dallas, TX / Starplex Ampitheater - DAT(M) (SS-DSM6) (chris m.)",AUD,FLAC,
"9-29-1995 / Buffalo, NY / Buffalo Memorial Auditorium (unk)",AUD,FLAC,
"9-30-1995 / Hershey, PA / Hershey Park Stadium - DAT(c) (unk) (brad collins transfer)",AUD #1,FLAC,
"10-1-1995 / Hartford, CT / Meadows Amphitheater (Sony ECM-909) (unk)",AUD,FLAC,
"10-1-1995 / Hartford, CT / Meadows Amphitheater (unk)",AUD,FLAC,
"10-2-1995 / New York, NY / Mercury Lounge - ANA(M) (ECM-727)",AUD,FLAC,
"10-2-1995 / New York, NY / Mercury Lounge (Sony WM-D6) (scott simpson)",AUD,FLAC,
"10-12-1995 / San Francisco, CA / The Warfield (unk) (neekrive) ",AUD,FLAC,
