Sonic Youth,Versions,File Type,
"3-3-1991 / Atlanta, GA / Omni - ANA(1) (loughney transfer)",AUD,FLAC,
"4-6-1991 / Daly City, CA / Cow Palace - ANA(2) (loughney transfer) ",AUD,FLAC,
"4-9-1991 / Portland, OR / Memorial Auditorium - ANA(3) (loughney transfer)",SBD,FLAC,
"8-21-1991 / Dun Laoghaire, Ireland / Top Hat (Sennheiser K3U) (crankingamps)",AUD,FLAC,
"8-23-1991 / Reading, England / Little John's Farm (unk)",AUD,FLAC,
"8-31-1991 / Rotterdam, Netherlands / De Doelen (Lee Ranaldo)",AUD,FLAC,
"9-5-1991 / Utrecht, Netherlands / Tiovli - ANA(2) (Sony WM-D3) (Lee Ranaldo) ",AUD,FLAC,
,,,
[1992],,,
"7-1-1992 / Hartford, CT / Maher Hall (Sony PC62) (unk)",AUD,FLAC,
"7-4-1992 / New York, NY / Central Park",SBD,FLAC,
"9-18-1992 / Houston, TX / Unicorn - ANA(3) (loughney transfer)",AUD,FLAC,
"9-26-1992 / Castaic, CA / Castaic Lake Amphitheatre  - DAT(1) (jems transfer) ",SBD #1,FLAC,
"9-30-1992 / Minneapolis, MN / First Avenue - ANA(1) (loughney transfer)",AUD,FLAC,
"10-5-1992 / Chicago, IL / Riviera Theatre *How You Want Me? ",Silver CD,FLAC,
"10-13-1992 / Pittsburgh, PA / Metropol - ANA(1) ",SBD,FLAC,
"10-14-1992 / Cleveland, OH / Agora Theatre (inc)",AUD,FLAC,
"10-5-1992 / Toronto, Canada / Concert Hall (Sanyo Recording Walkman (andymon) ",AUD,FLAC,
"10-15-1992 / Toronto, Canada / Concert Hall - ANA(M) (Sanyo Walkman) (andymon)",AUD,FLAC,
"10-17-1992 / Binghamton, NY / Nelson Mandela Ballroom",SBD,FLAC,
"11-2-1992 / Offenbach, Germany / Stadthalle - DAT(M) (unk)",AUD,FLAC,
"11-4-1992 / Rennes, France / Salle Omnisport - ANA(M) (unk)",AUD,FLAC,
"11-5-1992 / Prague, Czechoslovakia / Lucerna - ANA(M) (Aiwa CM-30) (pierre leroy transfer)",AUD,FLAC,
"11-17-1992 / Freetown Christiania, Denmark / Den Grå Hal - DAT(M) (Sony ECM-155)",AUD,FLAC,
"11-23-1992 / Milan, Italy / Rolling Stone *Schizophrenia (RPCD 1118)",Silver CD,FLAC,
"12-1-1992 / Dienze, BE / Brielpoort - ANA(2) (unk) ",AUD,FLAC,
"12-9-1992 / Manchester, UK / The Academy - ANA(1) (Sony ECM-959) (unk)",AUD,FLAC,
"12-14-1992 / London, UK / Brixton Academy (Radio 1)",FM,FLAC,
,,,
[1993],,,
"1-26-1993 / Sydney, AUS / Showgrounds - DAT(M) (unk) ",AUD,FLAC,
"2-5-1993 / Sydney, Australia / Selina's Coogee Bay Hotel - ANA(1) (Sennheiser K3U/ME80)",AUD,FLAC,
"2-6-1993 / Coogee Bay, Australia / Selina's - ANA(1) (Sennheiser K3U/ME80)",AUD,FLAC,
"2-13-1993 / Wellington, NZ / St. James Theatre - ANA(3) (loughney transfer)",AUD,FLAC,
"2-23-1993 / Tokyo, Japan / Sun Plaza - DAT(M) (unk)",AUD,FLAC,
"3-4-1993 / Santa Cruz, CA / Catalyst (Sony ECM-909) (vinny palese)",AUD,FLAC,
"3-5-1993 / San Francisco, CA / The Warfield",AUD,FLAC,
"3-5-1993 / San Francisco, CA / The Warfield (Nugs.net)",SBD,FLAC,Official Bootleg
"3-7-1993 / Portland, OR / La Luna (SS-DMS6) (scott zumsteg)",AUD,FLAC,
"3-8-1993 / Seattle, WA / Paramount - DAT(M) - ANA(1) (unk)",AUD,FLAC,
"4-28-1993 / Los Angeles, CA / Jabberjaw (Free Kitten) - ANA(3)",AUD,FLAC,
5-XX-1993 / Luxembourg *Be My Sister in Death ,Silver CD,FLAC,
"6-30-1993 / Utrecht, The Netherlands / Tivoli (Sony WM-D3) (unk) ",AUD,FLAC,
"12-12-1993 / Christchurch, NZ / Theatre Royal (unk)",AUD,FLAC,
,,,
[1994],,,
"12-2-1994 / New York, NY / Beacon Theatre - ANA(M) (unk)",AUD,FLAC,
,,,
[1995],,,
"3-25-1995 / Granada, Spain / Esperrago Rock Festival (inc)",FM,FLAC,
"5-29-1995 / Minneapolis, MN / First Avenue - ANA(1) (unk)",AUD,FLAC,
"7-15-1995 / Tinley Park, IL / World Music Theatre (Lollapalooza) - ANA(1) (unk)",AUD,FLAC,
"7-30-1995 / Camden, NJ / Blockbuster (Sony Pavilion) (Lollapalooza) (Sony WM-D3) (unk)",AUD,FLAC,
"7-31-1995 / Pittsburgh, PA / Starlake Amphitheatre (inc) (CSB) (unk)",AUD,FLAC,
"8-3-1995 / Charles Town, WV / Charles Town Races (Lollapalooza) - DAT(M) (unk) ",AUD,FLAC,
"8-14-1995 / Irvine, CA / Irvine Meadows - ANA(M) (unk) ",AUD,FLAC,
"8-17-1995 / Sacramento, CA / Californian Expo Center - Lollapalooza - DAT(x) ",AUD,FLAC,
"8-18-1995 / Mountain View, CA / Shoreline Amphitheatre - ANA(1) (unk)",AUD,FLAC,
"9-12-1995 / Paris, France / Elysee Montmartre - DAT(M) (OKM II) (trvisbckle63 transfer)",AUD #1,FLAC,
"10-14-1995 / Athens, GA / Legion Field - ANA(M) (Sony WM-D6) (h20)",AUD,FLAC,
"10-15-1995 / Atlanta, GA / The Roxy - VHS(x)",AMT  ,MKV,
"10-18-1995 / Philadelphia, PA / Electric Factory - DAT(1) (unk)",AUD,FLAC,
"10-20-1995 / New York, NY / The Academy (CSB) (rappard)",AUD,FLAC,
"10-21-1995 / New York, NY / Academy (Early show) (unk)",AMT #1,DVD,
"10-22-1995 / Boston, MA / Orpheum Theatre (Sony WM-D3) (unk) ",AUD,FLAC,
"10-26-1995 / Chicago, IL / Riviera Theatre - DAT(M) (trvisbckle63)",AUD #1,FLAC,
"10-30-1995 / Minneapolis, MN / First Avenue (Early show) (unk) ",AUD,FLAC,
"10-30-1995 / Minneapolis, MN / First Avenue (Late show) - DAT(M) - ANA(2) (unk) ",AUD,FLAC,
"11-3-1995 / Seattle, WA / The Paramount - DAT(M) (Schoeps CMC4-MK4) (teddy ballgame) (16-48) ",AUD,FLAC,
"11-4-1995 / Bellingham, WA / Western Washington University - Carver Gymnasium - DAT(M) (SS-DSM-6) (unk)",AUD,FLAC,
"11-5-1995 / Portland, OR / The Roseland - DAT(M) (Sony WM-D7) (unk) ",AUD,FLAC,
"11-11-1995 / Los Angeles, CA / Wiltern Theater - DAT(M) (Sony D8) (unk)",AUD,FLAC,
"12-31-1995 / Sydney, AUS / Macquarie University - Summersault Festival ",FM,FLAC,
,,,
[1996],,,
"1-24-1996 / Tokyo, Japan / Liquid Room - ANA(3) (unk)",AUD,FLAC,
"3-19-1996 / Ghent, Belgium / Vooruit - ANA(1)",FM,FLAC,
"4-9-1996 / Hamburg, Germany / Docks - DAT(M) (Sonic Studios) (trvisbckle63 transfer)",AUD,FLAC,
"4-19-1996 / London, UK / Forum - ANA(M) (Sony WM-D3) (travisbickle1963 transfer) (dimitroy edit)",AUD,FLAC,
"4-26-1996 / New York, NY / Roseland Theater (inc)",AUD,FLAC,
"8-25-1996 / Reading, UK / Reading Festival (unk)",AUD,FLAC,
,,,
[1997],,,
"3-1-1997 / New York, NY / The Cooler - ANA(1) (CSB) (tinylung)",AUD,FLAC,
"6-12-1997 / New York, NY / West 54th St. Studios",TV,MKV,
"6-23-1997 / Carrboro, NC / Cat's Cradle (Sony Walkman)",AUD,FLAC,
"8-29-1997 / State Park, OR / Champoeg - ANA(1) (unk) ",AUD,FLAC,
"8-30-1997 / Seattle, WA / Seattle Center Arena - Bumbershoot Main Stage (Sony WM-F46) (crowflies)",AUD,FLAC,
"10-16-1997 / New York, NY / CBGBs - DAT(M) (BK 4021s) (eric vandercar)",AUD,FLAC,
"11-21-1997 / New York, NY / Avery Fisher Music Hall (CSB) (unk)",AUD,FLAC,
,,,
[1998],,,
"3-19-1998 / Austin, TX / La Zona Rosa - DAT(M) (unk)",AUD,FLAC,
