"8-3-1991 / Chicago, IL / World Amphitheatre",AUD,FLAC,
"8-4-1991 / Clarkston, MI / Pine Knob Amphitheatre",AUD,FLAC,
"8-5-1991 / Cuyahoga Falls, OH / Blossom Music Theater (Lollapalooza)",AUD,FLAC,
"8-7-1991 / Toronto, Ontario / Canadian Exposition Park",AUD,FLAC,
"8-9-1991 / Mansfield, MA / Great Woods Amphitheatre",AUD,FLAC,
"8-11-1991 / Stanhope, NJ / Waterloo Village (Lollapalooza)",AUD,FLAC,
"8-13-1991 / Saratoga Springs, NY / Saratoga Performing Arts Center (Lollapalooza)",AUD,FLAC,
"8-14-1991 / Stanhope, NJ / Waterloo Village (Lollapalooza) (AUD1)",AUD,FLAC,
"8-14-1991 / Stanhope, NJ / Waterloo Village (Lollapalooza) (AUD2)",AUD,FLAC,
"8-16-1991 / Washington, D.C. / Lake Fairfax *Sex 'N' Drugs 'N' Rock 'N' Roll (BMCD36)",SBD,FLAC,
"8-18-1991 / Atlanta, GA / Lakewood Amphitheatre (Lollapalooza) (jj)",AUD,FLAC,
"8-22-1991 / Dallas, TX / Starplex Amphitheatre (Lollapalooza)",AUD,FLAC,
"8-28-1991 / Enumblaw, WA / King County Fairgrounds (thir13en remaster)",SBD,FLAC,
"9-25-1991 / Honolulu, HI / Aloha Tower",AUD,FLAC,
"9-26-1991 / Honolulu, HI / Aloha Tower *Last Fixx (KTS 569)",Silver CD,FLAC,
"9-26-1991 / Honolulu, HI / Aloha Tower *Last Fixx",AUD,DVD,
"10-11-1991 / Milan, Italy / City Square *The Head Shop / Idiot's Rule",Silver CD,FLAC,
,,,
[1997],,,
XX-XX-1997 / *The Devil Made Me Do It - FM,Silver CD,FLAC,
"10-23-1997 / Los Angeles, CA / Olympic Stadium",AUD,FLAC,
"10-31-1997 / New York, NY / Hammerstein Ballroom - ANA(M) (unk)",SBD,FLAC,
"11-3-1997 / Chicago, IL / Aragon Ballroom",AUD,FLAC,
"11-10-1997 / Philadelphia, PA / Core States Spectrum Theater (Handheld Video Camera) (unk)",AUD,FLAC,
"11-22-1997 / San Francisco, CA / Enit Festival",AUD,FLAC,
"11-28-1997 / Universal City, CA / Universal Amphitheater (unk)",AUD,FLAC,
"12-1-1997 / Universal City, CA / Universal Amphitheater",AUD,FLAC,
,,,
[2001],,,
"10-16-2001 / East Rutherford, NJ / Continnental Airlines Arena (jon d.)",AUD,FLAC,
"10-21-2001 / Rosemont, IL / AllState Arena (CSB) (unk) ",AUD,SHN,
"10-21-2001 / Auburn Hills, MI / Palace of Auburn Hills - MD(M) (Sony MZ-R700) (mitaper78)",AUD,FLAC,
,,,
[2002],,,
"7-18-2002 / Las Vegas, NV / *The Rain in the Desert",AUD,SHN,
"7-28-2002 / Niigita, Japan / Naeba Ski Resort - Fuji Rock Festival - DAT(1) (Sanken Cos11)",AUD,FLAC,
"8-24-2002 / Leeds, UK / Temple Newsam Park - Leeds Festival (yousef)",AUD,FLAC,
"12-28-2002 / Denver, CO / Fillmore Auditorium (MBHO) (taperbt)",AUD,FLAC,
,,,
[2003],,,
"2-8-2003 / San Diego, CA / Spreckels Theatre (the ramblin taper master)",AUD,FLAC,
"5-24-2003 / Washington, D.C. / RFK Stadium - WHFS Festival",SBD,FLAC,
"7-13-2003 / Columbus, OH / Germain Amphitheatre",AUD,FLAC,
"7-19-2003 / Burgettstown, PA / Post-Gazette Pavilion (SM98) (cps)",AUD,FLAC,
"7-20-2003 / Cuyahoga Falls, OH / Blossom Music Center",AUD,FLAC,
"7-27-2003 / Camden, NJ / Tweeter Center (DPA 4022)",AUD,FLAC,
"8-17-2003 / Chula Vista, CA / Coors Amphitheatre *Pornopalooza - DAT(M) (Sony DAT PCM-M1) (ramblin)",Silver CD,FLAC,
"8-21-2003 / Salt Lake City, UT / Lollapalooza (DME 50)",AUD,FLAC,
"10-21-2003 / Oslo, Norway / Rockefeller (ECM-MS957)",AUD,SHN,
"10-23-2003 / Stockholm, Sweden / Cirkus (thir13en remaster)",FM,FLAC,
"10-25-2003 / Paris, France / Elysee Montmartre - OUI FM",FM,FLAC,
"12-5-2003 / St. Louis, MO / Savvis Center (AT 953) (shane e calhoon)",AUD,FLAC,
"12-14-2003 / Universal City, CA / Universal Amphitheater - KROQ Almost Acoustic Christmas (Sony ECM-DSP70) (the v.u.)",AUD,FLAC,
,,,
[2008],,,
"10-23-2008 / Los Angeles, CA / La Cita (darshun)",AUD,FLAC,
,,,
[2009],,,
"2-16-2009 / Echo Park, CA / The EchoPlex (darshun)",AUD,FLAC,
"5-8-2009 / West Palm Beach, FL / Cruzan Amphitheatre (mr. foo)",AUD,FLAC,
"5-9-2009 / Tampa, FL / Ford Amphitheatre (Schoeps CCM4) (jon)",AUD,FLAC,
"5-10-2009 / Atlanta, GA / Lakewood Amphitheatre (jb)",AUD,FLAC,24 bit
"5-12-2009 / Austin, TX / Frank Erwin Center *Jane's Keeping It Weird in Austin (tooligan)",AUD,FLAC,
"5-16-2009 / Chula Vista, CA / Cricket Wireless (AT943)",AUD,FLAC,
"5-20-2009 / Irvine, CA / Verizon Wireless Amphitheatre (nate pottker)",AUD,FLAC,
"5-21-2009 / Santa Barbara, CA / Santa Barbara Bowl (ronmcintosh)",AUD,FLAC,
"5-21-2009 / Santa Barbara, CA / Santa Barbara Bowl (DSM6)",AUD,FLAC,
"5-22-2009 / Mountain View, CA / Shoreline Amphitheatre (KM140s)",AUD,FLAC,
"5-22-2009 / Mountain View, CA / Shoreline Amphitheatre (thebang)",AUD,FLAC,24 bit
"5-27-2009 / Kansas City, MO / Starlight Theater (DPA 4061) (elwoodblues)",AUD,FLAC,
"5-27-2009 / Kansas City, MO / Starlight Theater (CA-14) (elwoodblues)",AUD,FLAC,
"5-27-2009 / Kansas City, MO / Starlight Theater (CSB)",AUD,FLAC,
"5-30-2009 / Noblesville, IN / Verizon Wireless Music Center (brianblank)",AUD,FLAC,
"5-30-2009 / Noblesville, IN / Verizon Wireless Music Center (darktrain)",AUD,FLAC,
"5-31-2009 / Carkston, MI / DTE Energy Music Theater (chris m.)",AUD,FLAC,
"5-31-2009 / Carkston, MI / DTE Energy Music Theater (richard simms)",AUD,FLAC,
"5-31-2009 / Carkston, MI / DTE Energy Music Theater  (ryan j.)",AUD,FLAC,
"6-2-2009 / Toronto, Ontario / Molson Amphitheatre (krewe chief / silverjetz)",MTX,FLAC,
"6-2-2009 / Toronto, Ontario / Molson Amphitheatre (CA-14) (krewe chief)",AUD,FLAC,
"6-3-2009 / Mansfield, MA / Comcast Center (bennyblanco)",AUD,FLAC,
"6-5-2009 / Camden, NJ / Susquehanna Bank Center (MK4) (m. watson)",AUD,FLAC,
"6-5-2009 / Camden, NJ / Susquehanna Bank Center (DPA 4061) (bennyblanco)",AUD,FLAC,
"6-5-2009 / Camden, NJ / Susquehanna Bank Center (t.j. samulis)",AUD,FLAC,
"6-6-2009 / Holmdel, NJ / PNC Bank Arts Center (su6oxone)",AUD,FLAC,
