Tom Petty & the Heartbreakers,Versions,,,,File Type,
"5-15-2001 / Morrison, CO / Red Rocks Amphitheatre (Sanken Mics) (unk)",AUD,,,,FLAC,
"5-21-2001 / Dallas, TX / Smirnoff Music Center (unk) ",AUD,,,,FLAC,
"5-24-2001 / Santa Barbara, CA / County Bowl (Night 1) (unk)",AUD,,,,FLAC,
"5-27-2001 / Sacramento, CA / Sacramento Valley Amphitheatre (Sony MS907) (mike markov) ",AUD,,,,FLAC,
"6-27-2001 / Scranton, PA / Coors Light Amphitheatre - DAT(M) (krw_co transfer)",AUD,,,,FLAC,
"7-4-2001 / Milwaukee, WI / Marcus Amphitheatre (Schoeps MK4V) (unk)",AUD,,,,FLAC,
7-7-2001 / Saratoga Springa NY / Saratoga Performing Arts Center - DAT(M) (SS-DSM6) (dssman),AUD,,,,FLAC,
"7-8-2001 / Mansfield, MA / Tweeter Center for the Performing Arts (unk)",AUD,,,,FLAC,
"7-12-2001 / Clarkston, MI / DTE Music Theater (unk)",AUD,,,,FLAC,
"7-15-2001 / Antioch, TN / Amsouth Amphitheatre (unk) ",AUD,,,,FLAC,
"7-17-2001 / Columbus, OH / Polaris Ampitheatre (unk) (biccio59 cdr)",AUD,,,,FLAC,
"7-17-2001 / Columbus, OH / Polaris Ampitheatre - ANA(M) (Sony WM-D6C) (steve jobe)",AUD,,,,FLAC,
"7-18-2001 / Bonner Springs, KS / Sandstone Amphitheatre (unk) (biccio59 transfer)",AUD,,,,FLAC,
"7-20-2001 / Tinley Park, IL / Tweeter Centre (unk) ",AUD,,,,FLAC,
"7-21-2001 / Noblesville, IN / Verizon Wireless Music Center - ANA(M) (Sony WM-D6C) (steve jobe)",AUD,,,,FLAC,
,,,,,,
[2002],,,,,,
"6-28-2002 / Cuyahoga Falls, OH / Blossom Center (unk)",AUD,,,,FLAC,
"7-5-2002 / Saratoga Springs, NY / SPAC (Sony D7) (dssman)",AUD,,,,FLAC 24,
"7-14-2002 / Hershey, PA / Park Stadium- DAT(M) (M20) (jlizard)",AUD (48k),,,,FLAC,
"7-20-2002 / Charlotte, NC / An Amphitheatre without Wires (DPA 4022) (g.w.) ",AUD,,,,FLAC,
"8-19-2002 / Morrison, CO / Red Rocks Amphitheatre (AKG CK91) (unk)",AUD,,,,FLAC,
"8-19-2002 / Morrison, CO / Red Rocks Amphitheatre (unk) (slewofboots remaster)",AUD,,,,FLAC,
"8-31-2002 / Marysville, CA/ Autowest Amphitheater - ANA(1) (unk)",AUD,,,,FLAC,
"8-31-2002 / Marysville, CA / Autowest Amphitheater - DAT(M) (jeftak) (krw_co transfer)",AUD (48k),,,,FLAC,
"8-31-2002 / Wheatland, CA / Sacramento Valley Amphitheater (KM-140) (evan)",AUD,,,,FLAC,
"10-15-2002 / Los Angeles, CA / Grand Olympic Auditorium (WXRT Broadcast) (smelly ted)",FM,,,,FLAC,
"10-15-2002 / Los Angeles, CA / Grand Olympic Auditorium / Theatrecast",SBD,,,,SHN,
"10-16-2002 / Los Angeles, CA / The Olympic",AUD,,,,DVD,
"10-16-2002 / Los Angeles, CA / Grand Olympic Auditorium ",SBD,,,,FLAC,
"10-27-2002 / Santa Barbara, CA / Santa Barbara Bowl - DAT(M) (SS-DSM6S) (unk)",AUD,,,,FLAC,
"10-30-2002 / Mountain View, CA / Shoreline Amphitheatre (unk) ",AUD,,,,FLAC,
"10-30-2002 / Mountain View, CA / Shoreline Amphitheatre - DAT(M) (CCM4) (bill shaw) ",AUD,,,,FLAC 24,
"10-30-2002 / Mountain View, CA / Shoreline Amphitheater - DAT(M) (unk) (jeftak) (48k) ",AUD,,,,FLAC,
"11-1-2002 / Las Vegas, NV / The Aladdin Theatre *The Kid Goes to Bed (MZ-R700 MD)",AUD,,,,FLAC,
"11-5-2002 / Salt Lake City, UT / Events Center (Sony ECM-MS957) (unk)",AUD,,,,FLAC,
