Hole,Versions,File Type
"12-11-1998 / Los Angeles, CA / Shrine Auditorium (KROQ Acoustic Christmas Party)",SBD #1,MP3
,,
[1999],,
"1-XX-1999 / Sydney, Austraila / Big Day Out Festival *Bittersweet",Silver CD,FLAC
"1-15-1999 / Auckland, NZ / Ericsson Stadium",AUD,FLAC
"1-17-1999 / Sydney, Australia / Big Day Out Festival ",AUD,FLAC
"1-20-1999 / Sydney, Australia / Enmore Theatre (waz from oz)",AUD,FLAC
"1-21-1999 / Sydney, Australia / Enmore Theatre",AUD  ,FLAC
"1-24-1999 / Sydney, Australia / Enmore Theatre (waz from oz)",AUD,FLAC
2-1-1999 / Perth AUS / Metropolis - Metropolis Nightclub *Dreaming of Malibu (unk),AUD,FLAC
"3-2-1999 / Vancouver, BC / PNE Coliseum",AMT #1,MP4
"3-3-1999 / Seattle, WA / Key Arena *Grunge Is Dead",AUD,FLAC
"3-10-1999 / Daly City, CA / Cow Palace (MK4)",AUD,FLAC
"3-14-1999 / Inglewood, CA / Great Western Forum (Master)",AUD,FLAC
"5-15-1999 / Philadelphia, PA / The Electric Factory",AUD,WMA
"5-20-1999 / New York, NY / Late Show with David Letterman - VHS(2)",TV,MKV
"5-28-1999 / Milwaukee, WI / Riverside Theatre - ANA(x)",AUD #1,FLAC
"5-29-1999 / Somerset, WI / Float Rite Park *Radiating Pixie Dust",AUD,FLAC
"6-1-1999 / Las Vegas, NV / The Joint - MD(M) (martin donahue)",AUD #1,FLAC
"6-17-1999 / Hultsfred, SWE / Hultsfreds Festival - VHS(1) (Panasonic NV HS950) (travisbickle1963 transfer)",AMT,MKV
"6-22-1999 / Paris, France / Zénith - MD(M) (Sony ECM) (evie_np) ",AUD,FLAC
"6-24-1999 / London, UK / Brixton Academy - MD(M) (Sony ECM) (evie_np)",AUD,FLAC
"6-25-1999 / Somerset, UK / Glastonbury Festival *Faerie Kissed",SBD,FLAC
"6-26-1999 / Munich, Germany / Southside Festival - TV-VHS(1)",PRO #1,MPG
"6-26-1999 / Munich, Germany / Southside Festival - TV-VHS(1)",PRO #1,FLAC
,,
[2004],,
"7-31-2004 / Niigata, Japan / Fuji Rock Festival - DAT(M)",AUD,FLAC
"10-26-2004 / San Francisco, CA / The Fillmore (Courtney Love) (Schoeps MK4)",AUD,FLAC
,,
[2007],,
"7-12-2007 / New York, NY / Hiro Ballroom - Master-FLV",AUD,FLAC
"7-12-2007 / New York, NY / Hiro Ballroom (inc)",AUD,MOV
,,
[2010],,
"2-17-2010 / London, UK / Shepherd's Bush Empire - DV(M) (michael albright)",AMT #1,FLAC
"2-17-2010 / London, UK / Shepherd's Bush Empire - VID(M) (martin donahue)",PRO #1,FLAC
"2-17-2010 / London, UK / Shepherd's Bush Empire - VID(M) (martin donahue)",PRO #1,MP4
"4-28-2010 / New York, NY / Terminal 5 (unk) (mark suffolk)",AMT,DVD
"5-5-2010 / London, England / Brixton Academy (unk) (mark suffolk)",AMT,DVD
"5-9-2010 / Birmingham, England / 02 Academy (mark suffolk master)",AMT,MP4
"6-23-2010 / Boston, MA / House of Blues (ECM-719) (unk)",AUD,FLAC
"6-25-2010 / Mount Clair, NJ / Welmont Theatre (CA-11) (derutaerc)",AUD,FLAC
"7-9-2010 / Lebreton Flats, Ottawa / Ottawa Bluesfest (ZoomH2) (bootlegottawa)",AUD,FLAC
"7-14-2010 / Chicago, IL / Vic Theatre (Sony PCM M-10) (auger_d)",AUD #1,FLAC 24
"8-25-2010 / Paris, France / Le Bataclan (coli)",AUD,FLAC
"9-4-2010 / Seattle, WA / Memorial Stadium (SS-DSM-6P) (steve hagar)",AUD,FLAC
"9-11-2010 / New York, NY / Don Hill's (j.m. ladd) ",SBD #1,FLAC
,,
[2011],,
"7-23-2011 / Moscow, Russia / Kolomenscoe - DVD(1)",AMT #1,DVD
"7-23-2011 / Moscow, Russia / Kolomenscoe - DVD(1)",AMT #1,FLAC
"11-13-2011 / Sao Paulo, Brazil / Parque 500 Paulinia",PRO #1,DVD
"11-13-2011 / Sao Paulo, Brazil / Parque 500 Paulinia",PRO #1,FLAC
,,
[MISC],,
Hole - Cover Me (1995) (loughney transfer),"7"" Vinyl",FLAC
6-XX-2010 / Courtney Love - Behind the Music,TV,DVD
Hole - Argentina Demos Tape,,FLAC
,,
,,
[SILVERS],,
Hole - Live Amsterdam '92 (1993),Silver CD,FLAC
Hole - Plugged & Unplugged (1995),Silver CD,FLAC
"Hole - Rumours, Lies and Media Rape (1993-1995)",Silver CD,FLAC
Hole - Sugar Coma,Silver CD,FLAC
Hole - Bring Me The Head Of Lynn Hirschberg (KROQ3) ,Silver CD,FLAC
Hole - Courtney Act (PIL07),Silver CD,FLAC
Hole - Dissed (KTS 013),Silver CD,FLAC
Hole - Good Sex (HR6042-7) ,Silver CD,FLAC
Hole - Kiss Away The Darkest Day (KTS 347),Silver CD,FLAC
Hole - Pretty Please (HAWK006),Silver CD,FLAC
Hole - Riot Girls (OCTO 184),Silver CD,FLAC
Hole - Rock's Bitch (HR6045-0),Silver CD,FLAC
Hole - Something Must Break (Snatch 01),Silver CD,FLAC
Hole - The Princess Of Love (BZCD 066),Silver CD,FLAC
Hole - Ugly Demented World (OCTO 069),Silver CD,FLAC
Hole - Unglued (CH 021),Silver CD,FLAC
Hole - Unplugged & Reading (SY10170),Silver CD,FLAC
Hole - Unplugged & Unloved (SPOT 002) ,Silver CD,FLAC
Hole - Vengeance Is Mine (KTS 489),Silver CD,FLAC
Hole - Virgin Megastar (HOLY023) (RELCD05) ,Silver CD,FLAC
Hole - Doll Parts {VR 50033} (1995) ,Silver CD,FLAC
Hole - Reading 1995 {3D-HO-035} (1995),Silver CD,FLAC
Hole - The Girl With The Most Cake [CRC mismatch] {Print 004} (1995),Silver CD,FLAC
