Rage Against the Machine,Versions,File Type,
Drive - F,,,
,,,
"6-16-1996 / San Francisco, CA / Golden Gate Park - Tibetan Freedom Concert (unk) (neekrive) ",AUD,FLAC,
"6-27-1996 / Roskilde, Denmark / Roskilde Festival - DAT(M) (SS-DSM6) (wilson66)",AUD,FLAC,
"7-23-1996 / New Orleans, LA / Tad Gormley Stadium (Lollapalooza) (CSBs)",AUD,FLAC,
"8-5-1996 / Fitchburg, MA / Civic Center (unk)",AUD,FLAC,
"8-11-1996 / Mayville, MD / Tyler Arena *Bulls On Parade",Silver CD,FLAC,
"8-12-1996 / Philadelphia, PA / Electric Factory - DAT(M) (SS) (jlizard) ",AUD (48k),FLAC,
"8-13-1996 / Philadelphia, PA / Electric Factory - DAT(M) (SS) (jlizard) ",AUD (48k),FLAC,
"8-13-1996 / Philadelphia, PA / Electric Factory (2nd Night) - 8MM(M) (king_ganesha)",AUD,FLAC,
"8-15-1996 / New York, NY / Roseland Ballroom (unk)",AUD,FLAC,
"8-15-1996 / New York, NY / Roseland Ballroom (ATR355) (xcxre9)",AUD,FLAC,
"8-20-1996 / New York, NY / Roseland Ballroom - ANA(M) (CSB) (tapeworm48)",AUD,FLAC,
"8-21-1996 / Fairfax, VA / Patriot Center (CSB) (acidjack master) ",AUD,FLAC,
"8-23-1996 / Reading, UK / Reading Festival (tapeworm48)",FM,FLAC,
"9-4-1996 / San Jose, CA / SJSU Event Center",AUD,DVD,
"9-5-1996 / San Francisco, CA / The Fillmore (unk)",AUD,FLAC,
"9-5-1996 / San Francisco, CA / The Fillmore (unk) (neekrive) ",AUD,FLAC,
"9-16-1996 / Chicago, IL / Aragon Ballroom (Night 1) (steve hagar)",AUD,FLAC,
"9-16-1996 / Chicago, IL / Aragon Ballroom (Multi-cam) (jbtv)",PRO,MP4,
"9-17-1996 / Chicago, IL / Aragon Ballroom (Night 2) (steve hagar)",AUD,FLAC,
"9-17-1996 / Chicago, IL / Aragon Ballroom (Multi-cam) (jbtv)",PRO,MP4,
"9-21-1996 / Fort Worth, TX / Will Rogers Stadium (CSBs) (milazzo)",AUD,FLAC,
"9-28-1996 / Los Angeles, CA / Universal Amphitheatre",AUD,FLAC,
"9-29-1996 / Universal City, CA / Universal Amphitheatre (DAT Clone)",AUD,FLAC,
"10-1-1996 / Detroit, MI / 101.1 WRIF - Absolutely Live in Concert WW1 (Broadcast) RP1667",Silver CD,FLAC,
"10-1-1996 / Hollywood, CA / Hollywood Palladium *Scream Louder",SBD,FLAC,
