Dave Matthews Band,Versions,File Type,
"5-10-1995 / San Francisco, CA / Warfield Theatre (DMBlive)",SBD,FLAC,Official Bootleg
"5-10-1995 / San Francisco, CA / Yoshi's - KFOG Broadcast",FM,FLAC,
"6-24-1995 / Pilton, UK / Worthy Farm - Glastonbury Festival (Westwood One)",Silver CD,FLAC,
"7-9-1995 / Belfort, FR / Presqu'i?le de Malsaucy (DMBlive)",SBD,FLAC,Official Bootleg
"7-20-1995 / Memphis, TN / Mud Island Amphitheatre (DMBlive) ",SBD,FLAC,Official Bootleg
"7-28-1995 / Birmingham, AL / Oak Mountain (Nakamichi CR7) (mark lynn) ",AUD,SHN,
"8-4-1995 / San Diego, CA / SOMA - Live Trax Vol. 21",SBD,FLAC,Official Release
"8-23-1995 / Rochester Hills, MI / Meadow Brook Music Festival - Live Trax Vol. 5",SBD,FLAC,Official Release
"12-30-1995 / Hampton, VA / Hampton Coliseum",preFM,FLAC,
,,,
[1996],,,
"2-19-1996 / Durham, NH / Whittemoor Center - Live Trax Vol. 23",SBD,FLAC,Official Release
"4-30-1996 / Richmond, VA / Classic Amphitheatre - Live Trax Vol. 4",SBD,FLAC,Official Release
"5-14-1996 / Victoria, BC / Victoria Curling Club (WM-F46) (crowflies)",AUD,FLAC 24,
"6-4-1996 / Virginia Beach, VA / GTE Virginia Beach Amphitheater - Live Trax Vol. 18",SBD,FLAC,Official Release
"6-7-1996 / Mansfield, MA / Great Woods Amphitheatre (Neumann KM184) (jeff travitz)",AUD,SHN,
"6-8-1996 / Saratoga Springs, NY / Saratoga Arts Center - Live Trax, Vol. 38 ",SBD,FLAC,Official Release
"7-14-1996 / Frankfurt, Germany / Festhalle (Sony D6)",AUD,FLAC 24,
"9-9-1996 / Pelham, AL / Oak Mountain Amphitheatre (DMBlive)",SBD,FLAC,Official Bootleg
"10-3-1996 / New York, NY / Madison Square Garden (DMBlive) ",SBD,FLAC,Official Bootleg
"10-24-1996 / Austin, TX / Frank Erwin Center (DMBlive)",SBD,FLAC,Official Bootleg
"10-25-1996 / The Woodlands, TX / Cynthia Woods Mitchell Pavilion (Schoeps MK4) (unk)",AUD,FLAC  ,
"12-31-1996 / Hampton, VA / Hampton Coliseum - Live Trax Vol. 7",SBD,FLAC,Official Release
,,,
[1997],,,
"2-8-1997 / Spartanburg, SC / Spartanburg Memorial Auditorium - Live Trax Vol. 24",SBD,FLAC,Official Release
"7-6-1997 / Mountain View, CA / Shoreline Amphitheatre - Live Trax Vol. 17",SBD,FLAC,Official Release
"7-11-1997 / George, WA / The Gorge (AKG 480) (marc nutter)",AUD,SHN,
,,,
[1998],,,
"5-3-1998 / Ottawa, ON / Congress Center (Gefell SMS2000) (bill lakenan) ",AUD,FLAC,
"5-24-1998 / Morrison, CO / Red Rocks Amphitheatre (Nak 300s) (unk)",AUD,FLAC,
"6-7-1998 / East Rutherford, NJ / Giants Stadium (ryanj transfer) (jd)",AUD,FLAC,
"6-27-1998 / Amsterdam, The Netherlands / Melk Weg - DAT(M) (Schoeps MK4) (derek gregory)",AUD,FLAC,
"10-31-1998 / Oakland, CA - The Arena - Live Trax Vol. 39",SBD,FLAC,Official Bootleg
"11-30-1998 / Philadelphia, PA / First Union Center (DMBlive)",SBD,FLAC,Official Bootleg
"12-8-1998 / Worcester, MA / Centrum - Live Trax Vol. 1",SBD,FLAC,Official Release
,,,
[1999],,,
"3-3-1999 / Salt Lake City, UT / Kingsbury Hall (DMBlive) ",SBD,FLAC,Official Bootleg
"5-26-1999 / East Rutherford, NJ / Giants Stadium",AUD,FLAC,
"6-24-1999 / Noblesville, IN / Deer Creek Music Center - Live Trax Vol. 34",SBD,FLAC,Official Release
,,,
[2000],,,
"6-20-2000 / Columbus, OH / Polaris Amphitheatre (Neumann AK40s) (mike vernal)",AUD,SHN,
"6-22-2000 / Noblesville, IN / Deer Creek Music Center - Live Trax Vol. 58",SBD,FLAC,Official Release
"6-26-2000 / Cincinnati, OH / Riverbend Music Centre - Live Trax Vol. 16",SBD,FLAC,Official Release
"8-2-2000 / Mountain View, CA / Shoreline Amphitheatre (Neumann AK40s) (craig willoughby)",AUD,SHN,
"8-27-2000 / Hartford, CT / Meadows Music Theatre - LiveTrax Vol. 3",SBD,FLAC,Official Release
"8-29-2000 / Saratoga Springs, NY / SPAC - Live Trax Vol. 11",SBD,FLAC,Official Release
,,,
[2001],,,
"3-12-2001 / Catonsville, MD / WHFS 99.1",FM,FLAC,
"3-19-2001 / Tacoma, WA / KMTT Broadcast",FM,FLAC,
"3-21-2001 / Los Angeles, CA / KROQ Broadcast",FM,FLAC,
"6-23-2001 / Camden, NJ / Tweeter Center - Live Trax, Vol. 31",SBD,FLAC,Official Release
"8-10-2001 / Toronto, ONT / Molson Amphitheatre - Live Trax Vol. 56",SBD,FLAC,Official Release
"8-26-2001 / George, WA / The Gorge (Earthworks SR77) (scott brown)",AUD,SHN,
,,,
[2002],,,
"4-20-2002 / Kanata, Canada / Corel Centre (Neumann KM140s) (mike vernal)",AUD,FLAC,
"10-24-2002 / Seattle , WA / Benaroya Hall (DMBlive)",SBD,FLAC,Official Bootleg
"12-21-2002 / New York, NY / Madison Square Garden - Live Trax Vol. 40",SBD,FLAC,Official Bootleg
,,,
[2003],,,
"3-29-2003 / Boone, NC / George M. Holmes Convention Center - Appalachian State University (DMBlive)",SBD,FLAC,Official Bootleg
"7-30-2003 / Marysville, CA / Sleep Train Amphitheatre - Live Trax Vol. 26",SBD,FLAC,Official Release
"9-13-2003 / Bristow, VA / Nissan Pavilion (MBHO 603A/KA200N) (john kelly)",AUD,SHN,
,,,
[2004],,,
"1-09-2004 / New York , NY / China Club (DMBlive)",SBD,FLAC,Official Bootleg
"6-29-2004 / Cuyahoga Falls, OH / Blossom Music Center (AKG 480/ck61) (eric naylor)",AUD,FLAC,
"7-10-2004 / Hershey, PA / HersheyPark Stadium - Live Trax Vol. 50",SBD,FLAC,Official Release
"7-27-2004 / Atlanta, GA / HiFi Buys Amphitheatre - Live Trax Vol. 43",SBD,FLAC,Official Release
"8-7-2004 / East Troy, WI / Alpine Valley Music Theatre - Live Trax - Vol. 8",SBD,FLAC,Official Release
"9-12-2004 / San Francisco, CA / Golden Gate Park - LiveTrax Vol. 2",SBD,FLAC,Official Release
,,,
[2005],,,
"6-29-2005 / Raleigh, NC / Alltel Pavilion at Walnut Creek",AUD,FLAC,
"8-25-2005 / Chula Vista, CA / Coors Amphitheatre - Live Trax Vol. 61 ",SBD,FLAC,Official Release
,,,
[2006],,,
"5-30-2006 / Maryland Heights, MO / UMB Bank Pavilion - Live Trax Vol. 25",SBD,FLAC,Official Release
"7-6+7-2006 / Boston, MA / Fenway Park - Live Trax Vol. 6",SBD,FLAC,Official Release
,,,
[2007],,,
"3-23+24-2007 / Las Vegas, NV / MGM Grand Garden Arena - Live Trax, Vol. 9",SBD,FLAC,Official Release
"5-25-2007 / Lisbon, Portugal / Pavilion Atlantico - Live Trax Vol. 10",SBD,FLAC,Official Release
"9-14-2007 / West Palm Beach, FL / Sound Advice Amphitheatre - Live Trax Vol. 42",SBD,FLAC,Official Release
,,,
[2008],,,
"6-7-2008 / St. Louis, MO / Busch Stadium / Live Trax Vol. 13",SBD,FLAC,Official Release
"6-28-2008 / Bristow, VA / Nissan Pavilion - Live Trax Vol. 14",SBD,FLAC,Official Release
"8-9-2008 / East Troy, WI / Alpine Valley Music Theater (Neumann KM84i's) (taperjoe)",AUD,FLAC,
"8-9-2008 / East Troy, WI / Alpine Valley Music Theater - Live Trax Vol. 15",SBD,FLAC,Official Release
"8-10-2008 / East Troy, WI / Alpine Valley Music Theater (Neumann KM84i's) (taperjoe)",AUD,FLAC,
"9-30-2008 / Rio de Janeiro, BRA / Vivo Rio - Live Trax Vol. 19",SBD,FLAC,Official Release
,,,
[2009],,,
