Wilco,Versions,,,,File Type,,
Drive - E,,,,,,,
,,,,,,,
,,,,,,,
"3-11-1998 / Chicago, IL / Tower Records - WXRT 93.1",FM,,,,FLAC,,
"3-25-1999 / Hamburg, Germany / Gruenspan",AUD,,,,FLAC,,
"3-27-1999 / London, UK / Shepherd's Bush",SBD,,,,FLAC,,
"3-27-1999 / London, UK / Shepherd's Bush Empire (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"4-14-1999 / Madison, WI / Barrymore Theater",SBD,,,,FLAC,,
"4-15-1999 / Champaign, IL / Canopy Theater",AUD,,,,FLAC,,
"4-20-1999 / New York, NY / Irving Plaza",AUD,,,,FLAC,,
"4-21-1999 / New York, NY / Irving Plaza",AUD,,,,DVD,,
"4-21-1999 / New York, NY / Irving Plaza",SBD,,,,FLAC,,
"4-23-1999 / Boston, MA / Avalon Ballroom",AUD,,,,FLAC,,
"4-26-1999 / Philadelphia, PA / TLA",AUD,,,,FLAC,,
"4-26-1999 / Philadelphia, PA / Theatre of the Living Arts - DAT(M) (Schoeps MK4V) (keytohwy) ",AUD,,,,FLAC,,
"4-27-1999 / Virginia Beach, VA / The Abyss",AUD,,,,FLAC,,
"5-7-1999 / Chicago, IL / Riviera Theatre (AKG 481) (jamie syrek)",AUD,,,,FLAC,,
"5-7-1999 / Chicago, IL / Riviera Theatre",SBD,,,,FLAC,,
"5-7-1999 / Chicago, IL / Riviera Theatre (SBD & AKG 481)",MIX,,,,FLAC,,
"5-8-1999 / Grinnell, IA / Grinnell College - Harris Center",AUD,,,,FLAC,,
"5-20-1999 / Seattle, WA / King Cat Theater ",SBD,,,,FLAC,,
"5-20-1999 / Seattle, WA / King Cat Theater (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"5-24-1999 / West Hollywood, CA / House of Blues (blg mastering)",SBD,,,,FLAC,,
"6-19-1999 / Dublin, Ireland / Olympia Theatre",SBD,,,,FLAC,,
"6-23-1999 / London, England / Earl's Court",SBD,,,,FLAC,,
"6-27-1999 / Frankfurt, Germany / Festhalle",AUD,,,,FLAC,,
"6-29-1999 / Berlin, Germany / Columbia Fritz",AUD,,,,FLAC,,
"6-30-1999 / Bielefeld, Germany / Hechelei",SBD,,,,FLAC,,
"7-2-1999 / Roskilde, Denmark / Roskilde Festival",AUD,,,,FLAC,,
"7-2-1999 / Roskilde, Denmark / Roskilde Festival",FM,,,,FLAC,,
"7-3-1999 / Werchter, Belgium / Werchter Festival",SBD,,,,FLAC,,
"7-7-1999 / Stuttgart, Germany / Roehre",MTX,,,,FLAC,,
"7-8-1999 / Loreley, Germany / Rockpalast",FM,,,,FLAC,,
"7-9-1999 / Loreley, Germany / Rockpalast Airbase",TV,,,,FLAC,,
"7-11-1999 / Bologna, Italy / Stadio Renato Dall'Ara",AUD,,,,FLAC,,
"7-14-1999 / Zurich, Switzerland / Hallenstadion (zuma66)",AUD,,,,FLAC,,
"8-15-1999 / Austin, TX / Antone's",AUD,,,,FLAC,,
"8-20-1999 / Tinley Park, IL / World Music Theatre",AUD,,,,FLAC,,
"8-27-1999 / Raleigh, NC / Walnut Creek Amphitheatre",AUD,,,,FLAC,,
"8-31-1999 / St. Petersburg, FL / Jannus Landing (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"8-31-1999 / St. Petersburg, FL / Jannus Landing",,,,,FLAC,,
"8-31-1999 / St. Petersburg, FL / Jannus Landing",SBD,,,,FLAC,,
"9-3-1999 / Pontiac, MI / Phoenix Amphitheatre - Arts, Beats & Eats Festival",AUD,,,,FLAC,,
"9-11-1999 / Chicago, IL / 3rd Annual Hideout Block Party",SBD,,,,FLAC,,
"10-4-1999 / New York, NY / Sessions at West 54th",SBD,,,,FLAC,,
"10-28-1999 / Madison, WI / Headliners",AUD,,,,FLAC,,
"11-5-1999 / Cincinnati, OH / Bogart's",SBD,,,,FLAC,,
"11-6-1999 / Columbus, OH / Newport Music Hall",SBD,,,,FLAC,,
"11-16-1999 / Washington, D.C. / 9:30 Club",SBD,,,,FLAC,,
"11-19-1999 / Philadelphia, PA / Trocadero Theater",SBD,,,,FLAC,,
"11-23-1999 / Detroit, MI / Majestic Theater ",,,,,FLAC,,
"11-23-1999 / Detroit, MI / Majestic Theater ",MTX,,,,FLAC,,
"12-31-1999 / Chicago, IL / Riviera Theatre",SBD,,,,FLAC,,
,,,,,,,
[2000],,,,,,,
"1-9-2000 / Chicago, IL / The Lounge Ax",SBD,,,,FLAC,,
"4-28-2000 / New Orleans, LA / The Howlin' Wolf",SBD,,,,FLAC,,
"4-28-2000 / New Orleans, LA / The Howlin' Wolf (unk)",AUD,,,,FLAC,,
"7-3-2000 / Camden, ME / Camden Opera House",SBD,,,,FLAC,,
"7-3-2000 / Camden, ME / Camden Opera House (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"7-5-2000 / Boston, MA / Bank of America Pavilion (unk)",AUD,,,,FLAC,,
"7-8-2000 / Danbury, CT / Charles Ives Center for the Arts (unk) ",AUD,,,,FLAC,,
"7-10-2000 / Vienna, VA / Wolf Trap",FM,,,,FLAC,,
"7-10-2000 / Vienna, VA / Wolf Trap (unk)",AUD,,,,FLAC,,
"7-11-2000 / Baltimore, MD / Pier 6",SBD,,,,FLAC,,
"7-13-2000 / Rochester Hills, MI / Meadow Brook Music Festival",SBD,,,,FLAC,,
"7-27-2000 / Seattle, WA / Pier 62-63",SBD,,,,FLAC,,
"7-29-2000 / San Francisco, CA / The Fillmore",AUD,,,,FLAC,,
"7-30-2000 / San Francisco, CA / The Fillmore",AUD,,,,FLAC,,
"7-30-2000 / San Francisco, CA / The Fillmore",SBD,,,,FLAC,,
"7-31-2000 / San Francisco, CA / The Fillmore",AUD,,,,FLAC,,
"7-31-2000 / San Francisco, CA / The Fillmore",MTX,,,,FLAC,,
"8-12-2000 / Chicago, IL / Tribune Tower Plaza",SBD,,,,FLAC,,
"9-15-2000 / Towson, MD / Recher Theatre",SBD,,,,FLAC,,
"9-16-2000 / New Haven, CT / Toad's Place",SBD,,,,FLAC,,
"9-17-2000 / Pennsauken, NJ / Cooper River Park (Shoeps CMC4) (billydee)",AUD,,,,FLAC,,
"9-17-2000 / Pennsauken, NJ / Cooper River Park",SBD,,,,FLAC,,
"9-17-2000 / Pennsauken, NJ / Cooper River Park (SBD+Schoeps CMC4)",MIX,,,,FLAC,,
"9-18-2000 / New York, NY / Bowery Ballroom",SBD,,,,FLAC,,
"11-16-2000 / Madison, WI / Barrymore Theater",SBD,,,,FLAC,,
"11-16-2000 / Madison, WI / Barrymore Theater (morst) (taperjoe tracking)",SBD,,,,FLAC,,
"11-18-2000 / Minneapolis, MN / First Avenue",AUD,,,,FLAC,,
"11-19-2000 / Iowa City, IA / Union Bar",AUD,,,,FLAC,,
"11-22-2000 / Chicago, IL / Riviera Theatre",FM,,,,FLAC,,
,,,,,,,
[2001],,,,,,,
"6-29-2001 / Minneapolis, MN / First Avenue",AUD,,,,FLAC,,
"6-30-2001 / Minneapolis, MN / First Avenue",AUD,,,,FLAC,,
"7-4-2001 / Chicago, IL / Grant Park - Petrillo Music Shell",FM,,,,FLAC,,
"9-21-2001 / Dallas, TX / Gypsy Tea Room",AUD #1,,,,FLAC,,
"9-21-2001 / Dallas, TX / Gypsy Tea Room",AUD #2,,,,FLAC,,
"9-22-2001 / Austin, TX / Stubb's BBQ",AUD,,,,FLAC,,
"9-26-2001 / Washington, DC / 9:30 Club",SBD,,,,FLAC,,
"9-27-2001 / New York, NY / Town Hall",AUD,,,,FLAC,,
"9-27-2001 / New York, NY / Town Hall",AUD,,,,FLAC,,
"10-2-2001 / Boston, MA / The Avalon",AUD,,,,FLAC,,
"10-5-2001 / Detroit, MI / Majestic Theatre",SBD,,,,FLAC,,
"11-24-2001 / Chicago, IL / Riviera Theatre",SBD,,,,FLAC,,
"11-28-2001 / Seattle, WA / Moore Theatre",SBD,,,,FLAC,,
"12-1-2001 / San Francisco, CA / The Fillmore",AUD,,,,FLAC,,
"12-2-2001 / San Francisco, CA / The Fillmore (unk)",AUD,,,,FLAC,,
"12-2-2001 / San Francisco, CA / The Fillmore (unk) (neekrive)",AUD,,,,FLAC,,
"12-2-2001 / San Francisco, CA / The Fillmore (SBD + Schoeps) (blg mix)",MIX,,,,FLAC,,
"12-3-2001 / San Francisco, CA / The Fillmore (unk) (neekrive)",AUD,,,,FLAC,,
"12-3-2001 / San Francisco, CA / The Fillmore",AUD,,,,FLAC,,
"12-3-2001 / San Francisco, CA / Fillmore (FOH Series) ",SBD,,,,FLAC,Official Bootleg,
"12-5-2001 / Los Angeles, CA / El Rey Theatre",AUD,,,,FLAC,,
,,,,,,,
[2002],,,,,,,
"3-11-2002 / Phoenix, AZ / The Cajun House",AUD,,,,FLAC,,
"3-13-2002 / Anaheim, CA / House of Blues",SBD,,,,FLAC,,
"3-14-2002 / Las Vegas, NV / House of Blues (ECM12) (luke freteluco)",AUD,,,,FLAC,,
"3-16-2002 / Los Angeles, CA - All Tomorrow's Parties - Royce Hall (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"3-16-2002 / Los Angeles, CA / UCLA - All Tomorrow's Parties (Sony ECM12s) (luke)",AUD,,,,FLAC,,
"3-16-2002 / Los Angeles, CA / UCLA - All Tomorrow's Parties",SBD,,,,FLAC,,
"3-19-2002 / Boulder, CO / University of CO at Boulder - Mackay Auditorium",AUD,,,,FLAC,,
"4-21-2002 / Toronto, Ontario / Convocation Hall",AUD,,,,FLAC,,
"4-24-2002 / Providence, RI / Lupo's Heartbreak Hotel",AUD,,,,FLAC,,
"4-27-2002 / Schenectady, NY / Union College - Memorial Chapel",SBD,,,,FLAC,,
"4-28-2002 / Towson, MD / Recher Theatre",AUD,,,,FLAC,,
"5-12-2002 / Manchester, England / Manchester University Student Union",AUD,,,,FLAC,,
"5-15-2002 / Oslo, Norway / Rockefeller - DAT(M) (unk) ",AUD,,,,FLAC,,
"5-16-2002 / Hamburg, Germany / Gruenspan (MD) (unk)",AUD,,,,FLAC,,
"5-16-2002 / Hamburg, Germany / Gruenspan (unk)",SBD,,,,FLAC,,
"5-17-2002 / Koln, Germany / Prime Club",SBD,,,,FLAC,,
"5-18-2002 / Nurburgring, Germany / Rock am Ring",SBD,,,,FLAC,,
"5-19-2002 / Nurnberg, Germany / Rock im Park Festival",FM,,,,FLAC,,
"5-24-2002 / Paris, France / Le Divan du Monde (SP-CMC-4) (unk)",AUD,,,,FLAC,,
"5-25-2002 / Utrecht, The Netherlands / Tivoli",AUD,,,,FLAC,,
"5-26-2002 / Amsterdam, The Netherlands / Melkweg",AUD,,,,FLAC,,
"5-26-2002 / Amsterdam, The Netherlands / Melkweg",FM,,,,FLAC,,
"5-26-2002 / Amsterdam, The Netherlands / Melkweg",SBD,,,,FLAC,,
"7-20-2002 / Detroit, MI / WDET 101.9 FM - The Martin Bandyke Show",FM,,,,FLAC,,
"7-25-2002 / Atlanta, GA / The Tabernacle",AUD,,,,FLAC,,
"7-30-2002 / Minneapolis, MN / Orpheum Theatre",AUD,,,,FLAC,,
"7-31-2002 / Madison, WI / The Orpheum Theatre (FOH Series) ",SBD,,,,FLAC,Official Bootleg,
"8-31-2002 / Vancouver, BC / Commodore Ballroom",SBD,,,,FLAC,,
"9-2-2002 / Seattle, WA / Bumbershoot",SBD,,,,FLAC,,
"9-3-2002 / Portland, OR / Roseland Theatre",MTX,,,,FLAC,,
"9-6-2002 / San Francisco, CA / The Warfield - DAT(M) (Schoeps CCM4) (unk) (blg mastering)",AUD,,,,FLAC,,
"9-7-2002 / San Francisco, CA / The Warfield (SBD + Schoeps) (blg mix)",MIX,,,,FLAC,,
"9-9-2002 / Los Angeles, CA / John Anson Ford Theater (Sony ECM12s) (luke)",AUD,,,,FLAC,,
"9-9-2002 / Los Angeles, CA / John Anson Ford Theatre (SBD + Sony ECM-12) (anonymous + luke freteluco)",MIX,,,,FLAC,,
"9-10-2002 / Los Angeles, CA / John Anson Ford Theater (Sony ECM12s) (luke)",AUD,,,,FLAC,,
"9-10-2002 / Santa Monica, CA / KCRW Studios - Morning Becomes Eclectic",FM,,,,FLAC,,
"9-10-2002 / Santa Monica, CA / KCRW Studios - Morning Becomes Eclectic",Webcast,,,,DVD,,
"9-10-2002 / Los Angeles, CA / John Anson Ford Theatre - DAT(M) (anonymous)",AUD,,,,FLAC,,
"9-12-2002 / San Diego, CA / 4th and B",AUD,,,,FLAC,,
"9-14-2002 / Denver, CO / The Fillmore",SBD,,,,FLAC,,
"9-16-2002 / Columbia, MO / The Blue Note",AUD,,,,FLAC,,
"9-27-2002 / Austin, TX / Mercury Entertainment - Jazz (SPSC) (unk)",AUD,,,,FLAC,,
"10-14-2002 / Washington, D.C. / 9:30 Club",AUD,,,,FLAC,,
"10-15-2002 / Washington, D.C. / 9:30 Club",AUD,,,,FLAC,,
"10-19-2002 / Boston, MA / The Orpheum",SBD,,,,FLAC,,
"10-22-2002 / Philadelphia, PA / The Electric Factory",SBD,,,,FLAC,,
"10-25-2002 / Ann Arbor, MI / Michigan Theater (Core Binaural Mics) (unk)",AUD,,,,FLAC,,
"10-27-2002 / Champaign, IL / University of IL at Urbana",AUD,,,,FLAC,,
"10-29-2002 / Nashville, TN / The Ryman Auditorium",SBD,,,,FLAC,,
"11-2-2002 / Tampa, FL / Tampa Theatre",SBD,,,,FLAC,,
"11-3-2002 / Gainesville, FL / The Palace Theater",AUD,,,,FLAC,,
"11-9-2002 / St. Louis, MO / The Pageant",SBD,,,,FLAC,,
"11-10-2002 / Iowa City, IA / University of Iowa Memorial Union - Main Lounge",AUD,,,,FLAC,,
,,,,,,,
[2003],,,,,,,
"1-12-2003 / San Francisco, CA / Great American Music Hall",AUD,,,,FLAC,,
"1-26-2003 / Melbourne, Australia / The Palace",AUD,,,,FLAC,,
"1-27-2003 / Melbourne, Australia / Big Day Out Festival",AUD,,,,FLAC,,
"1-31-2003 / Adelaide, Australia / Royal Adelaide Showgrounds",AUD,,,,FLAC,,
"2-2-2003 / Perth, Australia / Big Day Out Festival",AUD,,,,FLAC,,
"4-21-2003 / Dekalb, IL / Otto's",AUD,,,,FLAC,,
"4-22-2003 / Lexington, KY / Singletary Center",AUD,,,,FLAC,,
"4-26-2003 / University Park, PA / Penn State University - HUB Lawn",AUD,,,,FLAC,,
"5-1-2003 / Asheville, NC / The Orange Peel",AUD,,,,FLAC,,
"5-3-2003 / Carbondale, IL / University Arena Parking Lot",AUD,,,,FLAC,,
"6-21-2003 / Pittsburgh, PA / Point State Park Symphony Stage",AUD,,,,FLAC,,
"6-21-2003 / Pittsburgh, PA / Three Rivers Arts Festival (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"6-24-2003 / Wallingford, CT / Oakdale Theater",AUD,,,,FLAC,,
"6-26-2003 / New York, NY / Summerstage Central Park (MG210) (ellaguru)",AUD,,,,FLAC,,
"6-28-2003 / Philadelphia, PA / Penn's Landing",SBD,,,,FLAC,,
"6-28-2003 / Philadelphia, PA / Festival Pier at Penn's Landing (FOH Series)",SBD,,,,FLAC,Official Bootleg,
