Toad the Wet Sprocket,Versions,File Type
"4-12-1997 / Houston, TX / Buffalo Bayou Park (Sony D8) (victor yiu)",AUD,FLAC
"4-19-1997 / Poughkeepise, NY / Marist College - McCann Fieldhouse",AUD,FLAC
"4-20-1997 / Keene, NH / Keene State College - Campus Green",AUD,FLAC
"4-22-1997 / New York, NY / WDBZ-FM - The John & Abby Show - ANA(x) (unk)",FM,FLAC
"4-24-1997 / West Hartford, CT - Lincoln Theater (Aiwa Walkman)",AUD,FLAC
"4-25-1997 / Potsdam, NY / Cheel Arena (Magnavox Stereo Boombox) (unk)",AUD,FLAC
"4-26-1997 / Madison, NJ / Simon Forum Athletic Center (unk)",AUD,FLAC
"5-14-1997 / Cleveland, OH / Live on WENZ FM (ben wallis transfer) (unk)",FM,FLAC
"5-15-1997 / Boston, MA / Live on WXRV FM (ben wallis transfer)",FM,FLAC
"5-18-1997 / Los Angeles, CA / Capitol Studios (Modern Rock Live) - ANA(x) (unk",FM,FLAC
"5-21-1997 / New York, NY / Supper Club - ANA(x) (unk)",AUD,FLAC
"5-22-1997 / Boston, MA / Avalon - ANA(x)",AUD,FLAC
"5-23-1997 / Washington, D.C. / 9:30 Club",AUD,FLAC
"5-26-1997 / Toronto, ON / Lee's Palace - ANA(2) (Hi-8 video transfer) (unk)",AUD,FLAC
"5-27-1997 / Cleveland, OH / The Odeon (ben wallis transfer)",FM,FLAC
"5-27-1997 / Cleveland, OH / 107.9 THE END (unk)",FM,FLAC
"5-30-1997 / Atlanta, GA / Variety Playhouse - ANA(x) (unk) ",AUD,FLAC
"5-30-1997 / Atlanta, GA / WNNX-FM",FM,FLAC
"6-1-1997 / Camden, NJ / Blockbuster-Sony Music Entertainment Centre - Y100 Fest - ANA(x) (unk)",AUD,FLAC
"6-4-1997 / Sausalito, CA / The Plant Studios - KFOG Radio - ANA(x) (unk)",FM,FLAC
"6-5-1997 / San Francisco, CA / The Fillmore - ANA(x) (unk)",AUD,FLAC
"6-6-1997 / Los Angeles, CA / John Anson Ford Amphitheater - DAT(M) (AKG C460B+CK63) (jeff lester)",AUD,FLAC
"6-13-1997 / Mountain View, CA / Shoreline Amphitheater - DAT(M) (Live 105FM)",FM,FLAC
"6-18-1997 / Los Angeles, CA / Live on KTXY FM (ben wallis transfer)",FM,FLAC
"6-19-1997 / Los Angeles, CA / KLOS-FM 95.5 - Mark & Brown Program Broadcast (unk)",FM,FLAC
"7-11-1997 / Mountain View, CA / Shoreline Amphitheatre - HORDE Festival - ANA(x) (unk) ",AUD,FLAC
"7-17-1997 / Irvine, CA / Irvine Meadows Amphitheatre - H.O.R.D.E. Festival - ANA(x) (unk)",AUD,FLAC
"7-18-1997 / Phoenix, AZ / Blockbuster Desert Sky Pavilion - H.O.R.D.E. Festival - ANA(x) (unk)",AUD,FLAC
"7-28-1997 / Cincinnati, OH / Rockline  - ANA(x) (unk)",FM,FLAC
"7-29-1997 / Cincinnati, OH / Riverbend Music Center - H.O.R.D.E. Festival - ANA(x) (unk) ",AUD,FLAC
"7-30-1997 / Columbus, OH / WWCD-FM - ANA(x) (unk)",FM,FLAC
"7-30-1997 / Columbus, OH / Polaris Amphitheater",AUD,SHN
"8-5-1997 / Vernon, NY / Vernon Downs - H.O.R.D.E. Festival (marcsounds) (unk)",AUD,FLAC
"8-8-1997 / Mansfield, MA / Great Woods Center for the Performing Arts - H.O.R.D.E. Festival - ANA(x) (unk)",AUD,FLAC
"8-12-1997 / Wantagh, NY / Jones Beach Amphitheater - ANA(M) (unk) ",AUD,FLAC
"8-16-1997 / Bristow, VA / Nissan Pavilion - ANA(x) (AKG 460+CK61) (unk) ",AUD,FLAC
"8-17-1997 / Camden, NJ / Blockbuster-Sony Music Centre - ANA(x) (unk)",AUD,FLAC
"8-19-1997 / Holmdel, NJ / PNC Bank Arts Center",AUD,FLAC
"8-21-1997 / Burghettstown, PA / Coca-Cola Star Lake Amphitheatre - ANA(x) (unk)",AUD,FLAC
"8-23-1997 / Live Oak, FL / Spirit of the Suwannee Music Park - ANA(x) (unk)",AUD,FLAC
"8-24-1997 / West Palm Beach, FL / Coral Sky Amphitheater (AKG 391) (dolphinsmile)",AUD,FLAC
"8-30-1997 / Santa Barbara, CA / County Bowl - Rape Crisis Center Benefit (Marcsounds) (victor yiu)",AUD,SHN
"8-30-1997 / Santa Barbara, CA / County Bowl - Rape Crisis Center Benefit",FM,SHN
"10-3-1997 / Las Vegas, NV / The Joint - Hard Rock Hotel (ben wallis transfer)",AUD,FLAC
"10-4-1997 / Santa Ana, CA / Galaxy Theatre",AUD,FLAC
"10-6-1997 / Los Angeles, CA / El Rey Theater - DAT(M) (AKG C460B+CK63) (jeff lester)",AUD,FLAC
"10-15-1997 / Portland, OR / Roseland Theater (Magnavox Stereo Boombox) (unk)",AUD,FLAC
"10-18-1997 / Salt Lake City, UT / Abravanel Hall - ANA(x) (unk)",AUD,FLAC
"10-19-1997 / Salt Lake City, UT / Abravanel Hall - ANA(x) (unk",AUD,FLAC
"10-24-1997 / Lawrence, KS / Liberty Hall - ANA(x) (unk)",AUD,FLAC
"10-25-1997 / Peoria, IL / Madison Theatre (Sony D8) (jb)",AUD,FLAC
"10-26-1997 / St. Louis, MO / KPNT-FM - ANA(x) (shane e. calhoon)",FM,FLAC
"11-1-1997 / Kirksville, MO / Pershing Arena (Magnavox Stereo Boombox) (unk)",AUD,FLAC
"11-8-1997 / Crawfordsville, IN / Wabash College - ANA(x) (unk)",AUD,FLAC
"11-11-1997 / Cincinnati, OH / Bogart's - ANA(x) (unk) ",AUD,FLAC
"11-12-1997 / Royal Oak, MI / Royal Oak Music Theatre - ANA(x) (unk)",FM,FLAC
"11-18-1997 / New York, NY / Tramps (Sony ECM-939) (jon pasternak)",AUD,SHN
"11-19-1997 / Washington, DC / 930 Club (unk) ",AUD,WAV
"11-21-1997 / Philadelphia, PA / Electric Factory - ANA(x) (unk)",AUD,FLAC
"11-23-1997 / Killington, VT / The Pickelbarrel (Marcsounds) (unk)",AUD,FLAC
"11-25-1997 / Providence, RI / Lupo's Heartbreak Hotel - ANA(M) (Sony WM-D3) (unk)",AUD,FLAC
"11-26-1997 / Boston, MA / Avalon Ballroom",AUD,FLAC
"11-28-1997 / Sea Bright, NJ / Tradewinds",AUD,FLAC
