Deftones,Versions,File Type,
"2-13-2007 / Santiago, Chile / Centro Cultural Estacio?n Mapocho",AUD,DVD,
"3-22-2007 / Paris, France / L'Olympia (Marantz EM8) (yld)",AUD,FLAC,
"3-30-2007 / Dijion, France / Ze?nith de Dijion",AUD,DVD,
"4-10-2007 / Schaarbeek, Belgium / Hallen Van Schaarbeek",AUD,DVD,
"4-14-2007 / London, England / Carling Brixton Academy (Sony W70) (jomiky) ",AUD,DVD,
"4-16-2007 / Bristol, England / Carling Academy (Sony ECM-719) (unk)",AUD,FLAC,
"5-30-2007 / Cleveland, OH / House of Blues (Giant Squid Omnis) (def-head)",AUD,FLAC,
"6-4-2007 / Washington, DC / 9.30 Club (AKG mics) (cps) ",AUD,FLAC,
"6-12-2007 / Detroit, MI / State Theatre (CA-STC9000) (paramnesiac)",AUD,FLAC,
"6-17-2007 / Maplewood, MN / Myth Nightclub (3-cam Mix) ",AUD,FLAC,
"7-22-2007 / Hampton Beach, NH / Casino Ballroom (CSB)",AUD,FLAC,
,,,
[2008],,,
"9-18-2008 / Los Angeles, CA / Spaceland (Edirol R-09) (darshun) ",AUD,FLAC,
,,,
[2009],,,
"8-21-2009 / Ludinghausen, Germany / Flugplatz Borkenberge - Area4 Festival (WDR ProShot)",PRO,DVD,
"8-29-2009 / Charleville-Me?zie?res, France / Le Cabaret Vert-Square Bayard (Edirol R09-HR) (coli)",AUD,FLAC,
,,,
[2010],,,
"4-27-2010 / El Paso, TX / Club 101 (Zoom H2) (unk)",AUD,FLAC 24,
"5-8-2010 / Lisbon, Portugal / Teatro Tivoli - Live Myspace Optimus Secret Show",PRO,DVD,
"5-12-2010 / Longon, England / ULU (MTV UK Special) - Live In Session 2010",PRO,MKV,
"5-14-2010 / London, England / BBC Radio 1 - Maide Vale (Webcast) ",WEB,FLAC,
"5-21-2010 / Grand Rapids, MI / The Orbit Room (Sony ECM-717) (ryan j.)",AUD,FLAC,
"5-25-2010 / Madison, WI / Majestic Theatre (CSB) (matt rogers)",AUD,FLAC,
"5-26-2010 / Milwaukee, WI / Rave Ballroom",AUD,MP3,
,,,
[2011],,,
"4-2-2011 / Santiago, Chile / Parque O'Higgins - Lollapalooza (unk)",AUD,FLAC,
"4-30-2011 / Chicago, IL / Riviera Theatre (CSC) (thatvulture, auger3d)",AUD,FLAC,
"5-4-2011 / Montre?al, Canada / The Metropolis (inc) (Zoom H2) (bootlegottawa)",AUD,FLAC,
"5-10-2011 / Philadelphia,, PA / Electric Factory (Sennheiser MMHLSC) (cabbage)",AUD,FLAC 24,
"5-16-2011 / Baltimore, MD / Sonar (Sennheiser MMHLSC) (cabbage)",AUD,FLAC 24,
"5-17-2011 / Baltimore, MD / Sonar (Sennheiser MMHLSC) (cabbage) ",AUD,FLAC 24,
"6-5-2011 / Corpus Christ, TX / Concrete Street Amphitheater (Audix CPS) (unk)",AUD,FLAC,
"6-10-2011 / Los Angeles, CA / Hollywood Palladium - Diamond Eyed (Olympus PCM) (unk) ",AUD,FLAC,
"9-3-2011 / Moscow, Russia / Arena Moscow Club (SP-CMC-8) (felix) ",AUD,FLAC,
,,,
[2012],,,
"8-4-2012 / Holmdel, NJ / PNC Bank Center (ATu8532s) (dassarri)",AUD,FLAC,
"8-15-2012 / Rosemont, IL / Allstate Arena (CA-14) (discopij)",AUD,FLAC,
"9-22-2012 / Irvine, CA / Verizon Wireless Amphitheater (CSB) (unk) ",AUD,FLAC,
"9-23-2012 / Sacramento, CA / Discovery Park (CSB) (unk)",AUD,FLAC,
"10-10-2012 / San Francisco, CA / The Warfield (CSB) (unk) ",AUD,FLAC,
"10-12-2012 / Portland, OR / Roseland Theatre (CSB) (unk) ",AUD,FLAC,
"10-13-2012 / Seattle, WA / Showbox SODO (CSB) (unk)",AUD,FLAC,
"10-14-2012 / Vancouver, Canada / Commodore Ballroom (CSB) (unk)",AUD,FLAC,
"10-26-2012 / Baltimore, MD / Ram's Head Live (CA-14s) (kabbage)",AUD,FLAC 24,
"10-28-2012 / Philadelphia, PA / Electric Factory (CA-14s) (cabbage) ",AUD,FLAC 24,
"11-2-2012 / Mexico City, MX / Arena Ciudad de Mexico (Sony MZ-RH910) (defthe1s) ",AUD,FLAC,
"11-21-2012 / Hollywood, CA / Hollywood Palladium (Olympus LS-11) (unk) ",AUD,FLAC,
,,,
[2013],,,
"2-21-2013 / London, UK / Maide Vale Studio - BBC Radio 1 ",WEB,FLAC,
"3-12-2013 / Stoudsburg, PA / Sherman Theatre (CA-14s) (spfreak77)",AUD,FLAC,
"5-1-2013 /  Chiba, Japan / Makuhari Messe - Ozzfest (M) (unk) (antihero)",AUD,FLAC,
"8-30-2013 / Wiesen, Austria / 2 Days A Week Festival (SP-CMC-4U) (fothermucker) ",AUD,FLAC,
"10-12-2013 / Bloomington, IL / US Cellular Colisseum (DPA 4061s) (unk)",AUD,FLAC,
,,,
[2015],,,
"5-9-2015 / Las Vegas, NV / Rock in Rio USA",Webcast,TS,
"7-22-2015 / Clarkston, MI / DTE Energy Music Theatre AT831a) (ryanj)",AUD,FLAC,
"7-25-2015 / Cincinatti, OH / Riverbend Music Center (Zoom H1) (hollowmoons)",AUD,FLAC,
"8-1-2015 / Gilford, NH / Bank of NH Pavilion at Meadowbrook (PCM-M10) (ericcagle)",AUD,FLAC 24,
"8-9-2015 / Charlotte, NC / PNC Music Pavilion (unk) (univonc)",AUD,FLAC,
"8-26-2015 / Mountain View, CA / Shoreline Amphitheatre (CA-11) (sea_of_cheese)",AUD,FLAC,
"9-27-2015 / Santiago, Chile / Hangares Suricato - Gets Louder Festival",FM,FLAC,
,,,
[2016],,,
"5-24-2016 / Sioux Falls, SD / The District (CA-14) (ozone21clutch)",AUD,FLAC,
"6-3-2016 / London, England / Wembley Arena (DPA 4061s) (rob) ",AUD,FLAC 24,
"8-23-2016 / Fresno, CA / Woodward Park Amphitheater (Olympus LS-11) (unk)",AUD,FLAC,
"8-26-2016 / Berkeley, CA / Greek Theater (Olympus LS-11) (unk) ",AUD,FLAC,
"9-19-2016 / Indianapolis, IN / The Old National Center (Zoom H1) (hollowmoons)",AUD,FLAC,
"9-23-2016 / Corpus Christi, TX / Concrete Street Amphitheater (unk)",AUD,MP3,
,,,
[2017],,,
"4-21-2017 / Milan, Italy /Fabrique (Zoom Q2HD) (unk)",AUD,FLAC,
"5-10-2017 / Dublin, Ireland / Vicar Street (M) (Edirol R-09HR) (unk) ",AUD,FLAC,
"7-3-2017 / Auburn, WA / White River Amphitheatre (Edirol R-09)",AUD,FLAC 24,
"7-6-2017 / Concord, CA / Concord Pavilion (DPA 4061s) (unk)",AUD,FLAC,*Includes Rise Against's set
,,,
[2018],,,
"6-20-2018 / London, England / Royal Festival Hall - Meltdown Festival (DPA 4061s) (rob)",AUD,FLAC 24,
"10-6-2018 / Austin, TX / Austin City Limits",Webrip,MKV,
,,,
[2019],,,
"8-31-2019 / Pasadena, CA / The Oaks Stage - Daydream Festival (SP-CMC-8) (unk)",AUD,FLAC 24,
"8-31-2019 / Pasadena, CA / Brookside Park - Daydream Festival (Roland R-05) (unk) ",AUD,FLAC 24,
,,,
[2022],,,
"4-18-2022 / San Francisco, CA / Bill Graham Civic Auditorium (Schoeps MK4s) (tj) ",AUD,FLAC,
"4-25-2022 / Denver, CO / Ball Arena (Olympus LS-P4) (exene) ",AUD,FLAC,
"5-18-2022 / Philadelphia, PA / Metropolitan Opera House (unk) (markit)",AUD,FLAC,
"12-2-2022 / Melbourne, Australia / Good Things Festival - Flemington Racecourse (Sony ECM-DS70P) (unk)",AUD,FLAC 24,*Single file
,,,
[2023],,,
"5-13-2023 / Las Vegas, NV / Sick New World Festival (Schoeps MK4s) (tj)",AUD,FLAC,
,,,
[2024],,,
"3-8-2024 / Chicago, IL / Lollapalooza Festival (unk)",SBD,MP3,
"4-12-2024 / Indio, CA / Coachella, Empire Polo Club (YouTube Livestream) (mrtast) ",WEB,MP4,
"4-19-2024 / Indio, CA / Coachella 2024 - Empire Polo Club (YouTube Livestream) (1080)",WEB,TS,
"8-16-2024 / San Francisco, CA / Golden Gate Park (Schoeps MK4) (loughney)",AUD,FLAC 24,
"8-17-2024 / San Francisco, CA - Golden Gate Park (Schoeps MK4) (tj)",AUD,FLAC 24,
"11-2-2024 / San Diego, CA / Petco Park (Schoeps MK4s + Feeds) (ryanj) ",MIX,FLAC,
