Local H,Versions,File Type
"9-20-2003 / Champaign, IL / The Highdive (CSB) (live2cd)",AUD,SHN
"10-10-2003 / Carbondale, IL / The Copper Dragon (neil miller)",SBD,FLAC
"10-12-2003 / Milwaukee, WI / The Rave II (CSB) (live2cd)",AUD,FLAC
"10-31-2003 / Chicago, IL / The Double Door (live2cd)",SBD,FLAC
"10-31-2003 / Chicago, IL / The Double Door (CSB) (live2cd)",AUD,FLAC
,,
[2004],,
"4-5-2004 / Chicago, IL / Q101 Studios (tapeworm48)",FM,FLAC
"4-6-2004 / Zion, IL / Fritz's Corner (DABs) (jon gannon)",AUD,FLAC
"4-9-2004 / Chicago, IL / The Metro (CSB) (live2cd)",AUD,FLAC
"4-10-2004 / De Kalb, IL / Otto's (CSB) (live2cd)",AUD,FLAC
"4-14-2004 / South Bend, IL / Heartland (CSB) (live2cd)",AUD,FLAC
"4-16-2004 / Cleveland, OH / Peabody's (CSB) (live2cd)",AUD,FLAC
"4-19-2004 / Boston, MA / The Paradise Lounge (HEB DPA 4060) (james bonaiuto)",AUD,FLAC
"4-20-2004 / Hartford, CT / Webster Theatre (AT853s) (david jeffers)",AUD,FLAC
"4-23-2004 / New York, NY / The Tribeca Rock Club (CSB) (live2cd)",AUD,FLAC
"4-24-2004 / Washinton, D.C. / The Black Cat (CSB) (live2cd & james bonaiuto)",AUD,FLAC
"4-29-2004 / Atlanta, GA / The Echo Lounge (SP-BMC-3) (sydney alamy)",AUD,FLAC
"5-1-2004 / Orlando, FL / Will's Loch Haven Pub - DAT(M) (Panasonic WM-61A) (kris sproul)",AUD,FLAC
"5-9-2004 / Dallas, TX / Gypsy Tea Room (SM98) (cps)",AUD,FLAC
"5-13-2004 / Covington, KY / Radio Down (CSB) (live2cd)",AUD,FLAC
"5-15-2004 / West Dundee, IL / Clearwater Theater (CSB) (live2cd)",AUD,FLAC
"5-20-2004 / Lakewood, OH / The Phantasy Theater (CSB) (live2cd)",AUD,FLAC
"5-28-2004 / Milwaukee, WI / Rave Bar (CSB) (live2cd)",AUD,FLAC
"5-28-2004 / Milwaukee, WI / Rave Bar (DPA 4061) (tapeworm48)",AUD,FLAC
"6-10-2004 / West Hollywood, CA / The Key Club (CSB) (kevin coons)",AUD,FLAC
"6-23-2004 / Pittsburgh, PA / The Hard Rock Cafe (CSB) (live2cd)",AUD,FLAC
"6-24-2004 / Indianapolis, IN / The Patio (CSB) (live2cd)",AUD,FLAC
"7-23-2004 / New York, NY / Mercury Lounge (Scott Lucas solo) (cabbage)",SBD,FLAC
"8-7-2004 / Westhampton, MA / Three Grounds Fair - WLZX Lazer 99.3 Quinn & Cantara's Hog & Split (cabbage)",SBD,FLAC
"8-13-2004 / Chicago, IL / New City YMCA - Q101 Block Party (CSB) (live2cd)",SBD,FLAC
"8-13-2004 / Chicago, IL / New City YMCA - Q101 Block Party - DAT(M) (tapeworm48)",SBD,FLAC
"9-3-2004 / De Kalb, IL / Otto's (CSB) (live2cd)",AUD,FLAC
"9-4-2004 / Milwaukee, WI / Potawatomi Rock Stage - Summerfest Encore (CSB) (live2cd)",AUD,FLAC
"9-10-2004 / Kalamazoo, MI / Club Soda (CSB) (live2cd)",AUD,FLAC
"9-12-2004 / Lafayette, IN / Riehle Brothers 2 (Sony 8mm Handycam) (jason ray)",AUD,SHN
"9-14-2004 / Ann Arbor, MI / The Blind Pig (CSB) (live2cd)",AUD,FLAC
"9-15-2004 / Lansing, MI / The Temple Club (CSB) (live2cd)",AUD,FLAC
"9-17-2004 / Chicago, IL / The Metro (CSB) (live2cd)",AUD,FLAC
"9-17-2004 / Chicago, IL / The Metro (DPA 4061) (tapeworm48)",AUD,FLAC
"9-18-2004 / Bellafontaine, OH / The Blue Cat (CSB) (live2cd)",AUD,FLAC
"10-8-2004 / Glendale Heights, IL / 602 North (CSB) (live2cd)",AUD,FLAC
"10-10-2004 / Chicago, IL / The East Village Street Fest (CSB) (live2cd)",AUD,FLAC
"10-31-2004 / Chicago, IL / The Double Door (Scott Lucas solo w/ Special Guests) (DABs) (jon gannon)",AUD,FLAC
"10-31-2004 / Chicago, IL / The Double Door (Scott Lucas solo w/ Special Guests) (DPA 4061) (tapeworm48)",AUD,FLAC 24
"11-26-2004 / Lemont, IL / Nelly's Piper (Sean Kaley's) (CSB) (live2cd)",AUD,FLAC
"12-10-2004 / Chicago, IL / Q101 Studios (tapeworm48)",FM,FLAC
"12-31-2004 / Chicago, IL / The Double Door (CSB) (live2cd)",AUD,FLAC
,,
[2005],,
"2-10-2005 / Chicago, IL / The Double Door - DAT(M) (Schoeps MK4s + SBD) (tapeworm48)",MIX,FLAC
"2-24-2005 / Cedar Falls, IA / The Reverb (DSM-6S/EL) (unk)",AUD,FLAC
"2-26-2005 / De Kalb, IL / Otto's (DPA 4060) (live2cd)",AUD,FLAC
