Weezer,Versions,File Type,
"5-12-2001 / Dallas, TX / Smirnoff Music Centre - Edgefest",AUD,FLAC,
"5-20-2001 / St. Louis, MO / Riverport Amphitheatre",SBD,FLAC,
"6-13-2001 / London, UK / BBC Radio - The Evening Session *Studio Jam June 2001 (Loose-062)",Silver CD,FLAC,
"6-15-2001 / Seinajoki, Finland / Provinssirock Festival",FM,SHN,
"6-16-2001 / Hultsfred, Sweden / Hultsfreds Hembygdspark",FM,FLAC,
"6-16-2001 / Hultsfred, Sweden / Hultsfreds Hembygdspark",PRO,DVD,
"6-19-2001 / Copenhagen, Denmark / Pumpehuset",AUD,FLAC,
"6-21-2001 / Dortmund, Germany / Soundgarden",FM,FLAC,
"6-21-2001 / Dortmund, Germany / Soundgarden (mark suffolk) ",PRO,DVD,
"7-1-2001 / Werchter, Belgium / Rock Werchter (CSB) (wzbw88)",AUD,FLAC,
"7-4-2001 / London, UK / Shepherd's Bush Empire - DAT(M) (OKM-IIr) (unk)",AUD,FLAC,
"8-25-2001 / Devore, CA / Glen Helen Blockbuster Pavilion (CSB mod) (andy swinburnson)",AUD,FLAC,
"9-15-2001 / Las Vegas, NV / Cox Pavilion - DAT(M) (Sony ECM-12) (luke freteluco)",AUD,FLAC,
"9-26-2001 / Philadelphia, PA / The Spectrum (unk)",AUD,FLAC,
"9-28-2001 / Fairfax, VA / Patriot Center (CSB) (brian)",AUD,FLAC,
"10-24-2001 / Hollywood, CA / The Knitting Factory - HBO Reverb (Goat Punishment)",SBD,MP3,
"10-24-2001 / Hollywood, CA / The Knitting Factory",AUD,DVD,
"11-20-2001 / San Diego, CA / Cox Arena at Aztec Bowl (AT933) (chris edge)",AUD,FLAC,
"11-27-2001 / Ft. Worth, TX / Tarrant County Convention Center (unk)",AUD,FLAC,
,,,
[2002],,,
"2-7-2002 / Rochester, NY / Blue Cross Arena (unk)",AUD,FLAC,
"2-17-2002 / Albany, NY / Pepsi Arena (AT853s) (oysterhead)",AUD,FLAC,
"2-17-2002 / Albany, NY / Pepsi Arena",FM,FLAC,
"3-20-2002 / Glasgow, Scotland / Barrowland",AUD,FLAC,
"3-24-2002 / Brixton, England / Brixton Academy (mark mcatackney)",FM,FLAC,
"4-29-2002 / Missoula, MT / Adams Center (unk)",AUD,FLAC,
"5-2-2002 / Fargo, ND / Fargodome (DAC) (p.j. pearson & steve korf)",AUD,SHN,
