Alanis Morissette,Versions,File Type
Alanis Morissette - MTV Unplugged (1999) (24/96),Official Release,FLAC HD
"Alanis Morissette - So-Called Chaos (2004, Maverick, 9362-48555, EU) (2004)",Official Release,FLAC
Alanis Morissette - So-Called Chaos (2004) (2015 HDTracks) (24/96),Official Release,FLAC HD
Alanis Morissette - Flavors Of Entanglement {269308-2 US} (2008),Official Release,FLAC
Alanis Morissette - Under Rug Swept (2011) HDTracks (24/96),Official Release,FLAC HD
Alanis Morissette - Live at Montreux 2012 (2013) (24/96),Official Release,FLAC HD
Alanis Morissette - Feast On Scraps (2002) (2015 HDTracks) (24/96),Official Release,FLAC HD
Alanis Morissette - Jagged Little Pill - 1995 (2015) Collector's Edition,Official Release,FLAC HD
Alanis Morissette - Jagged Little Pill (2015) (24/44.1),Official Release,FLAC HD
Alanis Morissette - Jagged Little Pill (Acoustic) (2015) (24/96),Official Release,FLAC HD
Alanis Morissette - Jagged Little Pill (20th Anniversary Target Deluxe Edition) (2015),Official Release,FLAC
Alanis Morissette - Jagged Little Pill (2015 Collector's Edition),Official Release,FLAC
Alanis Morissette - Havoc And Bright Lights (Deluxe Edition) (2012) (24/44.1),Official Release,FLAC HD
Alanis Morissette - Such Pretty Forks In The Road (2020) (24/96),Official Release,FLAC HD
