"9-10-2011 / Chiba, Japan - Makuhari Messe *South of Heaven",Silver CD,FLAC
"9-11-2011 / Chiba, Japan - Makuhari Messe *Nothin's All Right ",Silver CD,FLAC
"9-11-2011 / Chiba, Japan - Makuhari Messe *God Save Us Everyone",Silver CD,FLAC
"9-16-2011 / Osaka, Japan - Intex Osaka *Realize Freedom",Silver CD,FLAC
,,
[2012],,
"6-5-2012 / Berlin, Germany / Admiralspalast (_volta_)",FM,FLAC
"8-21-2012 / Auburn Hills, MI / The Palace of Auburn Hills (Sony ECM-717) (ryanj)",AUD,FLAC
,,
[2013],,
"2-23-2013 / Brisbane, Australia / RNA Showgrounds - Soundwave Festival",AUD,FLAC
"2-24-2013 / Sydney, Australia / ANZ Stadium - Soundwave Festival (SP-BMC-1) (shadowfax1007)",AUD,FLAC
"2-27-2013 / Sydney, Australia / ANZ Stadium - Soundwave Festival SP-BMC-1) (shadowfax1007)",AUD,FLAC
"8-10-2013 / Chiba, Japan. / QVC Marine Field - Castle of Sonic",Silver CD,FLAC
,,
[2014],,
"6-5-2014 / Warsaw, Poland / Stadion Miejski (Sony ECM-DS70P) (wyjebongo team)",AUD,FLAC
"6-7-2014 / Nurburgring, Germany / Rock am Ring (andone)",FM,FLAC
"6-7-2014 / Nurburgring, Germany / Rock am Ring",FM,FLAC
"6-7-2014 / Nurburgring, Germany / Rock am Ring",TV,FLAC
"6-10-2014 / Milan, Italy / Ippodromo del Galoppo di San Siro",AUD,FLAC
"6-14-2014 / Donnington, England / Donnington Park - Download Festival (SP-CMC-19) (nowfacethetruth)",AUD,FLAC
"6-18-2014 / Burbank, CA / iHeartRadio Theater",PRO,TS
"8-18-2014 / Holmdel, NJ / PNC Bank Arts Center (Soundman OKM II R) (andone)",AUD,FLAC
"8-19-2014 / Wantagh, NY / Nikon at Jones Beach Theater (Soundman OKM II R) (andone)",AUD,FLAC
"8-21-2014 / Darien Center, NY / Darien Lake Performing Arts Center (AT 831) (binko)",AUD,FLAC
"8-24-2014 / Toronto, Ontario / Air Canada Centre (Soundman OKM II R) (andone)",AUD,FLAC
"8-30-2014 / Clarkston, MI / DTE Energy Music Theatre (DPA 4060s + CA-9100) (ryanj)",AUD,FLAC 24
"11-9-2014 / Oberhausen, Germany / Koenig-Pilsener Arena (AT853s) (nowfacethetruth)",AUD,FLAC
"11-22-2014 / Manchester, England / Phones 4u Arena",AUD,FLAC
"11-23-2014 / London, UK / 02 Arena (SP-CMC-8A) (wyjebongo team)",AUD,FLAC
"12-13-2014 / Inglewood, CA / The Forum - KROQ Almost Acoustic Christmas (Webstream) (numb)",WEB,FLAC
,,
[2015],,
"7-19-2015 / Shenzhen, China / Guangdong (Cellphone) (extremecode)",AUD,FLAC
"8-23-2015 / Hockenheim, Germany / Hockenheimring - Rock 'N' Heim Festival (AT853s) (nowfacethetruth)",AUD,FLAC
"9-3-2015 / Berlin, Germany / Stadion An der Alten (Soundman OKM II R) (wb)",AUD,FLAC
,,
[2017],,
"6-9-2017 / Bretigny-sur-Orge, France / Base Aerienne 217 - Download Festival (CA-14) (rabepic)",AUD,FLAC
"6-20-2017 / Amsterdam, Holland / Ziggo Dome (CA-11) (one8ung)",AUD,FLAC
"6-25-2017 / Neuhasen ob Eck, Germany / Southside Festival",FM,FLAC
"10-27-2017 / Hollywood, CA, USA - Hollywood Bowl - Linkin Park & Friends - Celebrate Life in Honor of Chester Bennington (Webcast 1080p)",WEB,TS
,,
[2024],,
"9-11-2024 / Inglewood, CA / Kia Forum (Schoeps MK4s) (ryanj) ",AUD,FLAC 24
"9-11-2024 / Inglewood, CA / Kia Forum (DPA 4081) (faninor)",AUD,FLAC 24
"9-16-2024 / Brooklyn, NY / Barclays Center (CA-14) (tom popolo)",AUD,FLAC 24
"9-22-2024 / Hamburg, Germany / Barclays Arena (Sennheiser XS Lav) (chesterchaz)",AUD,FLAC 24
,,
[2025],,
"2-12-2025 / Saitama, Japan / Saitama Super Arena {XAVEL-HM-244} Harakiri Xero",Silver CD,FLAC
"5-8-2025 / Greenville, SC / Bon Secours Wellness Arena (Schoeps MK4) (ryanj) ",AUD,FLAC
"5-10-2025 / Columbus, OH / Sonic Temple Festival - Temple Stage (Schoeps MK41) (jesse mc) ",AUD,FLAC 24
