Foo Fighters,Versions,File Type,
"1-17-2003 / Auckland, New Zealand / Ericsson Stadium - MD(M) (Sony ECM-717)",AUD #1,FLAC,
"1-19-2003 / Gold Coast, Australia / Big Day Out Festival (Channel V TV)",TV,FLAC,
"1-19-2003 / Gold Coast, Australia / Big Day Out Festival - VHS(1)",TV,DVD,
"1-29-2003 / Melbourne, Australia / Festival Hall",AUD,FLAC,
"2-22-2003 / New York, NY / Saturday Night Live - VHS(M)",PRO,DVD,
"3-30-2003 / Paris, France / Le Zenith (inc)",AUD,FLAC,
"4-3-2003 / Los Angeles, CA / KROQ Studios (Dave Grohl) (FM)",SBD #1,FLAC,
"4-11-2003 / Oakland, CA / Henry J. Kaiser Convention Center (Schoeps CCM4s)",AUD #1,FLAC,
"4-14-2003 / Phoenix, AZ / Dodge Theater - DAT(x) (smores) ",AUD #1,FLAC,
"4-15-2003 / San Diego, CA / RIMAC Arena - UCSD (Sony ECM-737)",AUD #1,FLAC,
"4-15-2003 / San Diego, CA / RIMAC Arena (Sony TRV340 Digital8) (michael a.) ",AUD,DVD,
"4-17-2003 / Universal City, CA / Universal Amphitheatre - DAT(M) (Sanken COS-11sBP)",AUD #1,FLAC,
"4-17-2003 / Universal City, CA / Universal Amphitheatre - MiniDV(M) (unk)",AMT #1,MKV,
"4-18-2003 / Universal City, CA / Universal Amphitheatre (ed davis)",AUD,FLAC,
"4-21-2003 / San Antonio, TX / Joe & Harry Freeman Coliseum (davetv)",AUD,SHN,
"4-22-2003 / Dallas, TX / Fair Park Coliseum (chris m. master)",AUD  ,FLAC,
"4-29-2003 / Camden, NJ / Tweeter Center - MD(M) (ECM-717) (unk) ",AUD,FLAC,
"4-30-2003 / Fairfax, VA / Patriot Center (SP-TFB-2)",AUD #1,FLAC,
"5-25-2003 / Chicago, IL / UIC Pavilion (live2cd)",AUD,FLAC,
"5-27-2003 / Cleveland, OH / Tower City Amphitheatre - DAT(M) (CSB)",AUD #1,FLAC,
"5-29-2003 / Detroit, MI / Cobo Arena (live2cd)",AUD,FLAC,
"6-1-2003 / St. Louis, MO / The Pageant (SS DSM6)",AUD #1,FLAC,
"6-11-2003 / Sacramento, CA / Memorial Auditorium",AUD #1,FLAC,
"6-13-2003 / Mountain View, CA / Shoreline Amphitheater - Live 105 BFD - MD(x) (unk)",AUD #1,FLAC,
"6-15-2003 / Tucson, AZ / Pima County Fairgrounds (WW1 ""In Concert"" #03-38)",SBD #1,FLAC,
"6-30-2003 / Milwaukee, WI / Marcus Amphitheatre - DAT(M) (Shure SM-98) (ko)",AUD,FLAC,
"6-30-2003 / Milwaukee, WI / Marcus Amphitheatre - DAT(M) (DPA4061) (tapeworm48)",AUD,FLAC,
"7-2-2003 / New York, NY / Hammerstein Ballroom - DAT(M) (CSB) (jeff sebastianelli)",AUD,FLAC,
"7-2-2003 / New York, NY / Hammerstein Ballroom - Mini DV(M)",AMT,DVD,
"7-3-2003 / New York, NY / Hammerstein Ballroom (cps)",AUD,FLAC,
"7-7-2003 / Mississauga, Ontario / Arrow Hall - MD(M) (Sony ECM-DS70P)",AUD #1,FLAC,
"7-9-2003 / Pittsburgh, PA / Chevrolet Amphitheatre at Station Square - MD(M) (SP-BMC-1)",AUD,FLAC,
"7-9-2003 / Pittsburgh, PA / Chevrolet Amphitheatre at Station Square - (AT933s)",AUD,FLAC,
"7-10-2003 / Dayton, OH / Dayton Hara Arena *One By Dayton",AUD,DVD,
"7-15-2003a / Seattle, WA / Fenix End Session (Acoustic)",FM,FLAC,
"7-15-2003 / Seattle, WA / Paramount Theater",AUD #1,FLAC,
"7-16-2003 / Vancouver, BC / Plaza of Nations - MD(M) (Sony MZ-NF810)",AUD #1,FLAC,
"7-19-2003 / Sarnia, ON / Centennial Park - Bayfest - MD(x) (SHS OM-450) (unk)",AUD #1,FLAC,
"7-21-2003 / Sydney, Australia / Hordern Pavilion",AUD,FLAC,
"8-20-2003 / London, UK /  Mean Fiddler (FM Broadcast)",SBD #1,FLAC,
"8-20-2003 / London, UK / Mean Fiddler",FM,FLAC,
"8-23-2003 / Meath, Ireland / Slane Castle",FM,FLAC,
"8-23-2003 / Meath, Ireland / Slane Castle (AT 831b)",AUD #1,FLAC,
"8-29-2003 / Hasselt, Belgium / Pukkelpop Festival (fp.trade)",FM,FLAC,
"8-29-2003 / Kiewit, Belgium / Pukkelpop Festival (steven bladt)",SBD #1a (or b),FLAC,
"8-30-2003 / Weeze, Germany / Terremoto Festival ",SBD #1,FLAC,
"8-30-2003 / Weeze, Germany / Terremoto Festival ",SBD  ,FLAC,
"8-31-2003 / Biddinghuyzen, The Netherlands / Lowlands Festival (indykid)",Webcast,TS,
"8-31-2003 / Biddinghuyzen, The Netherlands / Lowlands Festival (steven bladt)",TV,FLAC,
,,,
[2004],,,
"1-16-2004 / Oakland, CA / Oakland Coliseum Arena (Dave Matthews and Friends)",AUD,FLAC,
"5-1-2004 / Atlanta, GA / Music Midtown (Sony ECM-MS907)",AUD #1,FLAC,
"5-30-2004 / Lisbon, Portugal / Rock in Rio - World Stage (kreative)",TV,FLAC,
"5-30-2004 / Lisbon, Portugal / Rock in Rio - World Stage",PRO #1a,DVD,
"5-30-2004 / Lisbon, Portugal / Rock in Rio - World Stage",PRO #1b,TS,
"8-28-2004 / San Diego, CA / Street Scene Festival (AT831)",AUD,FLAC,
"10-13-2004 / Tempe, AZ / Temple Town Lake (edgar)",AUD,FLAC,
"10-19-2004 / Las Vegas, NV / John Kerry Rally - VHS(1) (Dave Grohl)",AMT #1,MKV,
"10-28-2004 / Madison, WI / Capitol Square (Dave and Chris Shifflet Acoustic) (nate roth)",AUD,FLAC,
"10-28-2004 / Madison, WI / West Washington Ave (Dave Grohl and Chris Shiflet) - DAT(M)",AUD,FLAC,
,,,
[2005],,,
"1-17-2005 / Los Angeles, CA / The Wiltern - Tsunami Benefit (twreck)",AUD,FLAC,
3-29-2005 / Lamacq Live - BBC Radio 1 Broadcast (Selection of Session and Live Tracks),FM,FLAC,
"5-7-2005 / Sunderland, England / Radio 1's One Big Weekend - Penshaw Monument",FM,FLAC,
"5-7-2005 / Sunderland, England / Herrington Country Park - One Big Weekend (zazafromjohor)",FM,FLAC,
"5-11-2005 / Copenhagen, Denmark / Tappehallerne (CSC)",AUD,FLAC,
"5-11-2005 / Copenhagen, Denmark / Tappetiallerne MTV",TV,MKV,
"5-14-2005 / Baltimore, MD / M&T Bank Stadium - DAT(M) (cps)",AUD,FLAC,
"5-21-2005 / Irvine Meadows, CA / KROQ Weenie Roast",SBD,FLAC,
"5-22-2005 / Irvine, CA / Verizon Wireless Amphitheatre - KROQ Weenie Roast (Sony PCM-M1)",AUD,FLAC,
"5-26-2005 / Tokyo, Japan / Studio Dream Maker",PRO #1,DVD,
"5-30-2005 / Sydney, Aus / Fox Studios (Channel V Headquarters) - DVB(S) (jamie lee)",PRO #1,DVD,
"6-1-2005 / Sydney, Australia / The Metro",SBD #1,FLAC,
"6-10-2005 / Turnhout, Belgium / de Warande (unk)",AUD,FLAC,
"6-11/12-2005 / New York, NY / MTV Studios",PRO  ,DVD,
"6-16-2005a / Toronto, Ontario / The Edge 102.1 (5100 PVR)",WEB,FLAC,
"6-16-2005b / Toronto, Ontario / Lee's Palace (PVR)",WEB,FLAC,
"6-29-2005 / Moscow, Russia / Olimiyskiy Sportshall (ECM-717) (orion34)",AUD #1,FLAC,
"6-29-2005 / Moscow, Russia / Olimiyskiy Sportshall (felix)",AUD #2,FLAC,
"6-29-2005 / Moscow, Russia / Olimiyskiy Sportshall - HI8(M)",AMT #1,DVD,
"7-1-2005 / St. Gallen, Switzerland / St. Gallen Open Air Festival",SBD #1,FLAC,
"7-1-2005 / St. Gallen, Switzerland / St. Gallen Open Air Festival (simon kilmore)",PRO #1,FLAC,
"7-2-2005 / Roskilde, Denmark / Orange Stage - Roskilde Festival (CSC) (jtl)",AUD,FLAC,
"7-2-2005 / Roskilde, Denmark / Roskilde Festival (andreas magnusson)",preFM,FLAC,
"7-3-2005 / Werchter, Belgium / Rock Werchter Festival (steven bladt)",FM,FLAC,
"7-5-2005 / Herrington Park, Sunderland / Penshaw Monument - Radio 1's One Big Weekend",FM,FLAC,
"7-7-2005 / Kristiansand, Norway / Bendiksbukta (Quart Festival) (Calaveras)",Silver CD,FLAC,
"7-7-2005 / Kristiansand, Norway / Bendiksbukta (Quart Festival) (norwegian p3)",FM,FLAC,
7-9-2005 / Scotland / T in the Park Broadcasts,FM,FLAC,
7-9-2005 / Scotland / T in the Park Broadcasts - DVB-T,PRO #1a + PRO #1b,DVD,
"7-10-2005 / Naas County Kildare, Ireland / Punchestown Racecourse",SBD,FLAC,
"8-13-2005 / Toronto, Ontario / Molson Amphitheatre (SP-CMC-4)",AUD,FLAC,
"8-16-2005 / Paredes de Coura, Portugal / Paredes de Coura Festival",FM,FLAC,
8-23-2005 / BBC Radio 1 - Jo Whiley - The Live Lounge,FM,FLAC,
"8-24-2005 / London, England / Astoria Theatre",SBD #1,FLAC,
"8-26-2005 / Paris, France / Parc de St. Cloud - Festival Rock en Seine (xwayne)",AUD,FLAC,
"8-26-2005 / Paris, France / Parc de St. Cloud - Festival Rock en Seine - DVB (pierre l.)",PRO,DVD,
"8-27-2005 / Reading, England / Reading Festival (Sharp MT877 MD)",IEM,FLAC,
"9-22-2005 / Los Angeles, CA / The Wiltern Theater (Dave Grohl) (b.a. baracus)",AUD #1,FLAC,
"9-30-2005 / Denver, CO / Pepsi Arena (alex z.)",AUD #1,FLAC,
"10-3-2005 / Rosemont, IL / Allstate Arena (wakesetbtm)",AUD #1,FLAC,
"10-6-2005 / Grand Rapids, MI / Van Andel Arena (richard simms)",AUD,FLAC,
"10-7-2005 / County Kildare, Ireland / Punchestown Racecourse (2FM Ireland)",FM,FLAC,
"10-8-2005 / Cleveland, OH / Wolstein Center - DAT(M) (Gefell M20) (cps)",AUD,FLAC,
"10-10-2005 / Fairfax, VA / Patriot Center (soundcheck) (jlizard)",IEM,FLAC,
"10-11-2005 / Bridgeport, CT / Arena at Harbor Yard",AUD #1,FLAC,
"10-23-2005 / Long Beach, CA / Long Beach Arena (Sony PCM-M1)",AUD,FLAC,
"12-6-2005 / Melbourne, Australia / Rod Laver Arena (whatboutbob)",AUD #1,FLAC,
"12-10-2005 / Cardiff, UK / Millenium Stadium - MD(M) (simon kilmore)",IEM #1,FLAC,
"12-10-2005 / Cardiff, UK / Millenium Stadium",IEM,FLAC,
"12-12-2005 / Glasgow, UK / Scottish Exhibition & Conference Center (AT Mics)",AUD #1,FLAC,
"12-18-2005 / London, UK / Earls Court - HiMD(M) (the taper)",AUD #1,FLAC,
,,,
[2006],,,
"1-26-2006 / Munich, Germany / Zenith (MBHO KA 200)",AUD #1,FLAC,
"1-28-2006 / Paris, France / Le Zenith (PCM-M1)",AUD #1,FLAC,
"1-28-2006 / Paris, France / Zenith - DAT(M) (ECM-MS907) (unk) (2022 transfer) ",AUD,FLAC,
"1-28-2006 / Paris, France / Le Zenith (xwayne)",AUD #2,FLAC,
"6-10-2006 / Isle of Wight, UK / Isle of Wight Festival - Seaclose Park",PRO,DVD,
"6-10-2006 / Isle of Wight, UK / Isle of Wight Festival - Seaclose Park (Sky HD Box)",PRO #2,MKV,
"6-17-2006 / London, UK / Hyde Park - DAT(M) (pierre leroy)",AUD #1,FLAC,
"7-10-2006 / Vancouver, BC / Orpheum Theatre - MD(M) ",AUD #2,FLAC,
"7-13-2006 / Berkeley, CA / Berkeley Community Theatre - MP3(M) (jwb)",AUD #1,FLAC,
"7-14-2006 / Berkeley, CA / Community Theatre (mfd)",AUD,FLAC,
"8-15-2006 / Washington, D.C. / D.A.R. Constitution Hall (kubacheck)",AUD,FLAC,
"8-16-2006 / Upper Darby, PA / The Tower Theatre (DPA 4061)",AUD,FLAC,
"8-22-2006 / Boston, MA / Wang Center (Acoustic Show) (q)",AUD #1,FLAC,
"8-22-2006 / Boston, MA / Wang Center (Acoustic Show) (Sony Ericson Walkman)",AUD,FLAC,
"8-23-2006 / Toronto, Canada / The Hummingbird Centre",AUD,FLAC,
"8-29-2006 / Los Angeles, CA / Pantages Theater (chrisedge)",AUD #1,FLAC,
"8-29-2006 / Los Angeles, CA / Pantages Theater (Sony Digital Camera)",AUD,FLAC,
"10-3-2006 / Sydney, Australia / Sydney Opera House - FM (frucisgod)",SBD #1,FLAC,
"10-4-2006 / Sydney, Australia / Sydney Opera House - FM (frucisgod)",SBD #1,FLAC,
"10-XX-2006 / Sydney, Australia / Sydney Opera House (frucisgod)",FM,FLAC,
"10-14-2006 / Phoenix, AZ / Veterans Memorial Coliseum - AZ State Fair (built-in mic) (unk) ",AUD #1,FLAC,
"10-14-2006 / Phoenix, AZ / Veterans Memorial Coliseum (built-in) (kb) ",AUD #1,FLAC,
"10-21/22-2006 / Mountain View, CA / Shoreline Amphitheatre - Bridge Benefit 20 (Schoeps CCM4)",AUD,FLAC,
"10-29-2006 / St. Paul, MN / Xcel Energy Center (dactylus)",AUD,FLAC,
"11-3-2006 / London, Ontario / John Labatt Centre (krewe chief)",AUD,FLAC,
"11-7-2006 / Toronto, Ontario / ACC (krewe chief)",AUD,FLAC,
"11-8-2006 / Montreal, PQ / Bell Centre (MKE 2002)",AUD #1,FLAC,
"11-8-2006 / Montreal, PQ / Bell Centre (freaked)",AUD,FLAC,
"12-9-2006 / Hollywood, CA / Gibson Amphitheater (KROQ Almost Acoustic Christmas)",PRO #1,FLAC,
"12-9/10-2006 / Universal City, CA / Gibson Amphitheatre (KROQ Almost Acoustic Christmas)",FM,FLAC,
"12-10-2006 / Universal City, CA / Gibson Amphitheatre (KROQ Almost Acoustic Christmas) - FM (mike j.)",SBD #1,FLAC,
,,,
[2007],,,
"6-21-2007 / Tarzana, CA / Paladino's - SD Card (pat diven II)",AMT #1,FLAC,
"6-23-2007 / Los Angeles, CA / Dodger Stadium (SP-CMC-20) (dimeaholic)",AUD #1,FLAC,
"7-7-2007 / London, UK / Wembley Stadium - Live Earth - HDTV",PRO #1b,FLAC,
"8-15-2007 / London, UK / Radio 1: In New Music We Trust - BBC Radio 1 Studios (simon kilmore)",FM,FLAC,
"8-16-2007 / London, UK / BBC Radio One Studios (Rock & Grohl - In New Music We Trust (simon kilmore)",SBD,FLAC,
"8-17-2007 / Brighton, UK / Concorde 2 - FM (simon kilmore)",SBD #1,FLAC,
"8-18-2007 / Chelmsford, UK / Hylands Park - V Festival - DVB-T",PRO #1c,DVD,
"8-18-2007 / Chelmsford, UK / Hylands Park - V Festival",PRO,FLAC,
"8-19-2007 / Stafford, England / Weston Park - V Festival (Shure Cardioid)",AUD,FLAC,
"9-5-2007 / Hollywood, CA / Studio 606 West - Live Room - Master (simon kilmore)",PRO #1,FLAC,
"9-15-2007 / Los Angeles, CA / Home Depot Center - KROQ LA Invasion - WEBCAST (simon kilmore)",PRO #1a,FLAC,
"9-18-2007 / Los Angeles, CA / Nissan Live Sets (Century City) - Master (simon kilmore)",PRO #1a,FLAC,
"9-18-2007 / Los Angeles, CA / Nissan Live Sets (Century City) - Master (simon kilmore)",PRO #1b (44.1k),FLAC,
"9-18-2007 / Los Angeles, CA / Nissan Live Sets (Century City) - Master (simon kilmore)",PRO #1b (48k),FLAC,
"9-24-2007 / Los Angeles, CA / Henry Fonda Music Box Theatre - WAV(M) (wavtaper)",AUD #1,FLAC,
"10-5-2007 / Charlotte, NC / Cricket Arena (DPA 4023) (george wang)",AUD #1,FLAC,
"10-9-2007 / Glen Falls, NY / Glen Falls Civic Center - WAV(M) (sim)",AUD #1,FLAC,
"10-28-2007 / Oberhausen, Germany / Konig-Pilsener Arena - DAT(M) (miki johansen)",AUD #1,FLAC,
"11-12-2007 / Sheffield, UK / Hallam FM Arena - MD(M) (moz)",AUD #1,FLAC,
"11-13-2007 / Cardiff, Wales / Cardiff International Arena (Icom IC-R5 & XFM Cardiff)",MTX,FLAC,
"11-13-2007 / Cardiff, Wales / Cardiff International Arena - WAV(M) (Icom IC-R5) (petrok2000) (vibrioidxire remaster)",IEM,FLAC,
"11-14-2007 / Nottingham, UK / Nottingham Arena - WAV(M) (jack)",AUD #1,FLAC,
"11-17-2007 / London, UK / 02 Arena",AMT #1,DVD,
,,,
[2008],,,
"1-14-2008 / West Hollywood, CA / Troubadour (mike j.)",FM,FLAC,
"1-17-2008 / Orlando, FL / Amway Arena (DPA 4061s) (pjdavep)",AUD #1,FLAC,
"1-20-2008 / Pensacola, FL / Pensacola Civic Center *Bring On the Foo! (STC-11) (hahninator)",AUD,FLAC,
"1-22-2008 / Houston, TX / Toyota Center (prof_peabody)",AUD #2,FLAC,
"1-23-2008 / Dallas, TX / American Airlines Center (SS DSM 6S) (chris milazzo)",AUD #1,FLAC,
"1-25-2008 / Memphis, TN / FedEx Forum (bugg100)",AUD,FLAC,
"1-26-2008 / Nashville, TN / Municipal Auditorium (chris brightwell)",AUD #1,FLAC,
"2-1-2008 / Reno, NV / Reno Events Center - MiniDVD(M) (damian seavers)",AMT #1,FLAC,
"2-2-2008 / Oakland, CA / Oracle Arena (Sony MZ-R70) (franks army)",AUD #1,FLAC,
"2-10-2008 / Los Angeles, CA / Nokia Plaza-Staples Center - HDTV (simon kilmore)",PRO #1,FLAC,
"2-18-2008 / Worcester, MA / DCU Center (Zoom H2)",AUD,FLAC,
"2-19-2008 / New York, NY / Madison Square Garden (richard simms)",PRO #1b,DVD,
"2-24-2008 / Detroit, MI / Joe Lewis Arena (live2cd)",AUD,FLAC,
"2-25-2008 / Rosemont, IL / Allstate Arena (AT831s) (justagirl)",AUD #1,FLAC,
"3-2-2008 / Glendale, AZ / Jobing.com Arena (tim jones)",AUD #1,FLAC,
"3-3-2008 / San Diego, CA / Cox Arena - WAV(M) (chrisedge)",AUD #1,FLAC,
"3-6-2008 / Inglewood, CA / The Forum (Aiwa Clip)",AUD,FLAC,
"3-22-2008 / Toronto, Ontario / ACC (leafsguy/p-man)",AUD,FLAC,
"3-30-2008 / Vancouver, BC / Pacific Coliseum - MD(M) (brad collins)",AUD #1,FLAC,
"4-24-2008 / Adelaide, Australia / Adelaide Entertainment Centre - Hi-MD(M) (jasonrhl)",AUD #1,FLAC,
"5-5-2008 / Auckland, NZ / Vector Arena - WAV(M) (g. bridgeman)",AUD #1,FLAC,
"5-6-2008 / Auckland, NZ / Vector Arena - WAV(M) (g. bridgeman)",AUD #1,FLAC,
"5-31-2008 / Landgraaf, The Netherlands / Pinkpop Festival",TV,DVD,
"6-2-2008 / Manchester, England / City of Manchester Stadium - MD(M)",AUD #1,FLAC,
"6-6-2008 / London, UK / Wembley Arena (Jo Whiley Show) - FM (miki johansen)",FM,FLAC,
"6-7-2008 / London, UK / Wembley Arena (w/ Led Zeppelin) - FM (miki johansen)",SBD #1b,FLAC,
"6-11-2008 / Bergen, Norway / Bergenhus Festning (rideinthel)",AUD,FLAC,
"6-18-2008 / Dusseldorf, Denmark / ISS Dome (patrick horn)",AUD #1,FLAC,
"6-22-2008 / Neuhausen ob Eck, Germany / Southside Festival - WAV(M) (remaster) (retrodude83)",AUD #1,FLAC,
"7-9-2008 / Seattle, WA / Key Arena - WAV(M) (NAK700) (jared houser)",AUD,FLAC,
"7-20-2008 / St. Louis, MO / Scottrade Centre - WAV(M) (shane e. calhoon)",AUD #1,FLAC,
"7-26-2008 / Pittsburgh, PA / Peterson Events Center - WAV(M) (josh)",AUD #1,FLAC,
"7-29-2008 / East Rutherford, NJ / Continental Airlines Arena (CA-14)",AUD,FLAC,
"8-9-2008 / Baltimore, MD / Pimlico Racetrack (travelinbeat)",AUD,FLAC,
"8-29-2008 / Milwaukee, WI / Harley Roadhouse at the Lakefront - Veteran's Park (CA-11)",AUD,FLAC,
"9-9-2008 / Morrison, CO / Red Rocks Amphitheater (SP-CMC-04)",AUD #1,FLAC,
"9-25-2008 / Las Vegas, NV / The Joint at Hard Rock Hotel - WAV(M) (wavtaper)",AUD #1,FLAC,
"9-28-2008 / Austin, TX / Austin City Limits (Broadcasted on PBS Soundstate 1-17-2009)",TV,FLAC,
"9-29-2008 / Austin, TX / Austin City Limits",TV,DVD,
"10-26-2008 / Pomona, CA / Pomona Fairplex (brad collins)",AUD #1,FLAC,
"10-26-2008 / Pomona, CA / Pomona Fairplex - Master (simon kilmore)",AMT #1 (44.1k),FLAC,
"10-26-2008 / Pomona, CA / Pomona Fairplex - Master (simon kilmore)",AMT #1 (48k),FLAC,
"10-29-2008 / Hollywood, CA / The Avalon (Secret Show) (Aiwa) (brad collins)",AUD #1,FLAC,
"11-3-2008 / San Francisco, CA / Moscone Center - Dreamforce Global Gala - Master",PRO #1 ,FLAC,
"11-3-2008 / San Francisco, CA / Moscone Center - Dreamforce Global Gala",PRO #1,FLV,
"12-3-2008 / Los Angeles, CA / NOKIA Theatre L.A. LIVE (Grammy Nomination Concert)",TV,FLAC,
,,,
[2009],,,
"8-9-2009 / Baltimore, MD / Pimlico Racetrack (travelinbeat)",AUD,FLAC,
"11-4-2009 / Berlin, Germany / Postbahnhof (vortex242)",AUD,FLAC,
11-27-2009 / VH1 Storytellers - Master (simon kilmore),TV,DVD,
,,,
[2010],,,
"2-16-2010 / Las Vegas, NV / Rain (AKG CK91) (cps)",AUD,FLAC,
,,,
[2011],,,
"2-7-2011 / Los Angeles, CA / The Roxy (West Hollywood) (rob c.)",AUD,FLAC,
"2-28-2011 / Cologne, DE / Gloria Theatre - 1Live Radio Konzert (patrick h.)",PRO #1,FLAC,
"3-24-2011 / Sydney, Australia / Goat Island / Wasting Light on Sydney Harbour (Triple M FM)",FM,FLAC,
"3-24-2011 / Sydney, Australia / Goat Island / Wasting Light on Sydney Harbour",PRO #1c,DVD,
"4-5-2011 / Los Angeles, CA / Studio 606 (Wasting Light Live)",PRO #1,MP4,
"4-12-2011 / New York, NY / Ed Sullivan Theater (Live with Letterman) - Webstream (simon kilmore)",PRO #1a,DVD,
"4-12-2011 / New York, NY / Ed Sullivan Theater (Live with Letterman)",FM,FLAC,
"5-14-2011 / Carlisle, UK / Carlisle Airport (Radio 1's Big Weekend) - FM (simon kilmore)",SBD #1,FLAC,
"5-14-2011 / Carlisle, UK / Carlisle Airport (Radio 1's Big Weekend)",TV,TS,
"5-17-2011 / Tulsa, OK / BOK Center (AT829)",AUD,FLAC,
"5-21-2011 / Gulf Shores, AL / Hangout Festival (kooterb)",AUD,FLAC,
"5-27-2011 / George, WA / Sasquatch! Music Festival",FM,FLAC,
"6-9-2011 / Grindelwald, Switzerland / Greenfield Open Air Festival",FM,FLAC,
"6-9-2011 / Grindelwald, Switzerland / Greenfield Open Air Festival (DRS3)",FM #2,FLAC,
"6-9-2011 / Grindelwald, Switzerland / Greenfield Open Air Festival (DRS Virus)",FM #3,FLAC,
"6-11-2011 / Isle of Wight, England / Isle of Wight Festival (Icom IC-R5 & AT838)",MTX,FLAC,
"6-13-2011 / Landgraaf, The Netherlands / Pinkpop Festival (3FM)",FM,FLAC,
"6-13-2011 / Landgraaf, The Netherlands / Pinkpop Festival",PRO,DVD,
"6-14-2011 / Cologne, Germany / TV Total (bobfather)",PRO,DVD,
"6-21-2011 / Copenhagen, Denmark / Refshaleøen - MD(M) (glenn nielsen)",AUD #1,FLAC,
"7-9-2011 / Naas, Ireland / Punchestown Racecourse - Master (simon kilmore)",PRO,FLAC,
"7-11-2011 / London, UK / Roundhouse - iTunes Festival",PRO,DVD,
"7-11-2011 / London, UK / Roundhouse - iTunes Festival",AUD,FLAC,
"8-6-2011 / Chicago, IL / The Metro (tapeworm48)",AUD,FLAC 24,
"8-7-2011 / Chicago, IL / Grant Park - Lollapalooza",PRO #1a & 1b,DVD,
"8-9-2011 / Toronto, Canada / Air Canada Centre (leifsguy/p-man)",AUD,FLAC,
"8-20-2011 / St. Polten, Austria / Frequency Festival (h0mer)",AUD,FLAC,
"8-21-2011 / Grbposna, Germany / Highland Festival (aepepleksi)",AUD,FLAC,
"8-26-2011 / Domaine Royal de St. Cloud, France / Rock En Seine Festival - Grande Scene (nono)",FM,FLAC,
"8-26-2011 / Domaine Royal de St. Cloud, France / Rock En Seine Festival - Grande Scene (sp@ceh)",AUD,FLAC,
"9-8-2011 / Burbank, CA / Conan Show",TV,TS,
"9-14-2011 / St. Paul, MN / Xcel Energy Center (pjp)",AUD,FLAC,
"9-16-2011 / Kansas City, MO / Sprint Center",AUD,FLAC,
"9-17-2011 / Saint Louis, MO / Scottrade Center (DPA 4061s)",AUD,FLAC,
"9-19-2011 / Auburn Hills, MI / The Palace of Auburn Hills (richard simms)",AUD,FLAC,
"9-22-2011 / Columbus, OH / Nationwide Arena (CA-14) (live2cd)",AUD,FLAC,
"9-27-2011 / New York, NY / Rockefeller Center Studio 6B / Late Night with Jimmy Fallon",TV,TS,
"10-16-2011 / Phoenix, AZ / US Airways Arena (SP-CMC-25) (robert mullen)",AUD,FLAC,
"10-17-2011 / San Diego, CA / Viejas Arena (chrisedge)",AUD,FLAC,
"10-19-2011 / Oakland, CA / Oracle Arena (Schoeps CCM4s)",AUD,FLAC,
"10-19-2011 / Oakland, CA / Oracle Arena (Schoeps CMC34)",AUD #2,FLAC,
"10-23-2011 / Mountain View, CA / Shoreline Amphitheater (25th Bridge School Benefit) (Sony ECM-121)",AUD,FLAC,
"11-8-2011 / Charlotte, NC / Time Warner Arena (univonc)",AUD,FLAC,
"11-15-2011 / New York, NY / Joan Jett with Foo Fighters",TV,TS,
"11-16-2011 / Boston, MA / TD Garden (SP-CMC-2)",AUD,FLAC,
"12-2-2011 / Melbourne, Australia / AAMI Park (tb master 038)",AUD,FLAC,
"12-8-2011 / Sydney, AUS / Sydney Football Stadium (Zoom H4) (unk)",AUD,FLAC,
,,,
[2012],,,
"2-12-2012 / Los Angeles, CA / Staples Center - The 54th Grammy Awards",TV,TS,
"4-1-2012 / Santiago, Chile / Parque O'Higgins - Lollapalooza (mk360) ",SBD #1,FLAC,
"4-1-2012 / Santiago, Chile/- Parque O'Higgin - Lollapalooza (unk)",PRO,DVD,
"4-7-2012 / Sau Paulo, Brazil / Jockey Club - Lollapalooza",TV,DVD,
"4-12-2012 / Santiago, Chile / Parque O'Higgins (mk360)",FM,FLAC,
"5-6-2012 / New Orleans, LA / Fair Grounds Racecourse - New Orleans Jazz & Heritage Festival - Webstream (simon kilmore)",PRO #1,MKV  ,
"6-28-2012 / Milwaukee, WI / Marcus Amphitheater (CA-14s)",AUD,FLAC,
"8-10-2012 / San Francisco, CA / Golden Gate Park - Outside Lands Festival (SP-CMC-8)",AUD #1,FLAC,
"8-10-2012 / San Francisco, CA / Golden Gate Park - Outside Lands Festival - DAT(M) (Schoeps)",AUD #2,FLAC,
"8-15-2012 / Prague, Czech Republic / 02 Arena - WAV(M) (martin skalaplzen)",AUD #1,FLAC,
"8-18-2012 / Kiewit, Belgium / Kempische Steenweg (Pukkelpop Festival)",PRO #1a,MKV,
"8-18-2012 / Kiewit, Belgium / Kempische Steenweg (Pukkelpop Festival)",PRO #1b,MKV,
"8-18-2012 / Kiewit, Belgium / Kempische Steenweg (Pukkelpop Festival) - FM (steven bladt)",SBD #1,FLAC,
8-21-2012 / Belfast / Boucher Park Playing Fields (Tennants Vital 2012) (johnky),AUD,FLAC,
"8-26-2012 / Reading, UK / Little John's Farm - Reading Festival",PRO #1a,DVD,
"8-26-2012 / Reading, UK / Little John's Farm - Reading Festival - DVB-S (simon kilmore)",PRO #1,FLAC,
"9-5-2012 / Charlotte, NC / The Fillmore (Democratic National Convention - Rock the Vote) (rerun)",IEM,FLAC,
"9-5-2012 / Charlotte, NC / The Fillmore (Democratic National Convention - Rock the Vote) (kb remaster)",IEM #1,FLAC,
"9-6-2012 / Charlotte, NC / Time Warner Cable Arena - 2012 Democratic Nat. Convention",PRO #1 ,TS,
