Foo Fighters,Versions,File Type,
"7-3-1996 / Sopot, Poland / Sopot Rock & Pop Festival",TV,DVD,
"7-4-1996 / Kristiansand, Norway / Quart Festival",FM,FLAC,
"7-4-1996 / Kristiansand, Norway / Quart Festival - 1st gen (loughney transfer)",FM,FLAC,
"7-5-1996 / Torhout, Belgium / Torhout Festival - ANA(M) (Sony WM-D3) (loughney transfer)",AUD,FLAC,
"7-6-1996 / Werchter, Belgium / Rock Werchter",AUD,FLAC,
"7-9-1996 / Ele de Re, France / La Maline",SBD #1b,FLAC,
"7-12-1996 / Dublin, Ireland / The Point - Feile Festival (RTE 2FM)",FM,FLAC,
"7-12-1996 / Dublin, Ireland / The Point - Feile Festival",AUD,FLAC,
"7-12-1996 / Dublin, Ireland / Feile Fest - DAT(M) (loughney transfer) ",AUD,FLAC,
"7-13-1996 / Hamilton, UK / Strathclyde Country Park (T In The Park Festival)",AUD #1,FLAC,
"7-13-1996 / Lanarkshire, Scotland / Strathclyde Country Park - T in the Park - DAT(M) (loughney transfer)",AUD,FLAC,
"7-16-1996 / Vienne, France / Vienne Antique (zuma66 master)",AUD,FLAC,
"7-19-1996 / Long Marston, UK / Long Marston Airfield (Phoenix Festival) (DVB-S)",PRO #1c,FLAC,
"7-19-1996 / Stratford-upon-Avon, UK / Long Marston Airfield - Phoenix Fest - DAT(M) (loughney transfer)",SBD,FLAC,
,,,
[1997],,,
"4-1-1997 / Tokyo, Japan / Unknown Location (FM)",SBD #1,FLAC,
"4-2-1997 / Tokyo, Japan / EMI Studios - DAT(2) (TV)",PRO #1b,FLAC,
"5-2-1997 / Tokyo, Japan / EMI Studios (loughney transfer)",TV,FLAC,
"5-2-1997 / Tokyo, Japan / Live on the Road (loughney transfer)",TV,FLAC,
"5-9-1997 / Paris, France / Canal+ Channel 4 Studios",TV,FLAC,
"5-9-1997 / Cannes, France / Nulle Part Ailleurs - VHS(1) (loughney transfer)",TV,FLAC,
"5-16-1997 / Rockville, MD / Tower Records Parking Lot",AUD #1,FLAC,
"5-22-1997 / Leeds, England / The Town and Country Club (Panasonic WM-55)",AUD #1,FLAC,
"5-24-1997 / Glasgow, Scotland / Barrowlands",AUD,FLAC,
"5-25-1997 / Manchester, UK / Apollo *Long Live Grunge (CDX 1596410)",SBD,FLAC,
"5-25-1997 / Manchester, UK / Apollo *Long Live Grunge (Radio 1FM)",FM,FLAC,
"5-25-1997a / London, UK / Radio 1 BBC - Steve Lamacq Interview with Dave Grohl (loughney transfer)",FM,FLAC,
"5-25-1997 / Manchester, UK / Apollo - 1st gen (loughney transfer)",FM,FLAC,
"5-25-1997 / Manchester, UK / Apollo Theatre - DAT(2) (FM)",AUD #3,FLAC,
