Metallica,Versions,File Type,
"7-16-1986 / Fort Wayne, IN / Fort Wayne Coliseum (ranskal transfer)",AUD,FLAC,
"7-21-1986 / Clarkston, MI / Pine Knob Music Theatre (Sony D6) (dave _jr)",AUD,FLAC,
"7-29-1986 / Chattanooga, TN / UTC Arena (Live Metallica Vault)",SBD,FLAC,Official Bootleg
"7-30-1986 / Knoxville, TN / Civic Coliseum (the govner)",AUD,FLAC,
"8-1-1986 / Charleston, WV / Civic Center *Fuck (Vinyl Rip)",SBD,FLAC,
"8-1-1986 / Charleston, WV / Civic Center (Live Metallica Vault)",SBD,FLAC,Official Bootleg
"8-2-1986 / Columbia, MD / Meriweather Post Pavilion (inc)",AUD,FLAC,
"9-12-1986 / Edinburgh, Scotland / The Playhouse",AUD,FLAC,
"9-14-1986 / Dublin, Ireland / SFX Hall",AUD,FLAC,
"9-17-1986 / Manchester, England / Apollo",Silver CD,FLAC,
"9-18-1986 / Sheffield, England / City Hall *Gig Addiction (remaster)",AUD,FLAC,
"9-18-1986 / Sheffield, UK / City Hall (Sony WMD6) (nelly-duke) ",AUD,FLAC,
"9-20-1986 / Birmingham, UK / The Odeon",AUD,FLAC,
"9-21-1986 / London, England / Hammersmith Odeon (Live Metallica Vault)",SBD,FLAC,Official Bootleg
"9-21-1986 / London, England / Hammersmith Odeon",AUD,FLAC,
"9-24-1986 / Lund, Sweden / Olympen - ANA(M)",AUD,FLAC,
"9-25-1986 / Lillestrom, Norway / Skedsmohallen (oh RIP)",AUD,FLAC,
"9-26-1986 / Stockholm, Sweden / Solnahallen (1st gen) (per-erik)",AUD,FLAC,
"9-26-1986 / Stockholm, Sweden / Solnahallen (Cliff's last show)",SBD,FLAC,
"11-8-1986 / Reseda, CA / The Country Club (Jason's first show)",AUD,FLAC,
"11-9-1986 / Anaheim, CA / Jezebels",AUD,FLAC,
"11-9-1986 / Anaheim, CA / Jezebels (Version 3)",AUD,FLAC,
"11-15-1986 / Tokyo, Japan / Shibuya Kokaido",AUD,FLAC,
"11-18-1986 / Osaka, Japan / Festival Hall",AUD,FLAC,
"11-20-1986 / Tokyo, Japan / Sun Plaza Hotel *Beyond the Gravestone",Silver CD,FLAC,
"11-28-1986 / Poughkeepsie, NY / Mid-Hudson Civic Center *The Freak's Not Here",AUD,FLAC,
"11-28-1986 / Poughkeepsie, NY / Mid-Hudson Civic Center (Source 2 - }{eywood) (koondog)",AUD,FLAC 24,
"11-28-1986 / Poughkeepsie, NY / Mid-Hudson Civic Center (LiveMetallica)",SBD,FLAC HD,Official Bootleg
"12-1-1986 / New York, NY / Felt Forum - ANA(M)",AUD,FLAC,
"12-1-1986 / New York, NY / The Felt Forum *Assassin (Vinyl-sourced)",AUD,FLAC,
"12-5-1986 / Quebec City, Canada / Pavillon de la Jeunesse",AUD,FLAC,
"12-13-1986 / Winnipeg, Manitoba / Payhouse Theatre *The Metal Masters",Silver CD,FLAC,
"12-20-1986 / Seattle, WA / Seattle Arena",AUD,FLAC,
,,,
[1987],,,
"1-9-1987 / Holstebro, Denmark / Holstebrohalle",AUD,FLAC,
"1-14-1987 / Lyon, France / La Bourse du Travail",AUD,FLAC,
"1-17-1987 / Barcelona, Spain / Sports Center",AUD,FLAC,
"1-18-1987 / Madrid, Spain / Real Madrid Pabellon",AUD,FLAC,
"1-20-1987 / Nice, France / Theatre de Verdure",AUD,FLAC,
"1-21-1987 / Milano, IT / Palatrussardi - ANA(x) (unk) ",AUD,FLAC,
"1-25-1987 / Essen, Germany / Grughalle",AUD,FLAC,
"1-27-1987 / Hamburg, Germany / Markthalle (1st night) *Masters of Evil (LP)",AUD,FLAC,
"1-29-1987 / Offenbach, Germany / Stadthalle",AUD,FLAC,
"1-30-1987 / Ludwigshafen, Germany / Friedrich-Ebert-Halle",AUD,FLAC,
"2-5-1987 / Paris, France / Le Zenith",SBD,FLAC,
