Stone Temple Pilots,Versions,File Type,
"12-13-2025 / Asheville, NC / ExploreAsheville.com Arena (Schoeps CCM4Vs) (z-man)",AUD,FLAC,
,,,
[MISC],,,
,,,
Stone Temple Pilots - Brand New Live {VR 50011} (1993),Silver CD,FLAC,
Stone Temple Pilots - Live USA {LSD CD 152.099} (1993) ,Silver CD,FLAC,
Stone Temple Pilots - The Centrum Worcester 1994 (Live) {8717662592683} (1994) ,,FLAC,
Stone Temple Pilots - Unplugged (1994),,FLAC,
Stone Temple Pilots - Unplugged & More (CH004) (1995),Silver CD,FLAC,
Stone Temple Pilots - As The Dawn Fades (Live 1994) (2020),,FLAC,
,,,
[OFFICIAL RELEASES],,,
Stone Temple Pilots - Core (24/96),,FLAC HD,
Stone Temple Pilots - Core (Super Deluxe Edition) (24/96),,FLAC HD,
Stone Temple Pilots - Purple (2019 Remaster) (Super Deluxe 2019) (24/96),,FLAC HD,
Stone Temple Pilots - Alive in the Windy City (24-48) ,,FLAC HD,
,,,
,,,
[SINGLES],,,
Stone Temple Pilots - Plush {7567-85751-2} (1993),,FLAC,
Stone Temple Pilots - Interstate Love Song {Atlantic 7567-85614-2} (1994),,FLAC,
Stone Temple Pilots - Big Bang Baby {7567-85516-2} (1996),,FLAC,
