Red Hot Chili Peppers,Versions,File Type,
"11-14-2011 / Manchester, UK / Manchester Arena",SBD,FLAC,Official Bootleg
"11-14-2011 / Manchester, England / MEN Arena (SP-CMC-8) (unk)",AUD #1,FLAC,
"11-14-2011 / Manchester, England / MEN Arena (Zoom H4n) (funkymonk)",AUD #2,FLAC,
"11-15-2011 / Manchester, UK / Manchester Arena",SBD,FLAC,Official Bootleg
"11-15-2011 / Manchester, England / MEN Arena (Zoom H4n) (funkymonk)",AUD #1,FLAC,
"11-17-2011 / Sheffield, England / Motorpoint Arena",SBD,FLAC,Official Bootleg
"11-17-2011 / Sheffield, England / Motorpoint Arena (SP-CMC-22) (moz666)",AUD #1,FLAC,
"11-19-2011 / Birmingham, England / LG Arena",SBD,FLAC,Official Bootleg
"11-19-2011 / Birmingham, England / LG Arena )SP-PSM-6) (danz)",AUD #1,FLAC,
"11-20-2011 / Birmingham, UK / LG Arena",SBD,FLAC,Official Bootleg
"12-4-2011 / Berlin, DEU / O2 Arena",SBD,FLAC,Official Bootleg
"12-5-2011 / Munich, DEU / Olympiahalle",SBD,FLAC,Official Bootleg
"12-7-2011 / Vienna, AUT / Stadthalle",SBD,FLAC,Official Bootleg
"12-10-2011 / Torino, ITA / Palaolimpico",SBD,FLAC,Official Bootleg
"12-11-2011 / Milan, ITA / Forum",SBD,FLAC,Official Bootleg
"12-13-2011 / Zurich, CH / Hallenstadion",SBD,FLAC,Official Bootleg
"12-15-2011 / Barcelona, ESP / Palau Sant Jordi",SBD,FLAC,Official Bootleg
"12-17-2011 / Madrid, ESP / Palacio de Deportes de la Comunidad",SBD,FLAC,Official Bootleg
"12-19-2011 / Paris, France / La Cigale (unk)",AUD #1,FLAC,
,,,
[2012],,,
"3-29-2012 / Tampa, FL / Tampa Bay Times Forum",SBD,FLAC,Official Bootleg
"3-31-2012 / Orlando, FL / Amway Center",SBD,FLAC,Official Bootleg
"4-2-2012 / Sunrise, FL / BankAtlantic Center",SBD,FLAC,Official Bootleg
"4-4-2012 / Raleigh, NC / RBC Center",SBD,FLAC,Official Bootleg
"4-6-2012 / Charlotte, NC / Time Warner Cable Arena",SBD,FLAC,Official Bootleg
"4-6-2012 / Charlotte, NC / Time Warner Cable Arena (AKG CK91) (unk)",AUD #1,FLAC,
"4-7-2012 / Columbia, SC / Colonial Life Arena",SBD,FLAC,Official Bootleg
"4-9-2012 / Greensboro, NC / Greensboro Coliseum Complex",SBD,FLAC,Official Bootleg
"4-10-2012 / Duluth, GA / The Arena at Gwinnett Center",SBD,FLAC,Official Bootleg
"4-12-2012 / Memphis, TN / FedEx Forum",SBD,FLAC,Official Bootleg
"4-27-2012 / Toronto, Ontario / Air Canada Centre",SBD,FLAC,Official Bootleg
"4-27-2012 / Toronto, Ontario / Air Canada Centre - WAV(M) (Zoom H2) (unk)",AUD #1,FLAC,
"4-28-2012 / Toronto, Ontario / Air Canada Centre",SBD,FLAC,Official Bootleg
"4-28-2012 / Toronto, Ontario / Air Canada Centre - WAV(M) (Zoom H2) (unk)",AUD #1,FLAC,
"4-30-2012 / Ottawa, Ontario / Scotiabank Place",SBD,FLAC,Official Bootleg
"5-2-2012 / Montreal, QC / Bell Centre",SBD,FLAC,Official Bootleg
"5-4-2012 / Newark, NJ / Prudential Center",SBD,FLAC,Official Bootleg
"5-5-2012 / Newark, NJ / Prudential Center",SBD,FLAC,Official Bootleg
"5-7-2012 / Boston, MA / TD Garden",SBD,FLAC,Official Bootleg
"5-10-2012 / Washington, D.C. / Verizon Center",SBD,FLAC,Official Bootleg
"5-11-2012 / Philadelphia, PA / Wells Fargo Center",SBD,FLAC,Official Bootleg
"5-19-2012 / Gulf Shores, AL / Hangout Music Fest",SBD,FLAC,Official Bootleg
"5-25-2012 / St. Louis, MO / Scottrade Center",SBD,FLAC,Official Bootleg
"5-26-2012 / Grand Rapids, MI / Van Andel Arena",SBD,FLAC,Official Bootleg
"5-28-2012 / Rosemont, IL / Allstate Arena",SBD,FLAC,Official Bootleg
"5-30-2012 / Pittsburgh, PA / Consol Energy Center",SBD,FLAC,Official Bootleg
"6-1-2012 / Detroit, MI / Joe Louis Arena",SBD,FLAC,Official Bootleg
"6-2-2012 / Cleveland, OH / Quicken Loans Arena",SBD,FLAC,Official Bootleg
"6-4-2012 / Columbus, OH / Value City Arena",SBD,FLAC,Official Bootleg
"6-6-2012 / Cincinnati, OH / U.S. Bank Arena",SBD,FLAC,Official Bootleg
"6-7-2012 / Louisville, KY / KFC Yum Center",SBD,FLAC,Official Bootleg
"6-9-2012 / Manchester, TN / Bonnaroo Music & Arts Festival",SBD,FLAC,Official Bootleg
"6-9-2012 / Manchester, TN / Bonnaroo Music & Arts Festival - What Stage (Avantone CK-1) (willsfc)",AUD #1,FLAC,
"6-23-2012 / Stevenage Herts, UK / Knebworth Park",SBD,FLAC,Official Bootleg
"6-24-2012 / Sunderland, UK / Stadium of Light",SBD,FLAC,Official Bootleg
"6-26-2012 / Dublin, Ireland / Croke Park",SBD,FLAC,Official Bootleg
"6-28-2012 / Nijmegen, Holland / Goffert Park",SBD,FLAC,Official Bootleg
"6-30-2012 / Paris, France / Stade de France",SBD,FLAC,Official Bootleg
"7-1-2012 / Werchter, Belgium / Rock Werchter",SBD,FLAC,Official Bootleg
"7-3-2012 / Bern, Switzerland / Stade de Suisse",SBD,FLAC,Official Bootleg
"7-5-2012 / Milan, Italy / Heineken Jammin' Festival",SBD,FLAC,Official Bootleg
"7-7-2012 / Madrid, ES / Rock in Rio Madrid",SBD,FLAC,Official Bootleg
"7-20-2012 / St. Petersburg, RU / Petrovsky Stadium",SBD,FLAC,Official Bootleg
"7-22-2012 / Moscow, Russia / Luzniky Stadium",SBD,FLAC,Official Bootleg
"7-25-2012 / Kiev, UA / Olympisky Stadium",SBD,FLAC,Official Bootleg
"7-27-2012 / Warsaw, Poland / Bemowo Airport",SBD,FLAC,Official Bootleg
"7-27-2012 / Warsaw, Poland / Lotnisko Bemowo (Zoom H4n) (funky)",AUD #1,FLAC,
"7-28-2012 / Kaunas, Lithuania / Kaunas Arena",SBD,FLAC,Official Bootleg
"7-30-2012 / Tallinn, EE / Tallinn Song Festival Grounds",SBD,FLAC,Official Bootleg
"8-1-2012 / Tampere, FIN / Ratinan Stadium ",SBD,FLAC,Official Bootleg
"8-4-2012 / Chicago, IL / Grant Park - Lollapalooza",SBD,FLAC,Official Bootleg
"8-11-2012 / Los Angeles, CA / Staples Center",SBD,FLAC,Official Bootleg
"8-11-2012 / Los Angeles, CA / Staples Center",SBD,FLAC,Official Bootleg
"8-14-2012 / Oakland, CA / Oracle Arena ",SBD,FLAC,Official Bootleg
"8-14-2012 / Oakland, CA / Oracle Arena (SS-DSM6s) (unk)",AUD #1,FLAC,
"8-15-2012 / Oakland, CA / Oracle Arena ",SBD,FLAC,Official Bootleg
"8-15-2012 / Oakland, CA / Oracle Arena (SS-DSM6s) (unk)",AUD #1,FLAC,
"8-25-2012 / Gelsenkirchen, DE / Rock im Pott ",SBD,FLAC,Official Bootleg
"8-25-2012 / Gelsenkirchen, Germany / Rock im Pott - Veltins Arena (SP-CMC-8) (a_doubt)",AUD #1,FLAC,
"8-27-2012 / Prague, CZ / Synot Tip Arena",SBD,FLAC,Official Bootleg
"8-29-2012 / Zagreb, HR / Hippodrome",SBD,FLAC,Official Bootleg
"8-30-2012 / Bucharest, ROU / National Stadium ",SBD,FLAC,Official Bootleg
"9-1-2012 / Sofia, BGR / Georgi Asparuhov Stadium",SBD,FLAC,Official Bootleg
"9-4-2012 / Athens, GRC / O.A.K.A. Olympic Stadium ",SBD,FLAC,Official Bootleg
"9-4-2012 / Athens, Greece / O.A.K.A. (unk) (geopsaro)",AUD #1,FLAC,
"9-6-2012 / Beirut, Lebanon / The Waterfront",SBD,FLAC,Official Bootleg
"9-8-2012 / Istanbul, Turkey / Santralistanbul",SBD,FLAC,Official Bootleg
"9-10-2012 / Tel Aviv, Israel / Hayarkon",SBD,FLAC,Official Bootleg
"9-23-2012 / San Diego, CA / Valley View Casino Center ",SBD,FLAC,Official Bootleg
"9-25-2012 / Glendale, AZ / Jobing.com Arena",SBD,FLAC,Official Bootleg
"9-27-2012 / Denver, CO / Pepsi Center ",SBD,FLAC,Official Bootleg
"9-29-2012 / San Antonio, TX / ATT Center ",SBD,FLAC,Official Bootleg
"10-2-2012 / Dallas, TX / American Airlines Center",SBD,FLAC,Official Bootleg
"10-4-2012 / New Orleans, LA / New Orleans Arena",SBD,FLAC,Official Bootleg
"10-14-2012 / Austin, TX / Austin City Limits Music Festival ",SBD,FLAC,Official Bootleg
"10-20-2012 / Houston, TX / Toyota Center ",SBD,FLAC,Official Bootleg
"10-22-2012 / Oklahoma City, OK / Chesapeake Energy Arena",SBD,FLAC,Official Bootleg
"10-23-2012 / Tulsa, OK / BOK Arena",SBD,FLAC,Official Bootleg
"10-25-2012 / Little Rock, AR / Verizon Arena",SBD,FLAC,Official Bootleg
"10-27-2012 / Kansas City, MO / Sprint Center",SBD,FLAC,Official Bootleg
"10-28-2012 / Omaha, NE / Centurylink Center",SBD,FLAC,Official Bootleg
"10-30-2012 / Minneapolis, MN / Target Center",SBD,FLAC,Official Bootleg
"11-1-2012 / Milwaukee, WI / Bradley Center",SBD,FLAC,Official Bootleg
"11-14-2012 / Portland, OR /Rose Garden",SBD,FLAC,Official Bootleg
"11-15-2012 / Seattle, WA / Key Arena",SBD,FLAC,Official Bootleg
"11-15-2012 / Seattle, WA / Key Arena (Zoom H1) (unk)",AUD #1,FLAC,
"11-17-2012 / Vancouver, BC / Rogers Arena",SBD,FLAC,Official Bootleg
"11-17-2012 / Vancouver, BC / Rogers Arena (CA-14 + CA-11) (seth meister)",MIX,FLAC 24,
"11-19-2012 / Calgary, AB / Scotiabank Saddledome",SBD,FLAC,Official Bootleg
"11-21-2012 / Edmonton, AB / Rexall Place ",SBD,FLAC,Official Bootleg
"11-22-2012 / Edmonton, AB / Rexall Place",SBD,FLAC,Official Bootleg
"11-24-2012 / Saskatoon, SK / Credit Union Center",SBD,FLAC,Official Bootleg
"11-26-2012 / Winnipeg, MB / MTS Centre",SBD,FLAC,Official Bootleg
,,,
[2013],,,
"1-14-2013 / Auckland, NZ / Vector Arena",SBD,FLAC,Official Bootleg
"1-15-2013 / Auckland, NZ / Vector Arena",SBD,FLAC,Official Bootleg
"1-18-2013 / Sydney, AU / Showground (Big Day Out)",SBD,FLAC,Official Bootleg
"1-18-2013 / Sydney, Australia / Sydney Showground - Big Day Out",SBD #2,FLAC,
"1-20-2013 / Gold Coast, AU / Parklands (Big Day Out)",SBD,FLAC,Official Bootleg
"1-25-2013 / Adelaide, AU / Showground (Big Day Out)",SBD,FLAC,Official Bootleg
"1-25-2013 / Adelaide, Australia / Showground Hi-MD(M) (AT831s) (jasonrhl)",AUD,FLAC,
"1-26-2013 / Melbourne, AU / Flemington Racecourse (Big Day Out)",SBD,FLAC,Official Bootleg
"1-28-2013 / Perth, AU / Claremon Showgrounds (Big Day Out)",SBD,FLAC,Official Bootleg
"2-2-2013 / Johannesburg, South Africa / The Soccer City Complex FNB Stadium",SBD  ,FLAC,Official Bootleg
"2-5-2013 / Cape Town, South Africa / Cape Town Stadium",SBD,FLAC,Official Bootleg
"3-3-2013 / Guadalajara, MX / Arena V.F.G.",SBD,FLAC,Official Bootleg
"3-5-2013 / Mexico City, MX / Palacio de los Deportes",SBD,FLAC,Official Bootleg
"3-6-2013 / Mexico City, MX / Palacio de los Deportes",SBD,FLAC,Official Bootleg
"3-9-2013 / Guatemala City, GT / Tigo Festival (Estadio Mateo Flores)",SBD,FLAC,Official Bootleg
"4-14-2013 / Indio, CA / Coachella Festival",SBD,FLAC,Official Bootleg
"4-14-2013 / Indio, CA / Empire Polo Grounds - Coachella Festival (Webstream)",PRO,DVD,
"4-21-2013 / Indio, CA / Coachella Festival",SBD,FLAC,Official Bootleg
"6-8-2013 / Detroit, MI / Orion Music + More",SBD,FLAC,Official Bootleg
"6-8-2013 / Detroit, MI / Belle Isle - Orion Stage (Schoeps MK41s) (darktrain)",AUD,FLAC,
"6-21-2013 / Dover, DE / FireFly Festival",SBD,FLAC,Official Bootleg
"8-5-2013 / Anchorage, AK / Sullivan Arena",SBD,FLAC,Official Bootleg
"8-5-2013 / Anchorage, AK / Sullivan Arena - WAV(M) (SS-DSM 6P) (ballsdeep)",AUD #1,FLAC,
"8-6-2013 / Anchorage, AK / Sullivan Arena",SBD,FLAC,Official Bootleg
"8-6-2013 / Anchorage, AK / Sullivan Arena  - WAV(M) (SS-DSM 6P) (ballsdeep)",AUD #1,FLAC,
"8-11-2013 / San Francisco, CA / Outside Lands Festival",SBD,FLAC,Official Bootleg
"8-11-2013 / San Francisco, CA / Outside Lands Festival - WAV(M) (Zoom Q3HD) (pepper dion)",AUD #1,FLAC,
"9-21-2013 / Atlanta, GA / Music Midtown",SBD,FLAC,Official Bootleg
"11-2-2013 / Belo Horizonte, Brazil / Circuito Banco do Brasil Festival",SBD,FLAC,Official Bootleg
"11-5-2013 / Asuncion, PY / Jockey Club del Paraguay",SBD,FLAC,Official Bootleg
"11-7-2013 / Sao Paulo, BR / Anhembi Arena",SBD,FLAC,Official Bootleg
"11-9-2013 / Rio de Janeiro, BR / Circuito Banco do Brasil Festival",SBD,FLAC,Official Bootleg
,,,
[2014],,,
"2-1-2014 / Brooklyn, NY / Barclays Center",SBD,FLAC,Official Bootleg
"2-23-2014 / Clark Pampanga, PH / International Music Festival",SBD,FLAC,Official Bootleg
"3-29-2014 / Santiago, CL / Parque O'Higgins - Lollapalooza",SBD,FLAC,Official Bootleg
"4-2-2014 / Buenos Aires, Argentina / Hip?dromo de San Isidro - Lollapalooza",SBD,FLAC,Official Bootleg
"4-4-2014 / Bogota, COL / Festival Estereo Picnic",SBD,FLAC,Official Bootleg
"4-6-2014 / San Juan, PI / Coliseo de Puerto Rico Jose Miguel Agrelot",SBD,FLAC,Official Bootleg
"6-14-2014 / Isle of Wight, England / Isle of Wight Festival",SBD  ,FLAC,Official Bootleg
"6-14-2014 / Isle of Wight, England / Isle of Wight Festival (Absolute Radio Stream)",SBD #2,FLAC,
"6-14-2014 / Isle of Wight, England / Seaclose Park - TV (Palladia)",PRO #1,M2TS,
,,,
[2016],,,
"6-4-2016 / Mendig, Germany / Flugplatz Mendig - Rock am Ring - WAV(M) (arte HD Broadcast) (sikamikanico83)",PRO #1,FLAC,
"6-10-2016 / Landgraaf, The Netherlands / Pinkpop Festival (3FM Broadcast) (0ne8ung)",FM,FLAC,
"6-14-2016 / Paris, France / Studios SFP - Le Grand Journal",SBD #1,FLAC,
"6-30-2016 / Gydnia, Poland / Open'er Festival (Samsung Galaxy 3) (unk)",SBD #1,FLAC,
"7-2-2016 / Werchter, Belgium / Rock Werchter - Studio Brussel (trebor)",FM,FLAC,
"7-10-2016 / Strathallan Castle, UK / T in the Park 1080i ",PRO,MKV,
"8-27-2016 / Reading, England / Reading Festival (BBC PCTV)",PRO,DVD,
"9-1-2016 / Budapest, HU / Papp Laszlo Sports Arena",SBD  ,FLAC,Official Bootleg
"9-2-2016 / Budapest, HU / Papp Laszlo Sports Arena",SBD  ,FLAC,Official Bootleg
"9-4-2016 / Prague, CZ / 02 Arena",SBD,FLAC,Official Bootleg
"9-6-2016 / Berlin, Germany / Classic 21 Live Broadcast",FM,FLAC,
"9-8-2016 / Fornebu, NO / Telenor Arena",SBD,FLAC,Official Bootleg
"9-10-2016 / Stockholm, SE / Tele2 Arena",SBD,FLAC,Official Bootleg
"9-13-2016 / Helsinki, FI / Hartwall Arena",SBD,FLAC,Official Bootleg
"9-14-2016 / Helsinki, FI / Hartwall Arena",SBD,FLAC,Official Bootleg
"9-27-2016 / Madrid, ES / Barclaycard Center",SBD,FLAC,Official Bootleg
"9-28-2016 / Madrid, ES / Barclaycard Center",SBD,FLAC,Official Bootleg
"10-1-2016 / Barcelona, ESP / Palau Sant Jordi",SBD,FLAC,Official Bootleg
"10-2-2016 / Barcelona, ESP / Palau Sant Jordi",SBD,FLAC,Official Bootleg
"10-5-2016 / Zurch, CH / Hallenstadion Zurich",SBD,FLAC,Official Bootleg
"10-6-2016 / Zurch, CH / Hallenstadion Zurich",SBD,FLAC,Official Bootleg
"10-8-2016 / Bologna, IT / Unipol Arena",SBD,FLAC,Official Bootleg
"10-10-2016 / Turino, Italy / Pala Alpitour",SBD  ,FLAC HD,Official Bootleg
"10-11-2016 / Torino, IT / Pala Alpitour",SBD,FLAC,Official Bootleg
"10-15-2016 / Paris, FR / Accorhotels Arena",SBD,FLAC,Official Bootleg
"10-16-2016 / Paris, FR / Accorhotels Arena",SBD,FLAC,Official Bootleg
"10-18-2016 / Paris, FR / Accorhotels Arena",SBD,FLAC,Official Bootleg
"11-1-2016 / Munich, DE / Olympic Hall",SBD,FLAC,Official Bootleg
"11-3-2016 / Berlin, DE / Mercedes-Benz Arena",SBD,FLAC,Official Bootleg
"11-6-2016 / Antwerp, Belgium / Sportpaleis (CA-14s) (trebor)",AUD #1,FLAC 24,
"11-6-2016 / Merksem, BE / Antwerps Sportpaleis",SBD,FLAC,Official Bootleg
"11-8-2016 / Amsterdam, NL / Ziggo Dome",SBD,FLAC,Official Bootleg
"11-9-2016 / Amsterdam, NL / Ziggo Dome",SBD,FLAC,Official Bootleg
"11-11-2016 / Esch-sur-Alzette, LU / Rockhal",SBD,FLAC,Official Bootleg
"11-14-2016 / Cologne, DE / Lanxess Arena",SBD,FLAC,Official Bootleg
"11-16-2016 / Herning, DK / JYSKE Bank Boxen",SBD,FLAC,Official Bootleg
"11-17-2016 / Hannover, DE /TUI Arena",SBD,FLAC,Official Bootleg
"11-19-2016 / Frankfurt, DE / Festhalle - Messe Frankfurt",SBD,FLAC,Official Bootleg
"11-21-2016 / Vienna, AT / Wiener Stadthalle",SBD,FLAC,Official Bootleg
"12-5-2016 / London, GB / The O2",SBD,FLAC,Official Bootleg
"12-6-2016 / London, GB / The O2",SBD,FLAC,Official Bootleg
"12-8-2016 / Glasgow, GB / The SSE Hydro",SBD,FLAC,Official Bootleg
"12-10-2016 / Birmingham, GB / Genting Arena",SBD,FLAC,Official Bootleg
"12-11-2016 / Birmingham, GB / Genting Arena",SBD,FLAC,Official Bootleg
"12-14-2016 / Manchester, UK / Manchester Arena",SBD,FLAC,Official Bootleg
"12-15-2016 / Manchester, UK / Manchester Arena",SBD,FLAC,Official Bootleg
"12-18-2016 / London, UK / The 02",SBD,FLAC,Official Bootleg
,,,
[2017],,,
"1-5-2017 / San Antonio, TX / ATT Center",SBD,FLAC,Official Bootleg
"1-7-2017 / Houston, TX / Toyota Center",SBD,FLAC,Official Bootleg
"1-8-2017 / Dallas, TX / American Airlines Center",SBD,FLAC,Official Bootleg
"1-10-2017 / New Orleans, LA / Smoothie King Center",SBD,FLAC,Official Bootleg
"1-12-2017 / Memphis, TN / Fed Ex Forum",SBD,FLAC,Official Bootleg
"1-14-2017 / Tulsa, OK / Bok Center",SBD,FLAC,Official Bootleg
"1-16-2017 / Wichita, KS / Intrust Bank Arena",SBD,FLAC,Official Bootleg
"1-18-2017 / St. Louis, MO / Scottrade Center",SBD,FLAC,Official Bootleg
"1-20-2017 / Lincoln, NE / Pinnacle Bank Arena",SBD,FLAC,Official Bootleg
"1-21-2017 / Minneapolis, MN / Target Center",SBD,FLAC,Official Bootleg
"2-2-2017 / Detroit, MI / Joe Louis Arena",SBD,FLAC,Official Bootleg
"2-4-2017 / Toronto, ON / Air Canada Center",SBD,FLAC,Official Bootleg
"2-7-2017 / Boston, MA / TD Garden",SBD,FLAC,Official Bootleg
"2-8-2017 / Boston, MA / TD Garden",SBD,FLAC,Official Bootleg
"2-10-2017 / Buffalo, NY / Key Bank Arena (Tascam Dr-08) (binko)",AUD,FLAC,
"2-10-2017 / Buffalo, NY / Key Bank Center",SBD,FLAC,Official Bootleg
"2-12-2017 / Philadelphia, PA / Wells Fargo Center",SBD,FLAC,Official Bootleg
"2-13-2017 / Philadelphia, PA / Wells Fargo Center",SBD,FLAC,Official Bootleg
"2-15-2017 / New York, NY / Madison Square Garden",SBD,FLAC,Official Bootleg
"2-17-2017 / New York, NY / Madison Square Garden",SBD,FLAC,Official Bootleg
"2-18-2017 / New York, NY / Madison Square Garden",SBD,FLAC,Official Bootleg
"3-7-2017 / Los Angeles, CA / Staples Center",SBD,FLAC,Official Bootleg
"3-8-2017 / Los Angeles, CA / Staples Center",SBD,FLAC,Official Bootleg
"3-10-2017 / Los Angeles, CA / Staples Center",SBD,FLAC,Official Bootleg
"3-12-2017 / Oakland, CA / Oracle Arena",SBD,FLAC,Official Bootleg
"3-15-2017 / Portland, OR / Moda Center",SBD,FLAC,Official Bootleg
"3-17-2017 / Seattle, WA / Key Arena",SBD,FLAC,Official Bootleg
"3-18-2017 / Vancouver, BC / Pepsi Live at Rogers Arena",SBD,FLAC,Official Bootleg
"3-21-2017 / San Diego, CA / Valley View Casino Center",SBD,FLAC,Official Bootleg
"4-12-2017 / Washington, DC / Verizon Center",SBD,FLAC,Official Bootleg
"4-14-2017 / Atlanta, GA / Phillips Arena",SBD,FLAC,Official Bootleg
"4-15-2017 / Raleigh, NC / PNC Arena",SBD,FLAC,Official Bootleg
"4-17-2017 / Charlotte, NC / Spectrum Center",SBD,FLAC,Official Bootleg
"4-19-2017 / Columbia, SC / Colonial Life Arena (DPA 4023) (george wang)",AUD #1,FLAC,
"4-19-2017 / Columbia, SC / Colonial Life Arena",SBD,FLAC,Official Bootleg
"4-22-2017 / North Little Rock, AR / Verizon Arena",SBD,FLAC,Official Bootleg
"4-24-2017 / Jacksonville, FL / Veterans Memorial Arena",SBD,FLAC,Official Bootleg
"4-26-2017 / Orlando, FL / Amway Center",SBD,FLAC,Official Bootleg
"4-27-2017 / Tampa, FL / Amalie Arena (DSM-6P) (steve hagar)",AUD,FLAC,
"4-27-2017 / Tampa, FL / Amalie Arena",SBD,FLAC,Official Bootleg
"4-29-2017 / Miami, FL / American Airlines Arena",SBD,FLAC,Official Bootleg
"5-11-2017 / Pittsburgh, PA / PPG Paints Arena",SBD,FLAC,Official Bootleg
"5-13-2017 / Cleveland, OH / Quicken Loans Arena",SBD,FLAC,Official Bootleg
"5-14-2017 / Columbus, OH / Schottenstein Center",SBD,FLAC,Official Bootleg
"5-16-2017 / Louisville, KY / KFC Yum! Center",SBD,FLAC,Official Bootleg
"5-18-2017 / Indianapolis, IN / Bankers Life Arena",SBD,FLAC,Official Bootleg
"5-19-2017 / Cincinnati, OH / US Bank Arena",SBD,FLAC,Official Bootleg
"5-21-2017 / Kansas City, MO / Sprint Center",SBD,FLAC,Official Bootleg
"5-23-2017 / Des Moines, IA / Wells Fargo Arena",SBD,FLAC,Official Bootleg
"5-26-2017 / Winnipeg, MB / MTS Centre",SBD,FLAC,Official Bootleg
"5-28-2017 / Edmonton, AB / Rogers Place",SBD,FLAC,Official Bootleg
"5-29-2017 / Calgary, AB / Scotiabank",SBD,FLAC,Official Bootleg
"6-10-2017 / Manchester, TN / Great Stage Park - What Stage (indykid)",Webcast,TS,
"6-20-2017 / Montreal, QC / Bell Centre",SBD,FLAC,Official Bootleg
"6-22-2017 / Hamilton, ON / FirstOntario Centre",SBD,FLAC,Official Bootleg
"6-23-2017 / Ottawa, ON / Canadian Tire Centre",SBD,FLAC,Official Bootleg
"6-25-2017 / Grand Rapids, MI / Van Andel Arena",SBD,FLAC,Official Bootleg
"6-28-2017 / Milwaukee, WI / Summerfest",SBD,FLAC,Official Bootleg
"6-30-2017 / Chicago, IL / United Center",SBD,FLAC,Official Bootleg
"7-1-2017 / Chicago, IL / United Center",SBD,FLAC,Official Bootleg
"7-13-2017 / Lisbon, PT / Super Bock Super Rock",SBD,FLAC,Official Bootleg
"7-15-2017 / Benicassim, ESP / Benicassim",SBD,FLAC,Official Bootleg
"7-18-2017 / Nyon, CH / Paleo Festival",SBD,FLAC,Official Bootleg
"7-20-2017 / Rome, IT / Postepay Rock In Roma",SBD,FLAC,Official Bootleg
"7-21-2017 / Milan, IT / Milano Summer Festival ",SBD,FLAC,Official Bootleg
"7-23-2017 / Paris, FR / Lollapalooza Paris",SBD,FLAC,Official Bootleg
"7-25-2017 / Krakow, PL / Cracovia Stadium",SBD,FLAC,Official Bootleg
"7-27-2017 / Riga, LV / Lucavsala Island",SBD,FLAC,Official Bootleg
"7-29-2017 / Helsinki, FI / Kaisafest",SBD,FLAC,Official Bootleg
"7-31-2017 / Reykjavik, Iceland / Laugardalsho?ll",SBD,FLAC,Official Bootleg
"9-15-2017 / Del Mar, CA / Kaaboo Del Mar",SBD,FLAC,Official Bootleg
"9-17-2017 / New York, NY / The Meadows Music and Arts Festival",SBD,FLAC,Official Bootleg
"9-20-2017 / Dublin, IE / 3Arena",SBD,FLAC,Official Bootleg
"9-21-2017 / Dublin, IE / 3Arena",SBD,FLAC,Official Bootleg
"10-7-2017 / Austin, TX / Austin City Limits Music Festival",SBD,FLAC,Official Bootleg
"10-10-2017 / Mexico City, MX / Palacio de los Deportes",SBD,FLAC,Official Bootleg
"10-11-2017 / Mexico City, MX / Palacio de los Deportes",SBD,FLAC,Official Bootleg
"10-14-2017 / Austin, TX / Austin City Limits Music Festival",SBD,FLAC,Official Bootleg
"10-16-2017 / Denver, CO / Pepsi Center (SP Omnis) (unk)",AUD #1,FLAC,
"10-16-2017 / Denver, CO / Pepsi Center",SBD,FLAC HD,Official Bootleg
"10-18-2017 / Glendale, AZ / Gila River Arena",SBD,FLAC,Official Bootleg
,,,
[2018],,,
"3-16-2018 / Buenos Aires, Argentina / Hippodromo de San Isidro (Lollapalooza)",Webcast,MKV,
"3-16-2018 / Buenos Aires, Argentina / Hippodromo de San Isidro (Lollapalooza) (iPhone 7) (leni)",AUD #1,FLAC,
"3-17-2018 / Santiago, Chile / Parque O'Higgins (Lollapalooza) (indykid)",Webcast,TS,
"3-23-2018 / Sao Paulo, Brazil / Lollapalooza",Broadcast,TS,
,,,
[2019],,,
"1-9-2019 / Los Angeles, CA / Microsoft Theater (CA-11) (opsopcopolis)",AUD,FLAC,
"1-13-2019 / Los Angeles, CA / Hollywood Palladium (SP-CMC-2) (hyprl00p)",AUD,FLAC 24,
"2-10-2019 / Los Angeles, CA / The 61st Annual Grammy Awards",TV,TS,
"2-17-2019 / Hobart, Australia / Derwent Entertainment Centre (SP-CMC-8) (bleedingme)",AUD,FLAC 24,
"2-17-2019 / Hobart, AUS / Derwent Entertainment Centre",SBD,FLAC 24,Official Bootleg
"2-19-2019 / Sydney, AUS / Qudos Bank Arena",SBD,FLAC,Official Bootleg
"2-20-2019 / Sydney, AUS / Qudos Bank Arena",SBD,FLAC,Official Bootleg
"2-23-2019 / Hunter Valley, AUS / Hope Estate Winery",SBD,FLAC,Official Bootleg
"2-25-2019 / Brisbane, AUS / Brisbane Entertainment Centre",SBD,FLAC,Official Bootleg
"2-26-2019 / Brisbane, AUS / Brisbane Entertainment Centre",SBD,FLAC,Official Bootleg
"2-28-2019 / Melbourne, AUS / Rod Laver Arena",SBD,FLAC,Official Bootleg
"3-2-2019 / Geelong, AUS / Mount Duneed Estate",SBD,FLAC,Official Bootleg
"3-3-2019 / Adelaide, AUS / Adelaide Superloop 500",SBD,FLAC,Official Bootleg
"3-5-2019 / Perth, AUS / HBF Park ",SBD,FLAC,Official Bootleg
"3-5-2019 / Perth, Australia / HBF Park (iPhone 6) (lamla999)",AUD,FLAC,
"3-8-2019 / Auckland, NZ / Spark Arena",SBD,FLAC,Official Bootleg
"3-9-2019 / Auckland, NZ / Spark Arena",SBD,FLAC 24,Official Bootleg
"3-15-2019 / Giza, Egypt / Giza Pyramid Complex (Official YouTube livestream)",PRO,MKV,
