Red Hot Chili Peppers,Versions,File Type,
"3-17-1992 / Dusseldorf, Germany / Phillips Halle - VHS(x) (unk)",MIX #1,DVD,
"7-5-1992 / Werchter, Belgium / Festival Park - Rock Werchter Festival",AUD #1,FLAC,
"7-19-1992 / Mountain View, CA / Shoreline Amphitheater - ANA(x) (fonky1)",AUD #2,FLAC,
"7-19-1992 / Mounain View, CA - Shoreline Amphitheatre - Lollapolloza II (Aiwa TPS30) (scott heller) ",AUD,FLAC,
"7-21-1992 / Vancouver, BC / Thunderbird Stadium - Lollapalooza (Sony ECM-PC62) (audioarchivist)",AUD,FLAC 24,
"8-2-1992 / Tinley Park, IL / World Music Theater (Lollapalooza) - VHS(x) (unk)",AMT #1,MKV,
"8-4-1992 / Saratoga Springs, NY / SPAC - ANA(x) (unk) ",AUD,FLAC 24,
"8-7-1992 / Mansfield, MA / Great Woods Performing Arts Center (Lollapalooza) ",AUD #1,FLAC,
"8-8-1992 / Mansfield, MA / Great Woods Performing Arts Center (Lollapalooza)",AUD #2,FLAC,
"8-8-1992 / Mansfield, MA / Great Woods Performing Arts Center - ANA(1) (Sony D6) ",AUD #1,FLAC,
"8-9-1992 / Wantagh, NY / Jones Beach Theatre (Lollapalooza) - Hi8(M) (Sony CCD-TR71) (rob berger)",AMT #1,FLAC,
"8-9-1992 / Wantagh, NY / Jones Beach Theatre (Lollapalooza) - Hi8(M) (Sony CCD-TR71) (rob berger)",AMT #1,DVD,
"8-12-1992 / Stanhope, NJ / Waterloo Village (Lollapalooza) - Hi8(M) (Sony CCD-TR71) (rob berger)",AMT #1,FLAC,
"8-12-1992 / Stanhope, NJ / Waterloo Village (Lollapalooza) - Hi8(M) (Sony CCD-TR71) (rob berger)",AMT #1,DVD,
"8-14-1992 / Alexandria, VA / Lake Fairfax (unk)",AUD #1,FLAC,
"8-15-1992 / Scranton, PA / Montage Mountain Performing Arts Center (AKG 460s) (billydee)",AUD #1,FLAC,
"8-29-1992 / East Troy, WI / Alpine Valley Music Theatre - ANA(M) (SM98) (ph)",AUD,FLAC,
"8-29-1992 / East Troy, WI / Alpine Valley Music Theatre (unk)",AUD #1,FLAC,
"9-4-1992 / New Orleans, LA / UNO Soccer Field (Lollapalooza)",AUD #1,FLAC,
"9-8-1992 / Phoenix, AZ / Desert Sky Pavilion (Lollapalooza) - ANA(M) (Radio Shack PZM's) (david homes)",AUD #1,FLAC,
"9-9-1992 / Los Angeles, CA / UCLA Pauley Pavilion (MTV Video Music Awards) 2024 Transfer ",PRO #1,MPG,
"9-11-1992 / Irvine, CA / Irvine Meadows - ANA(M) (unk)",AUD,FLAC,
"10-20-1992 / Melbourne, Australia / Festival Hall - ANA(x) ",AUD #1,FLAC,
"10-28-1992 / Auckland, NZ / Mt. Smart Supertop - VHS(1) (unk)",TV,FLAC,
,,,
[1993],,,
"1-22-1993 / Rio de Janeiro, Brazil / Praca da Apoteose - Hollywood Rock Festival (FM)",SBD #1,FLAC,
"1-26-1993 / Buenos Aires, Argentina - Estadio Obras Sanitarias - VHS(1) (unk)",PRO #1c,MKV,
"1-26-1993 / Buenos Aires, Argentina - Estadio Obras Sanitarias - VHS(1) (unk)",PRO #1d,MKV,
"1-26-1993 / Buenos Aires, Argentina - Estadio Obras Sanitarias (FM)",SBD #1,FLAC,
"2-24-1993 / Los Angeles, CA / Shrine Auditorium (Grammy Awards) 2024 Transfer",PRO #1,MPG,
,,,
[1994],,,
"8-14-1994 / Saugerties, NY / Winston Farm - Woodstock '94 - ANA(M) (SS DSM-6P) (ballsdeep)",AUD #1,FLAC,
"8-14-1994 / Saugerties, NY / Winston Farm - Woodstock '94  - North Stage (PPV Live)",TV,DVD,
"8-25-1994 / Dublin, Ireland / Dalymount Park - Sunstroke '94 (FM>ANA(M)",SBD #1,FLAC,
"8-27-1994 / Hasselt, Belgium / Kempische Steenweg - Pukkelpop Festival  - VID8(M)",AMT #1,FLAC,
"8-27-1994 / Hasselt, Belgium / Pukkelpop (j.f & c.c.)",AUD  ,DVD,
"8-28-1994 / Reading, UK / Reading Festival",SBD #1,FLAC,
"8-28-1994 / Reading, UK / Reading Festival *Reading (KTS 367) (thir13en remaster)",SBD,FLAC,
"10-19-1994 / Pasadena, CA / Rose Bowl",AUD #1,FLAC,
"10-19-1994 / Pasadena, CA / Rose Bowl (ECM737) (unk) ",AUD,FLAC,
"10-21-1994 / Pasadena, CA / Rose Bowl (ECM737) (unk)",AUD #1,FLAC,
"10-21-1994 / Pasadena, CA / Rose Bowl (Sony ECM-909A) (marco moir)",AUD,FLAC 24,
,,,
[1995],,,
"9-7-1995 / New York, NY / Radio City Music Hall - MTV Video Music Awards *One Hot Globe (Moonraker 026)",TV,FLAC,
"9-7-1995 / New York, NY / Radio City Music Hall - MTV Video Music Awards - VHS(M) (upgrade)",TV,MKV,
"9-27-1995 / London, UK / Subterania Club - ANA(x) (unk)",AUD #1,FLAC,
"10-1-1995 / Dublin, Ireland / Point Theatre - ANA(x) (ferro)",AUD #1,FLAC,
"10-4-1995 / London, UK / Brixton Academy - ANA(x) (unk)",AUD #1,FLAC,
"10-8-1995 / Brussels, Belgium / Forest National - Video8(M) (unk)",AUD  ,FLAC,
"10-8-1995 / Brussels, Belgium / Forest National - Hi8(M) (Sony EV-S9000E)(j.f. & c.c.)",AMT #1,DVD,
"10-11-1995 / Berlin, Germany / Deutschlandhalle *One Hot Globe",Silver CD,FLAC,
"10-14-1995 / Stockholm, Sweden / Stockholm Globe Arena (unk)",AUD #1,FLAC,
"10-16-1995 / Rotterdam, The Netherlands / Ahoy (vince dome rework)",SBD #1,FLAC,
"10-18-1995 / Paris, France / Le Zenith *Coffee Shop (Silver) (leni transfer)",AUD #1,FLAC,
"11-9-1995 / New York, NY / Ed Sullivan Theater - Late Show with David Letterman - VHS(x) (sikamikanico83 transfer)",PRO #1,FLAC,
,,,
[1996],,,
"2-9-1996 / New York, NY / Madison Square Garden - ANA(1) (Sony ECM-144) (rcsguy)",AUD #2,FLAC,
"2-9-1996 / New York, NY / Madison Square Garden - MTV Broadcast - VHS(M) (bong)",PRO,DVD,
"2-12-1996 / Worcester, MA / Centrum Center",AUD #1,FLAC,
"2-16-1996 / Uniondale, NY / Nassau Veterans Memorial Coliseum - ANA(M) (unk) (ukj69)",AUD #1,FLAC,
"3-6-1996 / Chicago, IL / United Center (unk)",AUD #1,FLAC,
"3-11-1996 / Indianapolis, IN / Market Square Arena",AUD #1,FLAC,
"3-12-1996 / Cleveland, OH / Gund Arena",AUD #1,FLAC,
"3-14-1996 / Pittsburgh, PA / Civic Arena (unk)",AUD #1,FLAC,
"4-4-1996 / Inglewood, CA / Great Western Forum",AUD #1,FLAC,
"4-6-1996 / Daly City, CA / Cow Palace - DAT(M)  (Sony ECM-727p) (donon)",AUD #1,FLAC,
"4-16-1996 / San Diego, CA / San Diego Sports Arena *Funkamental (Moonraker 175)",Silver CD,FLAC,
"4-16-1996 / San Diego, CA / San Diego Sports Arena",SBD #1,FLAC,
"5-14-1996 / Sydney, Australia / Sydney Entertainment Centre *Gravity (Moonraker)",SBD #1,FLAC,
"5-15-1996 / Sydney, Australia / Sydney Entertainment Centre *Gangway",Silver CD,SHN,
"6-15-1996 / Irvine, CA / The Meadows - KROQ Weenie Roast",FM,FLAC,
"6-15-1996 / Irvine, CA / Irvine Meadows - KROQ Weenie Roast - Hi8(M) (gary davis)",AMT #1,MKV,
"6-16-1996 / San Francisco, CA / Golden Gate Park - Tibetan Freedom Concert (unk) (neekrive)",AUD  ,FLAC,
"6-16-1996 / San Francisco, CA / Golden Gate Park - Tibetan Freedom Concert - TV",PRO #1,MKV,
"6-28-1996 / St. Gallen, CHE / Sittertobel - Open Air St. Gallen Festival FM>ANA(M)",SBD #1,FLAC,
