Miles Davis,Versions,File Type
"11-7-1967 / Karlsruhe, Germany / Stadthalle",TV,FLAC
"11-7-1967 / Karlsruhe, Germany / Stadthalle",FM,FLAC
,,
[1968],,
"10-27-1968 / Los Angeles, CA / Shelly's Manne-Hole",SBD,FLAC
"12-5/8-1968 / Boston, MA / Jazz Workshop",AUD,FLAC
,,
[1969],,
"3-11/17-1969 / Rochester, NY / Duffy's Backstage (Early + Late show)",AUD,FLAC
"4-5-1969 / New York, NY / Village Gate Club",AUD,FLAC
"6-4/14-1969 / Chicago, IL / Plugged Nickel Club",AUD,FLAC
"6-21/29-1969 / New York, NY / Blue Coronet Club (Early + Late show)",AUD,FLAC
"7-7-1969 / New York, NY / Central Park",AUD,FLAC
"7-7-1969 / New York, NY / Central Park",,APE
"7-25-1969 / Antibes, France / La Pinede - Juan-les-Pins",SBD,FLAC
"7-26-1969 / Juan-les-pins, France / La Pinede",preFM,FLAC
"7-27-1969 / New Brunswick, NJ / Rutgers University Stadium",AUD,FLAC
"8-4-1969 / New York, NY / Miles Davis's House",AUD,FLAC
"8-19/20-1969 / New York, NY / Columbia Studio B",SBD,FLAC
"8-21-1969 / New York, NY / Columbia Studio B",SBD,FLAC
"10-26-1969 / Milan, Italy / Teatro Lirico (Early + Late show)",AUD,FLAC
"10-27-1969 / Rome, Italy / Teatro Sistina",SBD,FLAC
"10-31-1969 / Stadthalle, Vienna / Unknown",TV,FLAC
"11-1-1969 / London, England / Hammersmith Odeon",SBD,FLAC
"11-1-1969 / London, England / Hammersmith Odeon",AUD,FLAC
"11-2-1969 / London, England / Ronnie Scott's Club",TV,FLAC
"11-3-1969 / Paris, France / Salle Pleyel (Early + Late show)",SBD,SHN
"11-3-1969 / Paris, France / Salle Pleyel (Early + Late show)",,SHN
"11-3-1969 / Paris, France / Salle Pleyel (Early + Late show)",,SHN
"11-3-1969 / Paris, France / Salle Pleyel (Early + Late show)",,SHN
"11-4-1969 / Copenhagen, Denmark / Tivoli Konserthal",AUD,SHN
"11-4-1969 / Copenhagen, Denmark / Tivoli Konserthal",FM,SHN
"11-5-1969 / Stockholm, Sweden / Folkets Hus",FM,SHN
"11-5-1969 / Stockholm, Sweden / Folkets Hus",,SHN
"11-5-1969 / Stockholm, Sweden / Folkets Hus",,SHN
