"2-17-2019 / Northfield Park, OH / Hard Rock Casino (CA-14s) (charles dewey cole)",AUD,FLAC 24
"7-11-2019 / Columbus, OH / The Bluestone (CA-14s) (charles dewey cole)",AUD,FLAC 24
"7-12-2019 / Austintown, OH / Hollywood Gaming at Mahoning Valley Race Course (CA-14) (charles dewey cole)",AUD,FLAC 24
"11-13-2019 / Milwaukee, WI / Turner Ballroom (DPA 4011) (analog4011)",AUD,FLAC
,,
[2021],,
"1-30-2021 / Salt Lake City, UT / Mac's Place - Stageit Webstream (charles dewey cole)",WEB,FLAC 24
"9-21-2021 / Indianapolis, IN / The Vogue (CA-14s) (charles dewey cole)",AUD,FLAC 24
,,
[2022],,
"4-20-2022 / Cincinnati, OH / Memorial Hall OTR (CA-14) (charles dewey cole) ",AUD,FLAC 24
"5-6-2022 / Beverly, MA / The Cabot (Mandolin Webstream) (charles dewey cole)",WEB,FLAC  
"6-16-2022 / Belleville, IL / Lincoln Theater (CA-11s) (unk)",AUD,FLAC
"6-17-2022 / New Berlin, IL / Sangamon County Fair Grandstand (Schoeps MK22) (brad downen)",AUD,FLAC 24
,,
[2023],,
"2-14-2023 / Boston, MA / MGM Music Hall - Fenway (SP-CMC-8C) (farve4) ",AUD,FLAC
"7-6-2023 / Cincinnati, OH / Bogart's (SP-CMC-8) (live2cd) ",AUD,FLAC
"8-13-2023 / St. Louis, MO / Delmar Hall (CA14) (cap'n crash)",AUD,FLAC 24
,,
[2024],,
"8-13-2024 / Cleveland, OH / Jacobs Pavilion at Nautica (CA-14s) (live2cd)",AUD,FLAC 24
"9-28-2024 / Huntsville, AL / South Star Music Festival (Schoeps MK4) (jesse mc)",AUD,FLAC 24
,,
[2025],,
"9-25-2025 / Seattle, WA / Climate Pledge Arena (DPA 4080) (john hermsen)",AUD,FLAC 24
,,
[MISC],,
Into the Flame (1993 Demos) (KTS 355),Silver CD,FLAC
Both Ends Burning (Various Locations 1994 Tour),Silver CD,FLAC
,,
[SINGLES],,
Candlebox - Far Behind (CDS) {W0258CD} [1993],,
Candlebox - You (CDS) {9 18304-2} (1993),,FLAC
,,FLAC
,,
,,
,,
,,
Kevin Martin & The Hiwatts,Versions,File Type
Drive - B,,
,,
,,
[2004],,
"10-26-2004 / Cologne, Germany / Prime Club (unk) (kevdogg transfer)",AUD,FLAC
