Tool,Versions,File Type,
Drive - D,,,
,,,
,,,
[1991],,,
"11-11-1994 / San Francisco, CA / Warfield Theater (unk gen VHS)",AUD,FLAC,
"11-14-1994 / Santa Cruz, CA / Santa Cruz Civic Center (SS-DSM-6) (bill s.)",AUD,FLAC,
"11-14-1994 / Santa Cruz, CA / Santa Cruz Civic Center (Sony ECM 909) (unk)",AUD,FLAC,
"11-14-1994 / Santa Cruz, CA / Santa Cruz Civic Center - Hi8(M) (Sony CCD-TR101) (fromthenosebleeds)",AUD,MKV,
"11-14-1994 / Santa Cruz, CA / Santa Cruz Civic Center (fromthenosebleeds)",AUD,DVD,
,,,
[1995],,,
"3-3-1995 / San Bernardino, CA / San Bernardino Arena (unk) (dassarri transfer)",AUD,FLAC,
"3-3-1995 / San Bernardino, CA / San Bernardino Arena",AUD,MKV,
"3-4-1995 /  Los Angeles, CA / Olympic Auditorium (SS-DSM6/SL) (unk)",AUD,FLAC,
"4-16-1995 / Melbourne, Australia / Olympic Auditorium (Alternative Nation Festival) (unk gen VHS)",AUD,FLAC,
"4-16-1995 / Melbourne, Australia / Olympic Park (Blaupunkt CC844) (M) (eatyourblud)",AUD,DVD,
"12-15-1995 / Ventura, CA / Ventura Theater (SS-DSM-6) (unk)",AUD,FLAC,
"12-31-1995 / Oakland, CA / Oakland Coliseum (unk) (neekrive)",AUD,FLAC,
"12-31-1995 / Oakland, CA / Oakland Coliseum (unk gen VHS)",AUD,FLAC,
"12-31-1995 / Oakland, CA / Oakland Coliseum (M) (unk) ",AUD,DVD,
,,,
[1996],,,
"10-16-1996 / Pamona, CA / The Glass House - Hi8(M) (unk)",AUD,FLAC,
"10-16-1996 / Pamona, CA / The Glass House (Sony ECM-959A) (highdesert)",AUD,FLAC,
"10-18-1996 / San Diego, CA / The Soma (Sony ECM-959A) (mike)",AUD,FLAC,
"10-21-1996 / San Francisco, CA / The Warfield (unk vid source) ",AUD,FLAC,
"10-21-1996 / San Francisco, CA / The Warfield",AUD,MKV,
"10-24-1996 / Tacoma, WA / Puget Sound Fieldhouse (unk)",AUD,FLAC,
"10-25-1996 / Vancouver, BC / PNE Forum (Sony Stereo Mic) (audioarchivist)",AUD,FLAC,
"10-28-1996 / San Francisco, CA / The Warfield (SS-DSM-6) (bill shaw)",AUD,FLAC,
"11-1-1996 / Mesa, AZ / Mesa Amphitheatre (unk vid source)",AUD,FLAC,
"11-3-1996 / Salt Lake City, UT / Saltair Pavilion (Sanken COS-11) (inc)",AUD,FLAC,
"11-3-1996 / Salt Lake City, UT / Saltair Pavilion (Sanken COS-11) (complete)",AUD,FLAC,
"11-3-1996 / Salt Lake City, UT / Saltair Pavilion (Sanken COS-11) (2cd version)",AUD,FLAC,
"11-7-1996 / Dallas, TX / Bronco Bowl - DAT(M) (SS-DSM-6S) (chris milazzo)",AUD,FLAC,
"11-14-1996 / Chicago, IL / Aragon Ballroom (SS DSM-6S) (pg)",AUD,FLAC,
"11-19-1996 / Detroit, MI / State Theater (unk) (galen mastering)",AUD,FLAC,
"11-21-1996 / New York, NY / Roseland Ballroom (Sony PC-62) (Version 1)",AUD,FLAC,
"11-21-1996 / New York, NY / Roseland Ballroom (Sony PC-62) (Version 2)",AUD,FLAC,
"11-21-1996 / New York, NY / Roseland Ballroom - ANA(M) (Sony PC-62) (tapeworm48)",AUD,FLAC,
"11-21-1996 / New York, NY / Roseland Ballroom - ANA(M) (Sony PC-62) (jb)",AUD,FLAC,
"11-22-1996 / New York, NY / Roseland Ballroom (unk)",AUD,FLAC,
"11-23-1996 / Philadelphia, PA / Electric Factory (unk vid source)",AUD,FLAC,
"11-23-1996 / Philadelphia, PA / Electric Factory - DAT(M) (Coresound Omni's) (jeffrey s.)",AUD,FLAC,
"11-23-1996 / Philadelphia, PA / Electric Factory - VHS(x) (alvarojam upgrade) ",AUD,DVD,
"11-29-1996 / Montreal, Quebec / The Metropolis (unk vid source)",AUD,FLAC,
"12-10-1996 / Miami, FL / Sunrise Theater (unk vid source)",AUD,FLAC,
"12-11-1996 / Orlando, FL / UCF Arena (Sony bullet mic) (chuck dagen)",AUD,FLAC,
"12-15-1996 / Tulsa, OK / Brady Theater (unk) (galen mastering)",AUD,FLAC,
"12-17-1996 / Las Vegas, NV / Huntridge Theater (SS DSM-6S) (unk)",AUD,FLAC,
"12-19-1996 / Los Angeles, CA / Universal Amphitheater (SS-DSM-6) (unk)",AUD,FLAC,
"12-19-1996 / Los Angeles, CA / Universal Amphitheater (Sony ECM-959A) (mike)",AUD,FLAC,
,,,
[1997],,,
"2-11-1997 / Amsterdam, Holland / Paradiso (CSB) (wim de vreugd)",AUD,FLAC,
"2-14-1997 / Paris, France / Elysee Montmartre (Marantz EM-8) (stephane d.)",AUD,FLAC,
"2-19-1997 / Berlin, Germany / Metropolis (OKM-IIr) (unk)",AUD,FLAC,
"2-23-1997 / London, England / Astoria Theater (Sony EMC-909) (per transfer)",AUD,FLAC,
"2-23-1997 / London, England / Astoria Theater (unk gen VHS)",AUD,FLAC,
"2-23-1997 / London, England / Astoria Theater (Sony TCS-580V) (duncan)",AUD,FLAC,
"2-23-1997 / London, England / Astoria Theater (unk)",AMT,DVD,
"2-27-1997 / Asbury Park, NJ / Convention Center (unk vid source)",AUD,FLAC,
"2-27-1997 / Asbury Park, NJ / Convention Center - DAT(M) (Coresound Omni's) (jeffrey s.)",AUD,FLAC,
"2-27-1997 / Asbury Park, NJ / Convention Hall (Sony TR-71) (rcsguy664) (2024 alvarojam upgrade) ",AMT,DVD,
"2-28-1997 / Fitchburg, MA / Wallace Civic Center (Sanken COS-11)",AUD,FLAC,
"3-1-1997 / Poughkeepsie, NY / Mid Hudson Civic Center (Sony PC-62)",AUD,FLAC,
"3-1-1997 / Poughkeepsie, NY / Mid Hudson Civic Center - DAT(M) (Coresound Omni's) (jeffrey s.)",AUD (48k),FLAC,
"3-1-1997 / Poughkeepsie, NY / Mid Hudson Civic Center - DAT(1) (CSB)",AUD,FLAC,
"3-6-1997 / Omaha, NE / Civic Auditorium (unk) (galen mastering)",AUD,FLAC,
"3-30-1997 / Torquay, Australia / Bell's Beach (CSB) (unk)",AUD,FLAC,
"4-9-1997 / Canberra, Australia / Australia National University Bar (unk)",AUD,FLAC,
"4-11-1997 / Sydney, Australia / Hordern Pavilion (CSB) (unk)",AUD,FLAC,
"6-25-1997 / West Palm Beach, FL / Coral Sky Amphitheatre (CSC) (dave)",AUD,FLAC,
"6-25-1997 / West Palm Beach, FL / Coral Sky Amphitheatre - DAT(M) (CSC) (dt)",AUD,FLAC,
"6-27-1997 / Atlanta, GA / Lakewood Amphitheater (CSC) (unk)",AUD,FLAC,
"7-8-1997 / Boston, MA / Greatwoods (JVC VHS-C) (unk)",AUD,FLAC,
"7-11-1997 / Randalls Island, NY / Downing Stadium (CSB) (unk)",AUD,FLAC,
"7-11-1997 / Randalls Island, NY / Downing Stadium (unk vid source)",AUD,FLAC,
"7-11-1997 / Randalls Island, NY / Downing Stadium (Electric Condenser mics) (unk)",AUD,FLAC,
"7-13-1997 / Hartford, CT / Meadows Music Theater (JVC VHS-C) (unk)",AUD,FLAC,
"7-29-1997 / Bonner Springs, KS / Sandstone Amphitheater - Hi8(x) (unk)",AUD,FLAC,
"8-2-1997 / Dallas, TX / Starplex Amphitheater (unk)",AUD,FLAC,
"8-3-1997 / Corpus Christi, TX / Texas Sky Park (CSB) (aleal5687)",AUD,FLAC,
"8-6-1997 / Phoenix, AZ / Desert Sky Amphitheater (unk vid source)",AUD,FLAC,
"8-6-1997 / Phoenix, AZ / Blockbuster Desert Sky Pavilion - Lollapalooza (unk)",AUD,DVD,
