Guster,Versions,File Type
"10-1-1999 / Ann Arbor, MI / Michigan Theater (Sound Pro Binaurals) (unk)",AUD,FLAC
"10-2-1999 / Chicago, IL / Vic Theater (unk)",AUD,FLAC
"10-27-1999 / Toronto, ON / Horseshoe Tavern (Sony WM-GX53) (greg valiquette)",AUD,FLAC
"10-30-1999 / Boston, MA / Orpheum Theatre (AKG C-1000) (dave mallick)",AUD,SHN
"10-30-1999 / Boston, MA / Orpheum Theatre (SR77) (mike vernal)",AUD,SHN
"11-3-1999 / St. Louis, MO / Mississippi Nights (CSS Omni's) (shane e. calhoon)",AUD,SHN
"11-6-1999 / Boulder, CO / Fox Theatre (unk)",AUD,FLAC
"11-12-1999 / San Francisco, CA / Great American Hall (AKG C3000) (allan chen)",AUD,SHN
"11-15-1999 / Vancouver, BC / The Starfish (AT933) (tyler bradford)",AUD,SHN
"11-26-1999 / Washington, D.C. / 9:30 Club (Gefell SMS2000/200) (bill lakenan)",AUD,SHN
"11-27-1999 / New York, NY / Hammerstein Ballroom (MG200) (bill lakenan)",AUD,SHN
"11-30-1999 / Providence, RI / WBRU-FM Down City Stage - Veteran's Memorial Auditorium (Sony PC-62)  (dave mallick)",AUD,SHN
"12-1-1999 / Clifton Park, NY / Northern Lights (CSB)  (sim morrell)",AUD,SHN
"12-4-1999 / Durham, NH / Lundholm Gymnasium - University of NH (AT853a) (dave mallick)",AUD,SHN
"12-9-1999 / Rochester, NY / Milestones - ANA(1) (unk)",AUD,FLAC
"12-10-1999 / Portland, ME / State Theatre - WCYY-FM (AT853a) (dave mallick)",AUD,SHN
"12-11-1999 / Villanova, PA / Villanova Room (AKG C1000s) (keith cetera)",AUD,SHN
"12-12-1999 / Boston, MA / Orpheum Theater (Sony PC-62) (woody monaco)",AUD,FLAC
,,
[2000],,
"1-18-2000 / San Diego, CA / Cane's (Binaurals) (jeff eberlin)",AUD,SHN
"1-19-2000 / San Juan Capistrano, CA / Coach House (Schoeps) (unk)",AUD,SHN
"1-20-2000 / Palo Alto, CA / The Edge (AKG 480/CK61) (allan chen)",AUD,SHN
