R.E.M.,Versions,,,File Type,
"6-24-1984 / San Francisco, CA / Warfield Theater",AUD #1,,,FLAC,
"6-24-1984 / San Francisco, CA / Warfield Theater",AUD #2,,,FLAC,
"6-27-1984 / Seattle, WA / Music Hall *Rock and Roll Stars",SBD,,,FLAC,
"6-27-1984 / Seattle, WA / Music Hall *Seattle 84 (REM-16)",SBD,,,FLAC,
"6-27-1984 / Seattle, WA / Music Hall - The Source WLUP FM 10.5 (krw_co transfer)",FM,,,FLAC 24,
"6-29-1984 / Seattle, WA - Unknown Venue",AUD,,,FLAC,
"7-5-1984 / Minneaplis, MN / Oprheum Theater",AUD,,,FLAC,
"7-7-1984 / Chicago, IL / Aragon Ballroom",SBD,,,FLAC,
"7-11-1984 / Rochester, NY / Minnett Hall",AUD,,,FLAC,
"7-12-1984 / Montreal, Quebec / Spectrum de Montreal",AUD,,,FLAC,
"7-13-1984 / Toronto, Ontario / Concert Hall",AUD,,,FLAC,
"7-15-1984 / Buffalo, NY / Salty Dog Skyroom Saloon",AUD,,,FLAC,
"7-16-1984 / Wildwood, NJ / Playpen - ANA(M) (unk)",AUD,,,FLAC,
"7-19-1984 / Boston, MA / Orpheum Theater (unk)",AUD,,,FLAC,
"7-19-1984 / Boston, MA / Orpheum Theater - ANA(M) (harwilmer) ",AUD,,,FLAC,
"7-21-1984 / New York, NY / Beacon Theatre",AUD,,,FLAC,
"7-21-1984 / New York, NY / Beacon Theatre",AUD,,,FLAC,
"7-21-1984 / New York, NY / Beacon Theatre",AUD,,,FLAC,
"7-22-1984 / New York, NY / Beacon Theatre",AUD,,,FLAC,
"7-24-1984 / Washington, D.C. / Warner Theater",AUD,,,FLAC,
"7-27-1984 / Greensboro, NC / War Memorial Auditorium",AUD,,,FLAC,
"7-28-1984 / Atlanta, GA / Fox Theater *Songs from Little America",SBD,,,FLAC,
"7-28-1984 / Atlanta, GA / Fox Theater",,,,FLAC,
"8-23-1984 / Charlotte, NC / Park Center (unk) (harwilmer)",AUD,,,FLAC,
"9-5-1984 / Pomona, CA / Pomona Valley Auditorium",AUD,,,FLAC,
"9-6-1984 / Los Angeles, CA / Greek Theater",AUD #1,,,FLAC,
"9-6-1984 / Los Angeles, CA / Greek Theater (unk) (harwilmer) ",AUD,,,FLAC,
"9-11-1984 / Boulder, CO / University of CO (unk)",AUD,,,FLAC,
"9-15-1984 / Oklahoma City, OK / The Bowery",AUD,,,FLAC,
"9-16-1984 / Dallas, TX / Bronco Bowl",AUD,,,FLAC,
"9-23-1984 / Charlotte, NC / Park Center",AUD,,,FLAC,
"9-25-1984 / Durham, NC / Page Auditorium - Duke University",SBD,2 sources,,FLAC,
"9-26-1984 / Durham, NC / Duke University *Unbelievable Music",Silver CD,,,FLAC,
"9-26-1984 / Durham, NC / Duke University",SBD,,,FLAC,
"9-26-1984 / Durham, NC / Duke University (unk)",SBD #1,,,FLAC,
"9-26-1984 / Durham, NC / Duke University - Page Auditorium - ANA(x) ",AUD,,,FLAC,
"9-28-1994 / Tampa, FL / USF Soccer Field",SBD,2 sources,,FLAC,
"9-29-1984 / Boca Raton, FL / Florida Atlantic University",SBD,2 sources,,FLAC,
"10-2-1984 / New Orleans, LA / McAllister Auditorium - Tulane University",AUD,,,FLAC,
"10-8-1984 / Ann Arbor, MI / Michigan Theater",FM,,,FLAC,
"10-8-1984 / Ann Arbor, MI / Michigan Theater",,,,FLAC,
"10-12-1984 / Passaic, NJ / Capitol Theatre",AUD #1,,,FLAC,
"10-15-1984 / Amherst, NY / Fine Arts Center University of MA",AUD,,,FLAC,
"10-16-1984 / Providence, RI / Veterans Memorial Auditorium (Nak 300s) (tapetyrant)",AUD,,,FLAC,
"11-10-1984 / Yokohama, Japan / Yokohama Kokuritsu Daigaku (remaster)",AUD,,,FLAC,
"11-15-1984 / Newcastle, UK / Tiffany's Ballroom",AUD,,,FLAC,
"11-16-1984 / Edinburgh, Scotland / Caley Cinema",AUD,,,FLAC,
"11-17-1984 / Manchester, UK / Manchester Polytechnic",AUD,,,FLAC,
"11-18-1984 / Liverpool, UK / Royal Court Theatre",AUD,,,FLAC,
"11-21-1984 / Nottingham, England / Rock City",preFM,,,FLAC,
"11-23-1984 / Norwich, England / LCR - Union House - University of East Anglia (stonecutter archives)",AUD,,,FLAC,
"11-23-1984 / Norwich, England / LCR - Union House - University of East Anglia (unk)",AUD,,,FLAC,
"11-23-1984 / Norwich, England / LCR - Union House - University of East Anglia",SBD,,,FLAC,
"11-23-1984 / Norwich, England / LCR - Union House - University of East Anglia *A Clown on a Circus Mount (dream remaster)",SBD,,,FLAC,
"11-24-1984 / Colchester, UK / Student's Union - University of Essex",AUD,,,FLAC,
"11-26-1984 / Birmingham, UK / Debating Hall - University of Birmingham - Guild of Students",AUD,,,FLAC,
"11-29-1984 / Dunstable, UK / Queensway Hall",AUD,,,FLAC,
"12-2-1984 / London, England / Lyceum Ballroom",AUD,,,FLAC,
"12-4-1984 / Dublin, Ireland / SFX Centre",SBD,,,FLAC,
"12-6-1984 / Oslo, Norway / Circus - Chateau Neuf",AUD,,,FLAC,
"12-31-1984 / Atlanta, GA / Atlanta Civic Center",AUD,,,FLAC,
,,,,,
[1985],,,,,
"2-18-1985 / Atlanta, GA / Moonshadow Saloon",AUD,,,FLAC,
"4-26-1985 / Binghamton, NY / Binghamton University - West Gym (jeff ferro upgrade series vol. 12) (eckythump remaster) ",AUD,,,FLAC,
"4-26-1985 / Binghamton, NY / Binghamton University - West Gym (harwilmer collection vol. 10)",AUD,,,FLAC,
"4-27-1985 / Providence, RI / Brown University",AUD,,,FLAC,
"4-28-1985 / Piscataway, NJ / Busch Student Center - Rutgers University",AUD,,,FLAC,
"4-30-1985 / Madison, NJ / Baldwin Gymnasium - Drew University (unk)",AUD,,,FLAC,
"5-3-1985 / Cambridge, MA / New Ahtletic Center - MIT",AUD,,,FLAC,
"5-5-1985 / Amherst, NY / Alumni Arena - University Of Buffalo",AUD,,,FLAC,
