R.E.M.,Versions,,,File Type,
"10-4-2003 / New York, NY / Madison Square Garden",AUD,,,FLAC,
"10-5-2003 / Mansfield, MA / Tweeter Center for the Performing Arts",AUD,,,FLAC,
"10-7-2003 / New York, NY / Clinton Recording Studios - Studio A *A Joyful of Noice...",Silver CD,,,FLAC,
"10-8-2003 / Fairfax, VA / Patriot Center - George Mason University",AUD,,,FLAC,
"10-8-2003 / Fairfax, VA / Patriot Center - George Mason University",AUD,,,FLAC,
"10-10-2003 / Raleigh, NC / Alltel Pavilion at Walnut Creek",AUD,,,FLAC,
"10-11-2003 / Atlanta, GA / Phillips Arena",AUD,,,FLAC,
"10-14.15-2003 / London, UK / BBC Sessions",TV,,,FLAC,
"10-15-2003 / London, UK / BBC Radio 1-2",FM,,,FLAC,
"10-16-2003 / London, UK / Bush Hall",FM,,,FLAC,
"10-16-2003 / London, UK / Bush Hall (johnky)",FM,,,FLAC,
"10-19-2003 / Milan, Itally / MTV Italia Studios - MTV Supersonic",TV,,,FLAC,
"10-21-2003 / Madrid, Spain / Sala Pach",FM,,,FLAC,
"10-23-2003 / Cologne, Germany / Brainpool TV Studios",TV,,,FLAC,
"10-24-2003 / Nashville, TN / Ryman Auditorium",AUD,,,FLAC,
"10-25-2003 / Oslo, Norway / Fabrikken",AUD,,,FLAC,
"10-29-2003 / Hollywood, CA / Avalon Hollywood Theatre",SBD,,,FLAC,
,,,,,
[2004],,,,,
"9-14-2004 / London, England / Hammersmith Apollo",AUD,,,FLAC,
"9-15-2004 / London, UK / St. James Church - BBC",FM,,,FLAC,
"10-1-2004 / Philadelphia, PA / Wachovia Center",AUD,,,FLAC,
"10-2-2004 / Cleveland, OH / Gund Arena - Vote For Change",MTX,2 sources,,FLAC,
"10-3-2004 / Detroit, MI / Cobo Arena - Vote For Change",AUD,,,FLAC,
"10-5-2004 / St. Paul, MN / Xcel Energy Center",AUD,,,FLAC,
"10-8-2004 / Orlando, FL / TD Waterhouse Centre",AUD,,,FLAC,
"10-11-2004 / Washington, D.C. / MCI Center",TV,,,FLAC,
"10-13-2004 / Los Angeles, CA / Greek Theater",AUD,,,FLAC,
"10-14-2004 / Santa Barbara, CA / Santa Barbara Bowl",AUD,,,FLAC,
"10-15-2004 / Berkeley, CA / Greek Theatre",AUD,,,FLAC,
"10-19-2004 / St. Louis, MO / Fox Theatre",AUD,,,FLAC,
"10-20-2004 / Indianapolis, IN / Murat Theatre - The Murat Centre",AUD,,,FLAC,
"10-25-2004 / Chicago, IL / Auditorium Theatre",AUD,2 sources,,FLAC,
"10-26-2004 / Chicago, IL / Auditorium Theatre",AUD,,,FLAC,
"10-27-2004 / Cincinnati, OH / Taft Theater",AUD,,,FLAC,
"10-29-2004 / Boston, MA / Fleet Center",AUD,,,FLAC,
"10-30-2004 / Atlantic City, NJ / Event Center Borgata Hotel Casino",AUD,,,FLAC,
"11-4-2004 / New York, NY / Madison Square Garden",AUD,,,FLAC,
"11-5-2004 / Uncasville, CT / Mohegan Sun Arena",AUD,,,FLAC,
"11-10-2004 / Toronto, Ontario / Hummingbird Center",AUD,,,FLAC,
"11-17-2004 / Calgary, Canada / Pengrowth Saddledome",AUD,,,FLAC,
"11-19-2004 / Seattle, WA / McCaw Hall",AUD,,,FLAC,
"11-26-2004 / Salt Lake City, UT / E Center",AUD,,,FLAC,
"11-27-2004 / Denver, CO / The Fillmore Auditorium",AUD,,,FLAC,
"12-3-2004 / Mexico City, MX / Palacio de los Deportes (MD)",AUD,,,FLAC,
,,,,,
[2005],,,,,
"1-7-2005 / Lisbon, Portugal / Pavilhawo Atlantico - Parque Das Nacoes",AUD,,,FLAC,
"1-8-2005 / Madrid, Spain / Palacio de Vistalegre",AUD,,,FLAC,
"1-9-2005 / Barcelona, Spain / Palau Sant Jordi",AUD,,,FLAC,
"1-15-2005 / Milan, Italy / Forum di Assago",AUD,,,FLAC,
"1-16-2005 / Bolzano, Italy / Palaonda",AUD,,,FLAC,
"1-17-2005 / Ljubljana, Slovenia / Hala Tivoli",AUD,,,FLAC,
"1-19-2005 / Zagreb, Croatia / Dom Sportova",AUD,,,FLAC,
"1-23-2005 / Prague, Czech Republic / Sazka Arena",AUD,,,FLAC,
"1-26-2005 / Tallinn, Estonia / Saku suurhall",AUD,,,FLAC,
"1-29-2005 / Helsinki, Finland / Hartwall Arena",AUD,,,FLAC,
"2-3-2005 / Rotterdam, The Netherlands / Ahoy",AUD,,,FLAC,
"2-4-2005 / Oberhausen, Germany / Konig-Pilsener Arena",AUD,,,FLAC,
"2-5-2005 / Hannover, Germany / TUI Arena",AUD,,,FLAC,
"2-8-2005 / Paris, France / Palais Omnisports de Paris Bercy",SBD,,,FLAC,
"2-11-2005 / Vienna, Austria / Stadthalle",AUD,,,FLAC,
"2-12-2005 / Stuttgart, Germany / Schleverhalle",AUD,,,FLAC,
"2-13-2005 / Leipzig, Germany / Arena Leipzig",AUD,,,FLAC,
"2-15-2005 / Berlin, Germany / Velodrom",AUD,,,FLAC,
"2-16-2005 / Copenhagen, Denmark / Forum",MTX,,,FLAC,
"2-17-2005 / Hamburg, Germany / Colorline Arena",AUD,,,FLAC,
"2-19-2005 / London, UK / Hammersmith Apollo",AUD,2 sources,,FLAC,
2-21-2005a / Mark Radcliff Interview,FM,,,FLAC,
"2-21-2005 / Sheffield, UK / Hallam FM Arena",AUD,,,FLAC,
"2-23-2005 / Birmingham, UK / National Exhibition Centre Arena",AUD,,,FLAC,
"2-25-2005 / Belfast, Ireland / The Odyssey Arena (inc)",SBD,,,FLAC,
"2-26-2005 / Dublin, Ireland / Point Depot",SBD,,,FLAC,
"2-27-2005 / Dublin, Ireland / The Point Depot",AUD,,,FLAC,
"3-16-2005 / Tokyo, Japan / Budokan",AUD,,,FLAC,
"3-17-2005 / Nagoya, Japan / Aichi-ken Geijutsu Gekijo (nakeddave)",AUD,,,FLAC,
"3-18-2005 / Osaka, Japan / Grand Cube Osake",AUD,,,FLAC,
"3-20-2005 / Wanchai, Hong Kong / Convention and Exhibition Centre",AUD,,,FLAC,
"3-28-2005 / Byron Bay, Australia / Red Devil Park - East Coast Blues and Roots Festival",AUD,,,FLAC,
"3-29-2005 / Brisbane, Australia / Entertainment Centre",AUD,2 sources,,FLAC,
"3-31-2005 / Sydney, Australia / Entertainment Centre",AUD,,,FLAC,
"4-1-2005 / Sydney, Australia / Sydney Entertainment Centre",AUD,,,FLAC + AVI,Video
"4-1-2005 / Sydney, Australia / Entertainment Centre (amy)",AUD,,,FLAC,
"4-3-2005 / Melbourne, Australia / Rod Laver Arena",AUD,3 sources,,FLAC,
"4-6-2005 / Adelaide, Australia / Entertainment Centre",AUD,,,FLAC,
"5-25-2005 / Granada, Spain / Estadio de los Carmenes",AUD,,,FLAC,
"5-28-2005 / Zaragoza, Spain / Feria de Muestras Car Parking",AUD,,,FLAC,
"5-29-2005 / Gijon, Spain / Hipodromo Municipal de Las Mestas",AUD,,,FLAC,
"6-1-2005 / Magdeburg, Germany / Megdeburg - Domplatz",AUD,,,FLAC,
"6-3-2005 / Nurburg, Germany / Nurburgring Racetrack - Rock AM Ring",,,,DVD,
"6-5-2005 / Graz, Austria / Schwarzl Freizeitzentrum",AUD,,,FLAC,
"6-10-2005 / Rome, Italy / Stadio Olimpico",AUD,,,FLAC,
"6-11-2005 / Imola, Italy / Autodromo Internazionale Enzo e Dino Ferrari",AUD,,,FLAC,
"6-14-2005 / Glasgow, Scotland / Glasgow Green",AUD,,,FLAC,
"6-15-2005 / Sheffield, UK / Hallam FM Arena",AUD,,,FLAC,
"6-17-2005 / Manchester, UK / Lancashire Cricket Ground",AUD,,,FLAC,
"6-18-2005 / Loch Lomond, Scotland / Balloch Castle Country Park",AUD,,,FLAC,
"6-19-2005 / Dublin, Ireland / Ardgillan Castle",AUD,,,FLAC,
"6-25-2005 / Horsens, Denmark / Horsens Stadium",AUD,,,FLAC,
"6-28-2005 / Bonn, Germany / Museumplatz",AUD,,,FLAC,
"6-29-2005 / Dresden, Germany / Elbufer",AUD,,,FLAC,
"7-2-2005 / St. Gallen, Switzerland / St. Gallen Open Air - FM Swiss Radio",FM,,,FLAC,
"7-3-2005 / Werchter, Belgium / Rock Werchter Festival",FM,,,FLAC,
"7-5-2005 / East Yorkshire, England / Hull KC Stadium",AUD,,,FLAC,
"7-8-2005 / Ipswich, England / Portman Road",AUD,,,FLAC,
"7-16-2005 / London, UK / Hyde Park ",MTX,FM,3 sources,FLAC,
"10-8-2005 / Athens, GA / Kingpin Bowling Alley",SBD,2 sources,,FLAC + DVD,Video
,,,,,
[2006],,,,,
"9-16-2006 / Atlanta, GA / 28th Annual GA Music Hall of Fame",TV,,,FLAC,
,,,,,
[2007],,,,,
"6-30-2007 / Dublin, Ireland / Olympia Theatre (Rehearsals - Night 1)",AUD,,,FLAC,
"7-1-2007 / Dublin, Ireland / Olympia Theatre",AUD,,,FLAC,
"7-3-2007 / Dublin, Ireland / Olympia Theatre",AUD,,,FLAC,
"7-4-2007 / Dublin, Ireland / Olympia Theatre (Rehearsals - Night 4)",AUD,,,FLAC,
"7-5-2007 / Dublin, Ireland / Olympia Theatre (Rehearsals - Night 5)",AUD,,,FLAC,
,,,,,
[2008],,,,,
"3-8-2008 / Big Cypress, FL / Langerado",AUD,,,FLAC,
"3-12-2008 / Austin, TX / Stubb's BBQ - SXSW",AUD,2 sources,,FLAC,
"3-13-2008 / Austin, TX / Studio 6A Jesse H Jones Communications Center - Austin City Limits",TV,2 sources,,FLAC + DVD,Video
"3-16-2008 / Milan, Italy / RAI Corso Sempione ",SBD,,,FLAC,
"3-18-2008 / Milan, Italy / Rolling Stones",TV,,,FLAC,
"3-20-2008 / Paris, France / Air Productions Studio 128",AUD,,,FLAC,
"3-24-2008 / London, UK / Royal Albert Hall - Encores (BBC Radio 2)",FM,,,FLAC,
"3-26-2008a / London, UK / Yalding House (BBC Session Interview)",FM,,,FLAC,
"3-26-2008 / London, UK / Apple Store Regent Street (Original Broadcast)",FM,,,FLAC,
"3-28-2008 / Paris, France / Taratata TV (France 2)",TV,,,FLAC,
"4-2-2008 / New York, NY / NEP Studio 54 - Colbert Report",TV,,,FLAC,
"5-29-2008 / Hollywood, CA / Hollywood Bowl",AUD,,,FLAC,
"5-31-2008 / Berkeley, CA / Greek Theatre",AUD,2 sources,,FLAC,
"6-1-2008 / Berkeley, CA / Greek Theatre",AUD,,,FLAC,
"6-3-2008 / Morrison, CO / Red Rocks Amphitheatre",AUD,,,FLAC,
"6-5-2008 / St. Paul, MN / Xcel Energy Center",AUD,,,FLAC,
"6-6-2008 / Chicago, IL / United Center",AUD,,,FLAC,
"6-8-2008 / Toronto, Ontario / Molson Amphitheatre",AUD,,,FLAC,
"6-11-2008 / Columbia, MD / Merriweather Post Pavilion",AUD,,,FLAC,
"6-13-2008 / Boston, MA / Tweeter Center",AUD,,,FLAC,
"6-14-2008 / Wantagh, NY / Jones Beach Amphitheater",AUD,,,FLAC,
"6-18-2008 / Philadelphia, PA / Mann Center for the Performing Arts",AUD,,,FLAC,
"6-19-2008 / New York, NY / Madison Square Garden",AUD,,,FLAC,
"7-3-2008 / Werchter, Belgium / Festivalpark",AUD,,,FLAC,
"7-8-2008 / Lyon, France / Theatre Antique de Fourviere (Soundcheck)",IEM,,,FLAC,
"7-12-2008 / Kildare, Ireland / Oxygen Festival",FM,,,FLAC,
"7-13-2008 / Balado, UK / Balado Airfield - T in the Park",AUD,,,FLAC,
"7-15-2008 / Dresden, Germany / Elbufer",WEB,2 sources,,FLAC,
"7-16-2008 / Berlin, Germany / Waldbuhne",FM,2 sources,,FLAC,
"7-18-2008 / Locarno, Switzerland / Piazza Grande",AUD,,,FLAC,
"7-20-2008 / Perugia, Italy / Arena Santa Giuliana - Umbria Jazz 08",AUD,,,FLAC,
"7-21-2008 / Verona, Italy / Arena di Verona",AUD,,,FLAC,
"7-21-2008 / Verona, Italy / Arena di Verona - MD(M) (Sony ECM717) (mrdr) (MRDR Master Volume 180)",AUD,,,FLAC,
"7-26-2008 / Milan, Italy / Arena Civica - Milano Jazzin' Festival",AUD,,,FLAC,
"7-27-2008 / Nyon, Switzerland / Paleo Festival",FM,,,FLAC,
"8-14-2008 / Salzburg, Austria / FM4 Frequency Festival",AUD,,,FLAC,
"8-16-2008 / Budapest, Hungary / Sziget Festival",AUD,,,FLAC,
"8-19-2008 / Stuttgart, Germany / Neues Schloss - Ehrenhof",AUD,,,FLAC,
"8-20-2008 / St. Goarshausen, Germany / Loreley Amphitheatre - Loreley Open Air",AUD,,,FLAC,
"8-22-2008 / Wurzburg, Germany / Residenzplatz",AUD,,,FLAC,
"8-24-2008 / Manchester, UK / Lancashire County Cricket Club",AUD #1,AUD #2,,FLAC,
"8-25-2008 / Cardiff, Wales / Cardiff International Arena",AUD,,,FLAC,
"8-28-2008 / Paris, France / Rock en Seine - Domaine National de Saint-Cloud",AUD,,,FLAC,
"8-30-2008 / London, England / Twickenham Stadium",AUD,,,FLAC,
"9-3-2008 / Oslo, Norway / Vallhall Arena",AUD,,,FLAC,
"9-4-2008 / Bergen, Norway / Bergenhus Festning",AUD,,,FLAC,
"9-6-2008 / Copenhagen, Denmark / Copenhagen Parken",AUD,,,FLAC,
"9-7-2008 / Stockholm, Sweden / Globen",AUD,,,FLAC,
"9-9-2008 / Helsinki, Finland / Finnair Stadium",AUD,,,FLAC,
"9-11-2008 / Tallinn, Estonia / Saku Suurhall",AUD,,,FLAC,
"9-12-2008 / Riga, Latvia / Riga Arena",AUD,,,FLAC,
"9-17-2008 / Oberhausen, Germany / Konig-Pilsener Arena",AUD,,,FLAC,
"9-18-2008 / Hamburg, Germany / Color Line Arena",AUD,,,FLAC,
"9-20-2008 / Esch-sur-Alzette, Luxembourg / Main Hall - Rockhal",AUD,,,FLAC,
"9-21-2008 / Geneva, Switzerland / Geneva Arena",AUD,,,FLAC,
"9-23-2008 / Munich, Germany / Olympiahalle",AUD,,,FLAC,
"9-24-2008 / Zurich, Switzerland / Hallenstadion",AUD,,,FLAC,
"9-26-2008 / Bologna, Italy / Casalecchio di Reno",AUD,,,FLAC,
"9-27-2008 / Turin, Italy / Palaolimpico",AUD,,,FLAC,
"10-1-2008 / Madrid, Spain / Plaza del Toros",AUD,,,FLAC,
"10-5-2008 / Athens, Greece / Kallimarmaro Panathinaiko Stadium",TV,,,FLAC,
"10-24-2008 / Grand Prairie, TX / Nokia Live",AUD,,,FLAC,
"11-3-2008 / Santiago, Chile / Movistar Arena (Night 1)",AUD,PRO,,FLAC+DVD,Video
"11-4-2008 / Santiago, Chile / Movistar Arena (Night 2)",AUD,,,FLAC,
"11-11-2008 / Sao Paulo, Brazil / Via Funchal",AUD,,,FLAC,
"11-18-2008 / Mexico City, MX / Auditorio Nacional (Encores Only - Last Gig)",SBD,,,FLAC,
,,,,,
[2009],,,,,
"3-11-2009 / New York, NY / Carnegie Hall (R.E.M. Tribute)",AUD,,,FLAC,
,,,,,
,,,,,
[MISC],,,,,
1980-1981 - Garage Years,,,,FLAC,
1981-1982-XX-XX - Down South,Vinyl,,,FLAC,
XX-XX-1984 / Little America,Silver CD,,,FLAC,
REM - Cassette Set - April 1991 (Studio),,,,FLAC,
1988-1996 - Fanclub Singles V1,,,,FLAC,
1997-2004 - Fanclub Singles V2,,,,FLAC,
REM - Accelerating Backwards,PRO,,,DVD,
,,,,,
,,,,,
**OUTTAKES**,,,,,
REM - Chronic Town - Rough Mixes,SBD,,,FLAC,
REM - Chronic Murmurings (1981),SBD,,,FLAC,
REM - Murmur Studio Outtakes,SBD,,,FLAC,
REM - Out of Time - Studio Outtakes (Edited),SBD,,,FLAC,
REM - New York - Bearsville Studios - Outtakes of Time (Studio),SBD,,,FLAC,
REM - Time of Outtakes (Studio),,,,FLAC,
,,,,,
,,,,,
**SILVERS**,,,,,
R.E.M. - 1984-XX-XX - Little America ,Silver CD,,,FLAC,
R.E.M. - Acoustic '87 (1992) (NUN 004) ,Silver CD,,,FLAC,
R.E.M. - Freak Marmalade (1996) (KRCD 12) ,Silver CD,,,FLAC,
R.E.M. - Hitting The Note (1994) (BKCD076),Silver CD,,,FLAC,
R.E.M. - Losing My Religion (Vol. 3) (1993) (BAN-042-C),Silver CD,,,FLAC,
R.E.M. - Rock Perugia (1991) (IST 11),Silver CD,,,FLAC,
R.E.M. - The Dream (1991) (RPCD 1028),Silver CD,,,FLAC,
R.E.M. - The Real Ultra Rare Tracks (NBN 1),Silver CD,,,FLAC,
R.E.M. - Unfettered (1998) (UFCD 1098),Silver CD,,,FLAC,
R.E.M. - Unreleased Live LP,Silver CD,,,FLAC,
,,,,,
,,,,,
**DEMOS**,,,,,
4-XX-1981 - Bonanza Demos,,,,FLAC,
1981-1984 - Demos Volume 1,,,,FLAC,
1988-1989 - Finest Worksongs Demos (Studio),,,,FLAC,
"XX-XX-1986 / Athens, GA - Life's Rich Pageant & More [Demos]",,,,FLAC,
REM - The Essential Demos Vol. 1,Silver CD,,,FLAC,
REM - Document Demos (1987),SBD,,,FLAC,
REM - Elliot Mazer Demos (1983),SBD,,,FLAC,
REM - Rhythmic Studios Demos (1983),SBD,,,FLAC,
"REM - Green Demos (1986) - Atlanta, GA / John Keane Studios",SBD,,,FLAC,
XX-XX-1988 / The Complete Green Demos (Upgraded),,,,FLAC,
"XX-XX-1986 / Atlanta, GA - John Keane Studios (Green Demos Upgrade)",,,,FLAC,
"REM - Up Demos (4/1998) - San Francisco, CA / Toast Studio (Remastered)",SBD,,,FLAC,
,,,,,
,,,,,
**VARIOUS**,,,,,
Black Session (WCRS-2001-001),,,,FLAC,
Cassette Set (1981),,,,FLAC,
Covering Them (PSCD-1260),,,,FLAC,
2-17-1983 / Reflection Studio,,,,FLAC,
Half A World Away Part 1: 1988-1991 (MONG CD007A),,,,FLAC,
Life's Rich Pageant and More (WAI 022),,,,FLAC,
Low,,,,FLAC,
Monster - Completely Live Through the Years (1995-2008),,,,FLAC,
Murmur - Completely Live Through the Years (1981-2008),,,,FLAC,
Night Time Session (3-13-1991),SBD,,,FLAC,
Nightswimming - Greatest Hits Live,,,,FLAC,
"Poets of the Wheat (4-29-1989) Miami + Orlando, FL ",preFM,,,FLAC,
R.E.M.nants - The Complete Rarities Collection (12CD),,,,FLAC,
Ultra Rare Trax,,,,FLAC,
Unreleased Live LP (1984),SBD,,,FLAC,
REMTV (6xDVD) 2014-1,Official Release,,,DVD,
,,,,,
,,,,,
,,,,,
,,,,,
Michael Stipe,Versions,,,File Type,Drive - D
,,,,,
[2014],,,,,
"12-29-2014 / New York, NY / Webster Hall",AUD #1,,,FLAC,
"12-30-2014 / New York, NY / Webster Hall",AUD  ,2 sources,,FLAC,
"12-30-2014 / New York, NY / Webster Hall",,,,,
,,,,,
[2015],,,,,
"12-29-2015 / San Francisco, CA / Fillmore",AUD,,,FLAC,
"12-30-2015 / San Francisco, CA / Fillmore",AUD,,,FLAC,
