John Mayer,Versions,File Type,
"3-1-2007 / New York, NY / Robin Hood Foundation Benefit (Edirol R-09) (docoboc)",AUD,FLAC,
"4-17-2007 / Toronto, Canada / XM Artist Confidential ",FM,FLAC,
"5-5-2007 / New Orleans, LA / Fair Grounds Race Course",WEB,FLAC,
"6-2-2007 / George, WA / Gorge Amphitheatre (Edirol R-09) (docoboc)",AUD,FLAC,
"6-5-2007 / San Jose, CA / HP Pavilion (Sony ECM 719) (debbie ocoboc)",AUD,FLAC,
"6-10-2007 / Hollywood, CA / Hollywood Bowl (Schoeps MK4) (jon koch) ",AUD,FLAC,
6-11-2007 / Star 98.7 Lounge,FM,FLAC,
"6-19-2007 / Bonner Springs, KS / Verizon Wireless Amphitheatre (MBHO KA200N) (brian price)",AUD,FLAC,
"6-23-2007 / Houston, TX / Cynthia MItchell Woodlands Pavilion (DPA 4023) (matt anderson)",AUD,FLAC 24,
"6-28-2007 / Chicago, IL / Charter One Pavilion (Schoeps MK4) (crumbo)",AUD,FLAC 24,
"6-29-2007 / Chicago, IL / Charter One Pavilion (Schoeps MK4) (crumbo)",AUD,FLAC 24,
"6-30-2007 / Noblesville, IN / Deer Creek (Schoeps MK4) (crumbo) ",AUD,FLAC 24,
"7-1-2007 / Cuyahoga Falls, OH / Blossom Music Center (Schoeps MK4) (crumbo) ",AUD,FLAC 24,
"7-3-2007 / Milwaukee, WI / Marcus Amphitheater (DPA 4023) (george wang)",AUD,FLAC,
"7-4-2007 / Chicago, IL / Petrillo Music Shell ",FM,FLAC,
"7-5-2007 / Auburn Hills, MI / Palace of Auburn Hills (Schoeps MK4s) (sam lincoln) ",AUD,FLAC,
"7-14-2007 / Hartford, CT / New England Dodge Music Center (Audix M1290) (jason johnson)",AUD,FLAC,
"7-14-2007 / Hartford, CT / New England Dodge Music Center (CA-STC-11) (kazmo kramer)",AUD,FLAC,
"7-15-2007/ Saratoga Springs, NY / Saratoga Performing Arts Center (AKG C1000s) (claude sawyer)",AUD,FLAC,
"7-15-2007 / Saratoga Springs, NY / Saratoga Springs Performing Arts Cener (Beyer Dynamic MC 930) (daniel godwin)",AUD,FLAC,
"7-21-2007 / Hershey, PA / Hershey Park Stadium (SPC4) (reconvert) (tom g.)",AUD,FLAC,
"7-22-2007 / Atlantic City, NJ / The Borgata Casino, Hotel & Spa (DPA 4015-TL) (christopher jones)",AUD,FLAC,
"7-23-2007 / New York, NY / WPLJ Acoustic Cafe (chris migliaccio) ",FM,FLAC,
7-25-2007 / Washington DC / Verizon Center (Sennheiser MKH-800s) (timothy brown) ,AUD,FLAC,
"7-28-2007 / Bridgeview, IL / Toyota Park (Sony MZ-NF610) (roy) ",AUD,FLAC,
"8-4-2007 / Pelham, AL / Verizon Wireless Amphitheatre (JW mod AKG 460-CK61) (dennis tyler & jeff hatcher)",AUD,FLAC,
"8-4-2007/ Pelham, AL / Verizon Wireless Amphitheater (AKG 414ULS) (jeff hatcher) ",AUD,FLAC,
"9-6-2007 / Blacksburg, VA / Lane Stadium - Virginia Tech (Oktava MC012) (ron powell)",AUD,FLAC,
"9-6-2007 / Blacksburg, VA / Lane Stadium - Virginia Tech (Sennheiser MKH-800s) (ian white)",AUD,FLAC,
"9-6-2007 / Blacksburg, VA / Virginia Polytechnic Institute - Lane Stadium (SPC4) (rockinman)",AUD,FLAC,
"10-24-2007 / Dallas, TX / Dallas Convention Center Arena (Neumann KM100) (ofotd)",AUD,FLAC,
"10-27-2007 / Mountain View, CA / Shoreline Amphitheatre - 21st Annual BSB (Sony ECM 719) (debbie ocoboc)",AUD,FLAC,
"10-27-2007 / Mountain View, CA / Shoreline Amphitheatre (Schoeps MK4) (josephine) ",AUD,FLAC,
"10-28-2007 / Mountain View, CA / Shoreline Amphitheatre (Schoeps) (unk)",AUD,FLAC,
"10-28-2007 / Mountain View, CA / Shoreline Amphitheatre (Sony ECM 719) (debbie ocoboc)",AUD,FLAC,
,,,
[2008],,,
"7-1-2008 / Maryland Heights, MO / Verizon Wireless Amphitheatre (Sony ECM-719) (monica moehring)",AUD,FLAC,
"7-5-2008 / Noblesville, IN / Verizon Wireless Music Center (Studio Projects C4) (mike peters)",AUD,FLAC,
"7-6-2008 / Rothbury, MI / Rothbury Festival (Schoeps MK41s) (sam lincoln)",AUD,FLAC,
"7-10-2008 / Camden, NJ / Susquehanna Bank Center (AKG 460 mods) (rockinman)",AUD,FLAC,
"7-12-2008 / Mansfield, MA / Comcast Center (CA-11s) (vanark)",AUD,FLAC,
"7-15-2008 / Holmdel, NJ / PNC Bank Arts Center (Sony ECM 719) (amy)",AUD,FLAC,
"7-18-2008 / Tinley Park, IL / First Midwest Bank Amphitheatre (Sennheiser MKH 8040) (crumbo)",AUD,FLAC 24,
"7-20-2008 / Commerce City, CO / Dick's Sporting Goods Park (Edirol) (samuel garcia) ",AUD,FLAC,
"7-23-2008 / Paso Robles, CA / California Mid-State Fair (Sony ECM-719) (debbie ocoboc)",AUD,FLAC,
"7-25-2008 / Marysville, CA / Sleep Train Amphitheatre (Sony ECM-719) (debbie ocoboc)",AUD,FLAC,
"7-26-2008 / Mountain View, CA / Shoreline Amphitheatre (Sony ECM-719) (debbie ocoboc)",AUD,FLAC,
"7-27-2008 / Irvine, CA / Irvine Meadows (Sony ECM-719) (debbie ocoboc)",AUD,FLAC,
"7-29-2008 / Chula Vista, CA / Cricket Wireless Amphtheatre (Sony ECM-719) (debbie ocoboc)",AUD,FLAC,
"7-30-2008 / Phoenix, AZ / Cricket Wireless Pavilion (Sony ECM-719) (debbie ocoboc)",AUD,FLAC,
"8-1-2008 / Dallas, TX / Superpages.com Center (Sony ECM-719) (debbie ocoboc)",AUD,FLAC,
"8-2-2008 / Woodlands, TX / Cynthia Woods Mitchell Pavilion (DPA 4023) (justin kacz)",AUD,FLAC,
"8-2-2008 / Woodlands, TX / Woodlands Pavilion (DPA 4021) (ofotd)",AUD,FLAC,
"8-19-2008 / Charlotte, NC / Verizon Wireless Amphitheatre (Neumann AK40) (brian hadella)",AUD,FLAC,
"8-19-2008 / Charlotte, NC / Verizon Wireless Amphitheatre (Shure SM81s) (gary burdick) ",AUD,FLAC,
"8-22-2008 / Darien Center, NY / Darien Lake Performing Arts Center (AT 4041s) (seth nochajski)",AUD,FLAC,
"8-23-2008 / Hartford, CT / Dodge Music Center (AKG C1000s) (crupi)",AUD,FLAC,
"8-23-2008 / Hartford, CT / New England Dodge Center (AKG481) (kazmo kramer)",AUD,FLAC,
"8-24-2008 / Atlantic City, NJ / Borgata Hotel Casino & Spa (Schoeps MK41) (unk)",AUD,FLAC,
"8-25-2008 / Saratoga Springs, NY / Saratoga Performing Arts Center (AKG C1000s) (claude sawyer)",AUD,FLAC,
"8-30-2008 / Tampa, FL / Ford Amphitheatre (Sennheiser MKE) (tom ierna)",AUD,FLAC 24,
"8-31-2008 / West Palm Beach, FL / Cruzan Amphitheatre (CA-9100) (mattrix) ",AUD,FLAC,
"12-6-2008 / Los Angeles, CA / Nokia Theater (unk)",AUD,FLAC,
,,,
[2009],,,
"11-16-2009 / Brooklyn, NY / Music Hall of Williamsburg (Gefell M200s) (keith)",AUD,FLAC,
"11-24-2009 / Toronto, ON / Sound Academy - Canadian Battle Studies Release Show",SBD,FLAC,
,,,
[2010],,,
"1-13-2010 / Amsterdam, The Netherlands / Heineken Music Hall (Sennheiser MKE2)",AUD,FLAC,
"1-13-2010 / Amsterdam, The Netherlands / Heineken Music Hall",FM,FLAC,
"2-4-2010 / Sunrise, FL / Bank Atlantic Center (Schoeps CCM4s) (unk)",AUD,FLAC,
"2-5-2010 / Tampa, FL / St. Pete Times Forum (Shure MX184s) (francis novoa)",AUD,FLAC,
"2-8-2010 / North Charleston, SC / North Charleston Coliseum (Busman Mod Oktava MC-012) (unk)",AUD,FLAC,
"2-12-2010 / Auburn Hills, MI / Palace of Auburn Hills (Schoeps MK4) (unk)",AUD,FLAC 24,
"2-24-2010 / Boston, MA / TD Garden (CA-11s) (vanark)",AUD,FLAC,
"2-25-2010 / New York, NY / Madison Square Garden (DPA 4015-TL) (christopher jones)",AUD,FLAC,
"2-26-2010 / New York, NY / Madison Square Garden (DPA 4015-TL) (christopher jones)",AUD,FLAC,
"2-28-2010 / Grand Rapids, MI / Van Andel Arena (Schoeps MK4) (sam lincoln) ",AUD,FLAC 24,
"3-1-2010 / Milwaukee, WI / Bradley Center (Zoom H2) (unk)",AUD,FLAC,
"3-5-2010 / Oklahoma City, OK / Ford Center (AKG 483) (ofotd)",AUD,FLAC,
"3-6-2010 / Houston, TX / The Toyota Center (DPA 4021) (justin kacz)",AUD,FLAC,
"3-9-2010 / Dallas, TX / American Airlines Center (AKG 483) (ofotd) ",AUD,FLAC,
"3-12-2010 / Columbus, OH / Nationwide Arena (AKG 480 CK63) (jedinak)",AUD,FLAC,
"3-13-2010 / Louisville, KY / Freedom Hall (AT831s) (geneva weaver) ",AUD,FLAC,
"3-17-2010 / Atlanta, GA / Philips Arena (Schoeps CCM4Vs) (z-man)",AUD,FLAC,
"3-22-2010 / Kansas City, MO / Sprint Center (Beyerdynamic MC930s) (michael b lindsay)",AUD,FLAC 24,
"4-8-2010 / Fargo, ND / Fargodome (Sony mic) (pam)",AUD,FLAC,
"4-10-2010 / Chicago, IL / United Center (CA-14s) (diamonds) ",AUD,FLAC,
"5-11-2010 / Tokyo, Japan /  JCB Hall - Battle Water 2010 (Night 1)",AUD,M4A,
"5-12-2010 / Tokyo, Japan /  JCB Hall - Battle Roads (Night 2)",AUD,M4A,
"5-13-2010 / Tokyo, Japan /  JCB Hall - Battle Bridges (Night 3)",AUD,M4A,
"5-13-2010 / Tokyo, Japan / JCB Hall (AT9900) (unk)",AUD,FLAC,
"7-16-2010 / Charlotte, NC / Verizon Wireless Amphitheatre (DPA 4023) (george wang)",AUD,FLAC,
"7-16-2010 / Charlotte, NC / Verizon Wireless Amphitheatre (DPA 4023) (brian hadella)",AUD,FLAC,
"7-17-2010 / Raleigh, NC / Time Warner Cable Music Pavilion at Walnut Creek (DPA 4023) (george wang) ",AUD,FLAC,
"7-21-2010 / Wantagh, NY / Jones Beach Amphitheatre (Schoeps CCM4Vs) (z-man)",AUD,FLAC,
"7-30-2010 / Camden, NJ / Susquehanna Bank Center (AKG 460 mods) (rockinman) ",AUD,FLAC,
"7-31-2010 / Bristow, VA / Jiffy Lube Live (AKG460mods) (rockinman)",AUD,FLAC,
"8-4-2010 / Bethel, NY / Bethel Woods Center for the Arts (AKG C1000) (claude sawyer)",AUD,FLAC,
"8-4-2010 / Bethel, NY / Bethel Woods Center For The Arts (Schoeps MK41s) (keith litzenberger) ",AUD,FLAC,
"8-5-2010 / Hershey, PA / Hersheypark Stadium (AKG 460mods) (rockinman)",AUD,FLAC,
"8-7-2010 / Hartford, CT / Comcast Theatre (DPA 4025-TL) (christopher jones)",AUD,FLAC,
"8-7-2010 / Hartford, CT / Comcast Theatre (Beyer Dynamics MC-930s) (steve walkuski)",AUD,FLAC,
"8-8-2010 / Saratoga Springs, NY / Saratoga Performing Arts Center (AKG C1000) (claude sawyer)",AUD,FLAC,
"8-8-2010 / Saratoga Springs, NY / Saratoga Performing Arts Center (DPA 4015-TL) (christopher jones)",AUD,FLAC,
"8-14-2010 / Tinley Park, IL / FMBP (Zoom H2) (unk)",AUD,FLAC,
"8-15-2010 / Noblesville, IN / Verizon Wireless Music Center (Shure KSM109s) (mike peters)",AUD,FLAC,
"8-18-2010 / Phoenix, AZ / Cricket Pavilion (CA-11) (u22utoo)",AUD,FLAC,
"8-22-2010 / Hollywood, CA / Hollywood Bowl (AKG CK63) (duh vid)",AUD,FLAC,
"8-22-2010 / Hollywood, CA / Hollywood Bowl (Schoeps MK41) (b. weaver)",AUD,FLAC,
"9-4-2010 / Dallas, TX / Superpages.com Center (Schoeps MK41) (b. weaver)",AUD,FLAC,
"9-5-2010 / The Woodlands, TX / Cynthia Woods-Mitchell Pavilion (DPA 4021) (justin kacz) ",AUD,FLAC,
,,,
[2013],,,
