Smashing Pumpkins,Versions,File Type,
"9-21-2007 / Ridgefield, WA / The Amphitheater at Clark County (Nakamichi CM300s) (chris mcgrath)",AUD,FLAC,
"9-21-2007 / Ridgefield, WA / The Amphitheater at Clark County (CSB) (nathan crosby)",AUD,FLAC,
"9-21-2007 / Ridgefield, WA / The Amphitheater at Clark County",AMT #1,DVD,
"9-22-2007 / Seattle, WA / Qwest Field North Parking Lot (CSB) (nathan crosby)",AUD,FLAC,
"9-24-2007 / Vancouver, BC / PNE Forum (Sharp MD-MT15) (smashing0)",AUD,FLAC,
"9-28-2007 / Orem, UT / McKay Events Center (R09) (bobbin tb)",AUD,FLAC 24,
"9-28-2007 / Orem, UT / McKay Events Center (Sony HDR-SR5) (montelds)",AUD,DVD,
"9-30-2007 / Morrison, CO / Red Rocks Amphitheatre (Soundcheck) (Olympus WS100) (montelds) ",AUD,WMV,
"9-30-2007 / Morrison, CO / Red Rocks Amphitheatre (CSB) (brianblank)",AUD,FLAC,
"9-30-2007 / Morrison, CO / Red Rocks Amphitheatre (DSM-6S) (bg raves & homeless crisco)",AUD,FLAC,
"9-30-2007 / Morrison, CO / Red Rocks Amphitheatre (unk)",AUD #4,FLAC,
"10-2-2007 / St. Paul, MN / Roy Wilkins Auditorium - DAT(M) (CSB) (the fridge)",AUD,FLAC,
"10-2-2007 / St. Paul, MN / Roy Wilkins Auditorium (Schoeps MK4) (pjp)",AUD,FLAC,
"10-2-2007 / St. Paul, MN / Roy Wilkins Auditorium (SPC4s) (empty)",AUD,FLAC,
"10-2-2007 / St. Paul, MN / Roy Wilkins Auditorium - Digital8(M) (Sony TRV-330) (the fridge)",AUD,DVD,
"10-4-2007 / Normal, IL / Braden Auditorium (SP-BMC-12) (matt krueger & kevin kohl)",AUD,FLAC,
"10-4-2007 / Normal, IL / Braden Auditorium (CSB) (unk)",AUD,FLAC,
"10-4-2007 / Normal, IL / Braden Auditorium (SP-BMC-12) (unk)",AUD,FLAC,
"10-4-2007 / Normal, IL / Braden Auditorium (Schoeps MK41) (jcrab66)",AUD,FLAC,
"10-4-2007 / Normal, IL / Braden Auditorium",AMT #1,DVD,
"10-6-2007 / Noblesville, IN / Verizon Wireless Music Center (Oktava MC012) (frank quinto)",AUD,FLAC,
"10-7-2007 / Detroit, MI / Fox Theatre (Sony MZ-N707) (pintosack)",AUD,FLAC,
"10-9-2007 / Pittsburgh, PA / AJ Palumbo Center (AT853) (bryan schuff)",AUD,FLAC,
"10-11-2007 / Columbus, OH / Lifestyles Community Pavilion",AMT #1,DVD,
"10-13-2007 / Boston, MA / Orpheum Theatre (CSB) (nathan crosby)",AUD,FLAC,
"10-13-2007 / Boston, MA / Orpheum Theatre (CSB) (bennyblanco)",AUD,FLAC,
"10-13-2007 / Boston, MA / Orpheum Theatre (MK4) (zach payne)",AUD,FLAC,
"10-15-2007 / Boston, MA / Orpheum Theatre (Neumann AK40) (pg)",AUD,FLAC,
"10-15-2007 / Boston, MA / Orpheum Theatre (DPA 4021) (matt denardo)",AUD,FLAC 24,
"10-16-2007 / Boston, MA / Orpheum Theatre (Rode NT4) (jesse clark)",AUD,FLAC,
"10-16-2007 / Boston, MA / Orpheum Theatre (CSB) (bennyblanco)",AUD,FLAC 24,
"10-19-2007 / Upper Darby, PA / Tower Theater (SP-BMC-1) (xdx)",AUD,FLAC,
"10-19-2007 / Upper Darby, PA / Tower Theater (MK4s) (nickyc)",AUD,FLAC,
"10-19-2007 / Upper Darby, PA / Tower Theater (Schoeps MK4) (zach payne)",AUD,FLAC 24,
"10-21-2007 / Upper Darby, PA / Tower Theater (Schoeps MK4) (zach payne)",AUD,FLAC 24,
"10-21-2007 / Upper Darby, PA / Tower Theater (Source 1)",PRO,DVD,
"10-21-2007 / Upper Darby, PA / Tower Theater (Source 2)",PRO,DVD,
"10-22-2007 / Upper Darby, PA / Tower Theater (Schoeps MK4) (zach payne)",AUD,FLAC,
"10-23-2007 / Upper Darby, PA / Tower Theater (AKG CK93) (cabbage)",AUD,FLAC,
"10-23-2007 / Upper Darby, PA / Tower Theater (unk)",AMT #2a,DVD,
"10-25-2007 / Memphis, TN / Mud Island Amphitheater (Sharp 702) (ECM-717) (hypnoraygun)",AUD,MP3,
"10-27-2007 / New Orleans, LA / City Park - Voodoo Music Experience (AKG CK93) (cabbage)",AUD,FLAC,
"10-27-2007 / New Orleans, LA / City Park - Voodoo Music Experience (Schoeps MK4) (andrew fogelsong)",AUD,FLAC 24,
"10-27-2007 / New Orleans, LA / City Park - Voodoo Music Experience (Canon HV10) (cabbage)",AUD,DVD,
"10-28-2007 / Houston, TX / Cynthia Woods Mitchell Pavilion (Schoeps MK4) (andrew fogelsong)",AUD,FLAC 24,
"11-7-2007 / Athens, GA / Classic Center Theatre (PV-GS300) (shaggy28)",AUD,FLAC,
"11-7-2007 / Athens, GA / Classic Center Theatre (Panasonic PV-GS300)",AUD,DVD,
"11-8-2007 / Greensboro, NC / War Memorial Auditorium (Schoeps MK4) (robbie dunn)",AUD,FLAC,
"11-9-2007 / Columbia, SC / Township Auditorium (Neumann u89i) (baustin)",AUD,FLAC 24,
"11-11-2007 / Nashville, TN / Ryman Auditorium (SP-CMC-8) (walter269999)",AUD,FLAC,
"11-11-2007 / Nashville, TN / Ryman Auditorium (SP-BMC-3) (garrett)",AUD,FLAC,
"11-13-2007 / Austin, TX / The Backyard (DSM-6S) (bg raves/homeless crisco/1st mate kate)",AUD,FLAC,
"11-13-2007 / Austin, TX / The Backyard (Schoeps MK4) (andrew fogelsong)",AUD,FLAC 24,
"11-15-2007 / Atlanta, GA / Fox Theatre (DAB) (jill harrison)",AUD,FLAC,
"11-15-2007 / Atlanta, GA / Fox Theatre - MD(M) (MD recorder) (greg harvey)",AUD #2,FLAC,
"11-16-2007 / Atlanta, GA / Fox Theatre (DAB) (jill harrison)",AUD,FLAC,
"11-16-2007 / Atlanta, GA / Fox Theatre (Panasonic PV-GS29)",AUD,DVD,
"11-18-2007 / Grand Prairie, TX / Nokia Theatre (DSM-6S) (bg raves)",AUD,FLAC,
"11-18-2007 / Grand Prairie, TX / Nokia Theatre (Sony ECM-717)",AUD,FLAC 24,
"11-18-2007 / Grand Prairie, TX / Nokia Theatre (Schoeps MK4) (andrew fogelsong)",AUD,FLAC 24,
"11-18-2007 / Grand Prairie, TX / Nokia Theatre (SPSC) (karl frinkle)",AUD,FLAC 24,
,,,
[2008],,,
"1-30-2008 / Prague, Czech Republic / Prague Sportovni Hala (T-Mobile Arena) (blink eye projects)",AUD,FLAC,
"1-30-2008 / Prague, Czech Republic / Prague Sportovni Hala - T-Mobile Arena",AUD,DVD,
"1-31-2008 / Vienna, Austria / Stadthalle (unk)",AUD,FLAC,
"2-2-2008 / Assago, Italy / DatchForum di Assago (unk)",AUD,MP3,
"2-2-2008 / Assago, IT - Datch Forum di Assago",AMT #1,DVD,
"2-3-2008 / Bologna, Italy / Palamalaguti, Casalecchio di Reno (AT853) (mlk)",AUD,FLAC,
"2-3-2008 / Bologna, Italy / Palamalaguti, Casalecchio di Reno (Sony ECM-719) (giuseppe pastorelli)",AUD,FLAC,
"2-3-2008 / Bologna, Italy / Palamalaguti, Casalecchio di Reno (streetspirit)",AUD,DVD,
"2-5-2008 / Zurich, Switzerland / Hallenstadion - WAV(M) (MBHO MBP 603 A) ",AUD,FLAC 24,
"2-6-2008 / Paris, France / Bercy (SP-CMC-8 + Edirol R09)",MTX,FLAC,
"2-6-2008 / Paris, France / Bercy (SP-CMC-8)",AUD,FLAC,
"2-6-2008 / Paris, France / Bercy (Sony ECM-MS 907)",AUD,FLAC,
"2-6-2008 / Paris, France / Bercy (Drown only)",AUD,AVI,
"2-12-2008 / Glasgow, UK / Sottish Exhibition and Conference Centre Hall (AT U853's) (spaldz)",AUD,FLAC,
2-13-2008 / BBC Radio 1 Interview (BBC Radio 1) (matt),WEB,FLAC,
"2-14-2008 / Nottingham, UK / Nottingham Arena (AT U853's) (spaldz)",AUD,FLAC,
"2-14-2008 / Nottingham, UK / Nottingham Arena (DPA 4061s) (rob)",AUD,FLAC,
"2-15-2008 / Manchester, UK / Manchester Evening News Arena (AT U853's) (spaldz)",AUD,FLAC,
"2-15-2008 / Manchester, UK / Manchester Evening News Arena (Sony TS-125) (leopheard_misc)",AUD,FLAC,
"2-16-2008 / London, UK / 02 Arena (Sony MZ-NH600) (Sony ECM-719) (zenith023)",AUD,FLAC,
"2-16-2008 / London, UK / 02 Arena (Sony HC47) (miky)",AUD,DVD,
"2-18-2008 / Den Bosch, The Netherlands / Brabanthallen (Edirol R-09) (bartsled)",AUD,FLAC,
"2-19-2008 / Brussels, Belgium / Vorst Nationaal (SP-CMC-4U) (bitdoursssss)",AUD,FLAC 24,
"2-19-2008 / Brussels, Belgium / Vorst Nationaal (Edirol R-09) (nikn)",AUD,MP3,
"2-21-2008 / Muenchen, Germany / Olympiahalle (MBHO MBP 603 A) (unk)",AUD,FLAC,
"2-22-2008 / Frankfurt, Germany / Jahrhunderthalle (Soundcheck) - MiniDV(M) (Panasonic NV-GS75) (cosmonaut)",AMT #1,FLAC,
"2-22-2008 / Frankfurt, Germany / Jahrhunderthalle (MBHO MBP 603 A) (unk)",AUD,FLAC 24,
"2-22-2008 / Frankfurt, Germany / Jahrhunderthalle (Soundcheck)",AMT #1,DVD,
"2-23-2008 / Berlin, Germany / Arena (OKM IIr)",AUD,FLAC,
"2-27-2008 / Copenhagen, Denmark / Valbyhallen (DPA 4061) (tj)",AUD,FLAC,
"2-29-2008 / Oslo, Norway / Oslo Spektrum (CSB)",AUD,FLAC,
"3-1-2008 / Stockholm, Sweden  Johanneshovs Isstadion (SP-CMC-8) (unk)",AUD,FLAC,
"3-1-2008 / Stockholm, Sweden / Hovet (Sony DCR-HC18E) (mrk)",AUD,DVD,
"3-20-2008 / Wellington, New Zealand / TSB Bank Arena (Sony ECM-717)",AUD,FLAC,
"3-20-2008 / Wellington, New Zealand / TSB Bank Arena (Sony DSR-PDX10P) (gazza987)",AUD,DVD,
"3-22-2008 / Auckland, New Zealand / Vector Arena (Sony ECM-717)",AUD,FLAC,
"3-22-2008 / Auckland, NZ / Vector Arena (unk)",AMT #1,DVD,
"3-24-2008 / Christchurch, New Zealand / Westpac Arena (Sony ECM-717)",AUD,FLAC,
"3-27-2008 / Sydney, Australia / Hordern Pavilion (SP-CMC-2) (tim)",AUD,FLAC,
"3-28-2008 / Sydney, Australia / Metro Theatre - MTV: The Lair",PRO #1,DVD,
"3-28-2008 / Sydney, Australia / Metro Theatre (UEC DCN1000)",SBD,FLAC 24,
"3-29-2008 / Sydney, Australia / Centennial Parklands (Sony ECM-MS907) (phil m.)",AUD,FLAC,
"3-29-2008 / Sydney, Australia / Centennial Parklands (SP-CMC-2) (tim)",AUD,FLAC,
"4-4-2008 / Melbourne, Australia / Festival Hall (inc) (Schoeps MK4)",AUD,FLAC 24,
"4-5-2008 / Melbourne, Australia / Melbourne RAS (Schoeps MK4) (autumn nocturne)",AUD,FLAC 24,
"4-6-2008 / Perth, Australia / V Festival Esplandade Outdoor (SP-SMC-8) (pyometronguts)",AUD,FLAC,
"8-7-2008 / Davenport, IA / Adler Theater (First Day Rehearsals)",SBD,FLAC,
"8-7-2008 / Davenport, IA / Adler Theater (First Day Rehearsals) (thir13en remaster)",SBD,FLAC,
"8-7-2008 / Davenport, IA / Adler Theater (First Day Rehearsals) (thir13en re-edit)",SBD,FLAC,
"8-8-2008 / Davenport, IA / The Adler (CSC) (bullet1979)",AUD,FLAC,
"8-8-2008 / Davenport, IA / The Adler (STC-11) (ralph bryant)",AUD,FLAC 24,
"8-8-2008 / Davenport, IA / The Adler (unk)",AUD,DVD,
"8-9-2008 / Hammond, IN / The Venue (Horseshoe Casino) (CSC) (bullet1979)",AUD,FLAC,
"8-9-2008 / Hammond, IN / The Venue (Horseshoe Casino) (Edirol R09) (jb)",AUD,FLAC 24,
"8-12-2008 / Louisville, KY / Louisville Palace Theater (Schoeps MK4v) (brent stober)",AUD,FLAC,
"8-12-2008 / Louisville, KY / Louisville Palace Theater (Sony DCR HC28 MiniDV) (brock666)",AUD,DVD,
"8-13-2008 / Knoxville, TN / Tennessee Theatre (Sony ECM-717) (the govner)",AUD,FLAC,
"8-15-2008 / Charlotte, NC / Ovens Auditorium (Zoom H4) (blankpage37)",AUD,FLAC,
"8-16-2008 / Charlottesville, VA / Charlottesville Pavilion (AKG CK93) (cabbage)",AUD,FLAC,
"8-16-2008 / Charlottesville, VA / Charlottesville Pavilion (DSM-6S) (bgraves)",AUD,FLAC,
"8-16-2008 / Charlottesville, VA / Charlottesville Pavilion (BSCS-L) (page)",AUD,FLAC,
"8-17-2008 / Raleigh, NC / Memorial Auditorium (Schoeps MK4) (robbie dunn)",AUD,FLAC,
"8-20-2008 / Clearwater, FL / Ruth Eckerd Hall (Dynamic Audio Condensers) (david reid)",AUD,FLAC 24,
"10-24-2008 / Hollywood, CA / Kodak Theatre - Jimmy Kimmel Live (Edirol R-09) (the manwich brothers)",AUD,FLAC,
"10-26-2008 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit (Schoeps) (unk)",AUD,FLAC,
"10-31-2008 / Columbus, OH / Newport Music Hall (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"10-31-2008 / Columbus, OH / Newport Music Hall (Edirol R-09) (unk)",AUD,FLAC,
"11-1-2008 / Cleveland, OH / Playhouse Square Center (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-3-2008 / Toronto, Ontario / Massey Hall (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-3-2008 / Toronto, Ontario / Massey Hall (Edirol R09) (splatto)",AUD,FLAC,
"11-3-2008 / Toronto, Ontario / Massey Hall (CA-11) (smashing0)",AUD,FLAC,
"11-4-2008 / Toronto, Ontario / Massey Hall (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-4-2008 / Toronto, Ontario / Massey Hall - WAV(M) (Edirol R09) (splatto)",AUD,FLAC,
"11-4-2008 / Toronto, Ontario / Massey Hall (CA-11) (smashing0)",AUD,FLAC,
"11-6-2008 / New York, NY / United Palace (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-6-2008a / New York, NY / WRXT Radio Interview",WEB,FLAC,
"11-6-2008 / New York, NY / United Palace - DAT(M) (DAB) (zach payne)",AUD,FLAC,
"11-7-2008 / New York, NY / United Palace (20th Anniversary Tour) (Nugs.net)",AUD,FLAC,Official Bootleg
"11-7-2008 / New York, NY / United Palace - DAT(M) (Schoeps MK4) (zach payne)",AUD,FLAC,
"11-8-2008 / Atlantic City, NJ / Borgata Resort Spa and Casino Event Center (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-11-2008 / Washington, D.C. / Constitution Hall (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-11-2008 / Washington, D.C. / Constitution Hall - MD(M) (DAB) (jeremy wilhide)",AUD,FLAC,
"11-11-2008 / Washington, D.C. / Constitution Hall (unk)",AUD,DVD,
"11-12-2008a / Washington, D.C. / DC101 Radio (a. stephens)",WEB,WMA,
"11-12-2008 / Washington, D.C. / Constitution Hall (AKG CK93) (cabbage)",AUD,FLAC,
"11-12-2008 / Washington, D.C. / Constitution Hall (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-12-2008 / Washington, D.C. / Constitution Hall (Canon FS300) (a. sevens)",AUD,MPG,
"11-14-2008 / Boston, MA / Wang Theater (CSB) (bennyblanco)",AUD,FLAC 24,
"11-14-2008 / Boston, MA / Citi Wang Theatre (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-15-2008 / Boston, MA / Citi Wang Theatre (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-16-2008 / Uncasville, CT / Mohegan Sun Arena",AUD,MP3,
"11-18-2008 / Chicago, IL / Chicago Theatre (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-19-2008a / Chicago, IL / WLS-AM Interview",WEB ,MP3,
"11-19-2008 / Chicago, IL / Chicago Theater (DSM-6S) (bgraves)",AUD,FLAC 24,
"11-19-2008 / Chicago, IL / Chicago Theatre (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-21-2008a / Chicago, IL / Q101 Interview",WEB,MP3,
"11-21-2008 / Chicago, IL / Auditorium Theatre (HEB 4060) (jb)",AUD,FLAC 24,
"11-21-2008 / Chicago, IL / Auditorium Theatre (Sony HDR-SR11) (ryan fisher)",AUD,MKV,
"11-21-2008 / Chicago, IL / Auditorium Theatre (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-24-2008 / Kansas City, MO / Midland Theatre (Sony MZ-RH1) (jesse lay)",AUD,WAV,
"11-24-2008 / Kansas City, MO / Midland Theater (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-25-2008 / Kansas City, MO / Midland Theatre (Sony MZ-RH1) (jesse lay)",AUD,WAV,
"11-25-2008 / Kansas City, MO / Midland Theater (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-26-2008 / St. Louis, MO / Fox Theatre (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-29-2008 / Las Vegas, NV / Pearl Theatre (Edirol R09) (the manwich brothers)",AUD,FLAC,
"11-29-2008 / Las Vegas, NV / The Pearl (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-30-2008 / San Diego, CA / RIMAC Arena (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"11-30-2008 / San Diego, CA / RIMAC Arena (Edirol R09) (the manwich brothers)",AUD,FLAC,
"12-1-2008 / Los Angeles, CA / A&E Studios - The Chris Isaac Hour (unk)",PRO #2,DVD,
"12-2-2008 / Universal City, CA / Gibson Amphitheater (Edirol R09) (the manwich brothers)",AUD,FLAC,
"12-2-2008 / Universal City, CA / Gibson Amphitheatre (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"12-3-2008 / Universal City, CA / Gibson Amphitheater (Edirol R09) (the manwich brothers)",AUD,FLAC,
"12-3-2008 / Universal City, CA / Gibson Amphitheater (DSM6)",AUD,FLAC,
"12-3-2008 / Universal City, CA / Gibson Amphitheatre (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"12-5-2008 / Denver, CO / Ogden Theatre (AKG CK63) (cooze & root productions)",AUD,FLAC,
"12-5-2008 / Denver, CO / Ogden Theatre (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"12-7-2008 / Chicago, IL / Aragon Ballroom (SP-CMC-2) (jake)",AUD,FLAC,
"12-7-2008 / Chicago, IL / Aragon Ballroom (CSB) (unk)",AUD,FLAC,
"12-7-2008 / Chicago, IL / Aragon Ballroom (Sony HDR-SR11) (ryan fisher)",AUD,MKV,
"12-7-2008 / Chicago, IL / Aragon Ballroom (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"12-8-2008 / Chicago, IL / Auditorium Theatre (Sony ECM-DS70P) (ryan fisher)",AUD,FLAC,
"12-8-2008 / Chicago, IL / Auditorium Theatre (Edirol R09) (the manwich brothers)",AUD,FLAC,
"12-8-2008 / Chicago, IL / Auditorium Theatre (20th Anniversary Tour) (Nugs.net)",SBD,FLAC,Official Bootleg
"12-8-2008 / Chicago, IL / Auditorium Theatre (unk)",AMT #1,DVD,
,,,
[2010],,,
"5-29-2010 / Los Angeles, CA / Coldwater Studios (In-studio webcast) (unk)",WWW #1,FLAC,
"6-30-2010 / Los Angeles, CA / Viper Room (Edirol R09) (unk)",AUD,FLAC,
"7-9-2010 / Columbus, OH / Newport Music Hall (CSB)",AUD,FLAC,
"7-10-2010 / Louisville, KY / Forecastle Festival (Neumann KM184) (brent stober)",AUD,FLAC,
"7-12-2010 / Baltimore, MD / Rams Head Live (DAB) (zach payne)",AUD,FLAC,
"7-12-2010 / Baltimore, MD / Rams Head Live (AKG CK93) (cabbage)",AUD,FLAC 24,
"7-13-2010 / Richmond, VA / The National (DAB)",AUD,FLAC 24,
"7-13-2010 / Richmond, VA / The National (Sennheiser) (cabbage)",AUD,FLAC 24,
"7-15-2010 / Norfolk, VA / The Norva (Sennheiser) (cabbage)",AUD,FLAC 24,
"7-20-2010 / Ft. Lauderdale, FL / Revolution Live (redpill)",AMT #1,DVD,
"7-21-2010 / Tampa, FL / The Ritz Ybor City (CSB) (markbot)",AUD,FLAC,
"7-26-2010 / New York, NY / Terminal 5 (Schoeps MK4) (zach payne)",AUD,FLAC,
"7-26-2010 / New York, NY / Terminal 5 (Sennheiser) (cabbage)",AUD,FLAC 24,
"7-26-2010 / New York, NY / Terminal 5 (Multi-cam)",PRO,DVD,
"7-27-2010 / Chicago, IL / The Metro (AT831s) (dieselboypunker)",AUD,FLAC,
"7-27-2010 / Chicago, IL / The Metro (Tascam DR-07) (cajunjoe)",AUD,FLAC,
"8-7-2010 / Chiba, Japan / Summer Sonic (Sound Professionals) (eric agnew)",AUD,FLAC 24,
"8-10-2010 / Tokyo, Japan / Shinkiba Studio Coast (SPPB) (eric agnew)",AUD,FLAC 24,
"8-11-2010 / Tokyo, Japan / Shinkiba Studio Coast (SPPB) (eric agnew)",AUD,FLAC,
"8-11-2010 / Tokyo, Japan / Shinkiba Studio Coast (ECM-719)",AUD,FLAC 24,
"8-26-2010 / Mexico City, MX / Auditorio Nacional (MTV Germany Analog Sat Broadcast)",TV #1,FLAC,
"8-26-2010 / Mexico City, MX / Auditorio Nacional - MTV Austria (MTV Live) - DVB-S",TV,DVD,
"8-28-2010 / Hollywood, CA / Sunset Strip Music Festival (DAB) (lapis)",AUD,FLAC,
"8-28-2010 / Hollywood, CA / Sunset Strip Music Festival (Edirol R09) (rob c.)",AUD,FLAC,
"8-28-2010 / Hollywood, CA / Sunset Strip Music Festival (Sony HD Handycam) (spaceboye)",AUD,DVD,
"9-6-2010 / Sacramento, CA / Crest Theatre (DAB) (lapis)",AUD,FLAC,
"9-6-2010 / Sacramento, CA / Crest Theatre (CA) (dcbullet)",AUD,FLAC,
"9-6-2010 / Sacramento, CA / 94.7 KKDO-FM Studios (copperpot)",PRO,DVD,
"9-8-2010 / Petaluma, CA / Phoenix Theatre (DAB) (lapis)",AUD,FLAC,
"9-8-2010 / Petaluma, CA / Phoenix Theatre (monteLDS edit)",AUD,DVD,
"9-10-2010 / Seattle, WA / Showbox SoDo (CA-11) (smashing0)",AUD,FLAC,
"9-10-2010 / Seattle, WA / Showbox SoDo - WAV(M) (WM-61A) (kris sproul)",AUD,FLAC,
"9-16-2010 / Boise, ID / Knitting Factory (SS-DSM6S) (jlw)",AUD,FLAC,
"9-17-2010 / Salt Lake City, UT / In the Venue (Zoom H4n)",AUD,FLAC,
"9-24-2010 / Santa Barbara, CA / Lobero Theatre (DAB) (lapis)",AUD,FLAC,
"9-24-2010 / Santa Barbara, CA / Lobero Theatre (Sony MZ-N707) (ian roegels)",AUD,FLAC,
"10-12-2010 / Perth, Australia / Perth Convention Centre Theatre (SP-SMC-8) (pyometronguts)",AUD,FLAC 24,
"10-15-2010 / Melbourne, Australia / Festival Hall (Sony ECM-DS70P) (kingbean)",AUD,FLAC,
"10-15-2010 / Melbourne, Australia / Festival Hall (Schoeps MK4) ",AUD,FLAC 24,
"10-16-2010 / Milsons Point, Australia / Big Top Auditorium (DAB) (lapis)",AUD,FLAC,
"10-17-2010 / Fortitude Valley, Australia / The Tivoli (DAB) (lapis)",AUD,FLAC,
"11-18-2010 / Buenos Aires, Argentina / Luna Park (CA ST-11) (miguel villarelo)",AUD,FLAC,
"11-20-2010 / Sao Paulo, Brazil / Playcenter (unk)",AUD,DVD,
"11-23-2010 / Santiago, Chile / Movistar Arena (CA-11) (realkuka)",AUD,FLAC,
"12-5-2010 / Houston, TX / Verizon Wireless Theater (DAB) (jjb)",AUD,FLAC 24,
"12-5-2010 / Houston, TX / Verizon Wireless Theater (DPA 4021) (justin kacz)",AUD,FLAC,
"12-11-2010 / Los Angeles, CA / Gibson Amphitheatre (Binaural mics) (rob c.)",AUD,FLAC,
"12-12-2010 / San Diego, CA / Viejas Arena (DAB) (lapis)",AUD,FLAC,
,,,
[2011],,,
"10-5-2011 / Los Angeles, CA / Wiltern (DAB) (ew)",AUD,FLAC,
"10-5-2011 / Los Angeles, CA / Wiltern (Built-in mics) (rob c.)",AUD,FLAC,
"10-5-2011 / Los Angeles, CA / Wiltern (copperpots)",AUD,DVD,
"10-7-2011 / Oakland, CA / Fox Theatre (DAB) (ew)",AUD,FLAC,
"10-8-2011 / Las Vegas, NV / Boulevard Pool - The Cosmopolitan (DAB) (ew)",AUD,FLAC,
"10-11-2011 / Omaha, NE / The Slowdown (CSB) (alzeppelin)",AUD,FLAC,
"10-11-2011 / Omaha, NE / The Slowdown (unk)",AMT #1,DVD,
"10-14-2011 / Chicago, IL / The Riviera Theatre (CA-14) (brian emerick)",AUD,FLAC 24,
"10-14-2011 / Chicago, IL / The Riviera Theatre (Schoeps MK41) (darktrain)",AUD,FLAC,
"10-14-2011 / Chicago, IL / The Riviera Theatre (unk)",AMT #1,DVD,
"10-17-2011 / Washington, D.C. / 9:30 Club (Sennheiser) (cabbage)",AUD,FLAC 24,
"10-17-2011 / Washington, D.C. / 9:30 Club (Busman BSC1-K1) (unk)",AUD,FLAC,
"10-18-2011 / New York, NY / Terminal 5 (Schoeps MK41) (acidjack)",AUD,FLAC,
"10-18-2011 / New York, NY / Terminal 5 (Schoeps MK41/CMR) (pzane)",AUD,FLAC,
"10-18-2011 / New York, NY / Terminal 5 (unk) (night prayers) (Source 1)",AUD,DVD,
"10-18-2011 / New York, NY / Terminal 5 (copperpot) (Source 2)",AUD,DVD,
"10-21-2011 / Boston, MA / Orpheum Theatre (Sony ECM-907) (opsopcopolis)",AUD,FLAC,
"11-2-2011 / Stockholm, SWE / Annexet (Sennheiser MKE2) (ij)",AUD,FLAC 24,
"11-9-2011 / Paris, France / Le Zenith (AT mics) (david)",AUD,FLAC 24,
"11-11-2011 / Manchester, UK / Manchester Apollo (Sony TS-125) (leo edwards)",AUD,FLAC,
"11-13-2011 / Glasgow, Scotland / 02 Academy (Tascam DR-07) (unk)",AUD,FLAC,
"11-13-2011 / Glasgow, Scotland / 02 Academy (MCSM-4 mics)",AUD,FLAC,
"11-14-2011 / Newcastle, England / 02 Academy (Zoom H1) ",AUD,FLAC,
"11-18-2011 / Sheffield, England / 02 Academy (SC-CMC-22) (moz666)",AUD,FLAC,
"11-28-2011 / Milan, IT / Mediolanum Forum (unk)",AMT #1,DVD,
"11-29-2011 / Padova, Italy / PalaFabris",AMT #1,BLURAY,
"12-6-2011 / Barcelona, Spain / Razzmatazz (Edirol RH09) (fer101)",AUD,FLAC,
,,,
[2012],,,
"5-26-2012 / Lisboa, Portugal / Parque da Bela Vista - Rock in Rio Lisboa",FM,FLAC,
"5-26-2012 / Lisboa, Portugal / Parque da Bela Vista - Rock in Rio Lisboa (SIC Radical TV) (jo o samuel)",TV,FLAC,
"5-26-2012 / Lisboa, Portugal / Parque da Bela Vista - Rock in Rio Lisboa (copperpot)",WEB,FLAC,
"5-26-2012 / Lisboa, Portugal / Parque da Bela Vista - Rock in Rio Lisboa (SIC Radical TV) (Kobra Video)",PRO,DVD,
"6-14-2012 / Chicago, IL / Metro - WAV(M) (CA-14) (ryan fisher)",AUD,FLAC,
"7-31-2012 / Sydney, Australia / Entertainment Centre (SP-CMC-8) (cellotim)",AUD,FLAC 24,
