Smashing Pumpkins,Versions,File Type,
"1-24-1992 / Copenhagen, DK / Pumphuset ?>WM-D3 (ripped by fogelsong)",AUD,FLAC,
"1-26-1992 / Berlin, DE / Loft (SS-DSM) (traveller03)",AUD #1,FLAC,
"1-26-1992 / Berlin, DE / Loft - DAT>ANA(4) (SS) (unk)",AUD,SHN,
"1-28-1992 / Koeln, DE / Luxor - AUD>VID (traveller03)",AUD,FLAC,
"1-28-1992 / Koeln, DE / Luxor (Sony Hi8) (bobfather master)",AUD,DVD,
"1-29-1992 / Frankfurt, DE / Batschkaap - ANA(M) (Aiwa CM-30)",AUD,FLAC,
"1-31-1992 / Munich, DE / Nachtwerk - DAT(1) (travisbickle1963 transfer)",FM #1,FLAC,
"2-5-1992 / Paris, France / Elysee Montmartre (HUT promo cassette sourced)",SBD,SHN,
"2-5-1992 / Paris, France / Elysee Montmartre (thir13en remaster)",SBD,APE,
"2-11-1992 / Birmingham, UK / Edward's No. 8 - VID-L",AUD,FLAC,
"2-11-1992 / Birmingham, UK / Edward's No. 8 (unk)",AUD,DVD,
"2-14-1992 / London, UK / Astoria (unk)",AUD,FLAC,
"3-7-1992 / Honolulu, HI / Pink's Garage - ANA(M) (Sony ECM-909) (ron whitfield)",AUD #1,FLAC,
"3-28-1992 / Chicago, IL / Metro (BC and D'arcy with Pearl Jam) - ANA(2)-DAT(M)",AUD,FLAC,
"6-9-1992 - Milwaukee, WI - Unicorn - ANA(?) (unk)",AUD,FLAC,
"6-9-1992 - Milwaukee, WI - Unicorn - ANA(2) ",AUD,FLAC,
"6-9-1992 - Milwaukee, WI - Unicorn - VID(?) (unk)",AUD,SHN,
"6-9-1992 - Milwaukee, WI - Unicorn - VID(M) > ANA(3) (traveller03)",AUD,FLAC,
"7-5-1992 / Werchter, BE / Rock Werchter Festival - ANA(2)",AUD,FLAC,
"7-5-1992 / Werchter, BE / Rock Werchter Festival (PC-62) (phil)",AUD,FLAC,
"7-11-1992 / Chicago, IL / Blackout Records - ANA(?) (unk)",AUD,SHN,
"7-11-1992 / Chicago, IL / Blackout Records - ANA>ANA(2) (milkysunshine's edit)",AUD,FLAC,
"7-23-1992 / Chicago, IL / Metro - VID(1) ",AUD,FLAC,
"7-23-1992 / Chicago, IL / Metro - VID(1) (bill mayer reauthor)",AUD,DVD,
"7-24-1992 / Chicago, IL / Metro - VID(1)",AUD,FLAC,
"7-24-1992 / Chicago, IL / Metro - VID(1) (unk)",AUD,DVD,
"8-5-1992 / Miami, FL / Washington Square - VHS(2) (frank claycomb)",AUD,FLAC,
"8-5-1992 / Miami, FL / Washington Square - ANA(x) (inc) ",AUD,FLAC,
"8-5-1992 / Miami, FL / Washington Square - VID-L (dan elsen transfer)",AUD,FLAC,
"8-5-1992 / Miami, FL / Washington Square ",AMT #1,DVD,
"8-5-1992 / Miami, FL / Washington Square - Video8(M) (unk) (kevin fitzgibbons)",AMT #2,FLAC,
"8-10-1992 / Nashville, TN / 328 Performance Hall - ANA(2) (Radioshack Walkman) (unk)",AUD,FLAC,
"8-10-1992 / Nashville, TN / 328 Performance Hall - ANA(2) (Radioshack Walkman) (unk) (speed corrected)",AUD,FLAC,
"8-23-1992 / London, UK / Greater London Radio - ANA(3) (unk)",FM,FLAC,
"8-29-1992 / Berkshire, UK / Reading Festival - ANA(x) (unk)",AUD,SHN,
"8-29-1992 / Berkshire, UK / Reading Festival - ANA(x) (unk) (nicholas serra transfer)",AUD #2,FLAC,
"8-29-1992 / Berkshire, UK / Reading Festival - AUD>8mm>VHS(1)",AUD,FLAC,
"8-29-1992 / Berkshire, UK / Reading Festival (JVC-Hifi-VHS) (thir13en master)",PRO,DVD,
"8-31-1992 / Hamburg, DE / Kleine Markthalle  - VID(?)",AUD,FLAC,
"9-XX-1992 / London, UK / BBC Late Show (from Mayonnaise Dream)",TV,FLAC,
"9-1-1992 / Berlin, Germany / The Loft - DAT(M) (Soundman OKM)",AUD,FLAC,
"9-3-1992 / Frankfurt, DE / Batschkapp - ANA(1) (unk)",AUD,FLAC,
"9-3-1992 / Frankfurt, DE / Batschkapp (Sony WM-D6C) (ECM 939) (milavalenti collection)",AUD,FLAC,
"9-4-1992 / Dusseldorf, DE / Tor 3 - VHS(x)",AUD (48k),FLAC,
"9-4-1992 / Dusseldorf, DE / Tor 3 - VHS(x)",AUD,FLAC,
"9-4-1992 / Dusseldorf, DE / Tor 3 - VHS(M) (3-cam mix) (bobfather)",AMT,DVD,
"9-5-1992 / Amsterdam, NL / Paradiso - ANA(M) (unk) (lutek dabrowski)",AUD #1,FLAC,*Lossy
"9-6-1992 / Rotterdam, NL / Zuiderpark (Metropolis Festival)",AUD,FLAC,
"9-6-1992 / Rotterdam, NL / Zuiderpark (Metropolis Festival) (Sony WM-D3) (clogboy2005)",AUD,FLAC,
"9-6-1992 / Rotterdam, NL / Zuiderpark (Metropolis Festival) - VHS(x) (unk)",AUD,DVD,
"9-8-1992 / Paris, France / Espace Ornano - ANA(2) (WM-D6)",AUD,FLAC,
"9-8-1992 / Paris, France / Espace Ornano (unk)",AUD,SHN,
"9-12-1992 / London, England / Town & Country Club - ANA(x) (unk)",AUD,SHN,
"9-12-1992 / London, England / Town & Country Club - VHS(4) (nicholas serra)",AMT #1,MKV,
"12-1-1992 / Atlanta, GA / The Point - ANA(2) (unk) **labeled as ANA(1)?",AUD,FLAC,
