Nine Inch Nails,Versions,File Type
"8-13-1994 / Saugerties, NY / Woodstock 94' (PPV) (kevin c. mastering)",SBD,FLAC
"8-13-1994 / Saugerties, NY / Woodstock 94' (PPV)",PRO,MP4
"8-13-1994 / Saugerties, NY / Woodstock 94' *Reznor Sharp",Silver CD,FLAC
"8-13-1994 / Saugerties, NY / Woodstock 94' *Scratches",Silver CD,FLAC
"8-13-1994 / Saugerties, NY / Woodstock 94' *Woodstock 94",Silver CD,FLAC
"8-13-1994 / Saugerties, NY / Woodstock 94' *Nothing Is Next",Silver CD,FLAC
"8-27-1994 / Rochester, NY / Auditorium Theater (CSB) (mark weygandt)",AUD,FLAC
"8-30-1994 / Cleveland, OH / Nautica Stage (unk)",AUD,FLAC
"9-5-1994 / St. Paul, MN / Roy Wilkins Auditorium *Nails In My Hand",Silver CD,FLAC
"9-5-1994 / St. Paul, MN / Roy Wilkins Auditorium (unk)",AUD,FLAC
"9-5-1994 / St. Paul, MN / Roy Wilkins Auditorium (unk)",AUD,DVD
"9-7-1994 / Milwaukee, WI / Riverside Theatre - DAT(M) (Sonic Studios) (dm)",AUD,FLAC
"9-7-1994 / Milwaukee, WI / Riverside Theatre (unk)",AUD,FLAC
"9-11-1994 / St. Louis, MO / Fox Theater - VHS(1) (unk)",AUD,DVD
"9-13-1994 / Nashville, TN / Vanderbilt's Memorial Gym - Hi8(M) (roydamm)",AUD,DVD
"9-17-1994 / Kansas City, KS / Memorial Hall - DAT(4) (Sonic Studios) (dm)",AUD,FLAC
"9-24-1994 / Seattle, WA / Center Arena (Unk Cassette Recorder) (mm)",AUD,FLAC
"10-1-1994 / San Jose, CA / San Jose State Auditorium *Pinion",Silver CD,FLAC
"10-1-1994 / San Jose, CA / San Jose State Auditorium - AUD(M)",AUD,DVD
"10-3-1994 / Universal City, CA / Universal Amphitheatre (Sony ECM 737) (ijwthstd)",AUD (48k),FLAC
"10-3-1994 / Universal City, CA / Universal Amphitheatre *Slaughter In The Air",Silver CD,FLAC
"10-6-1994 / Universal City, CA / Universal Amphitheatre (Sony ECM 737) (ijwthstd)",AUD,FLAC
